metric_id	classification	n_chapters_available	n_chapters_consistent_sign	combined_delta	convergence
EF1_GIANT_COMPONENT_SHARE	NOT_STABLE	5	0	0.0452093	CONVERGED
EF2_GLOBAL_CLUSTERING	NOT_STABLE	5	0	0.0611897	CONVERGED
EF3_DEGREE_FREQUENCY_SPEARMAN	SYSTEM_SPECIFIC_EFFECT	5	1	0.0602696	CONVERGED
2DL1_LAYOUT_POSITION_MI	STRUCTURALLY_DEGENERATE_NO_VARIATION	5	1	0	INCONCLUSIVE
BP1_BOUNDARY_TOKEN_NMI	STRUCTURALLY_DEGENERATE_NO_VARIATION	5	1	0	INCONCLUSIVE
LS2_POSITIONAL_LEXICON_NMI	STRUCTURALLY_DEGENERATE_NO_VARIATION	5	1	0	INCONCLUSIVE
LS3_BOUNDARY_LENGTH_ASYMMETRY	STRUCTURALLY_DEGENERATE_NO_VARIATION	5	1	0	INCONCLUSIVE
EF1_ISOLATE_SHARE	SYSTEM_SPECIFIC_EFFECT	5	1	-0.0188205	CONVERGED
LP1_RULE_SUPPORT_GINI	SYSTEM_SPECIFIC_EFFECT	5	1	-0.058087	CONVERGED
LP4_PREFIX_ATTACHMENT_NMI	SYSTEM_SPECIFIC_EFFECT	5	1	0.026756	CONVERGED
LP4_SUFFIX_ATTACHMENT_NMI	SYSTEM_SPECIFIC_EFFECT	5	1	0.0736339	CONVERGED
cs2/prev-family-current-family	NOT_STABLE	0	0	0	INCONCLUSIVE
LS1_LINE_LENGTH_CV	STRUCTURALLY_DEGENERATE_NO_VARIATION	5	1	0	INCONCLUSIVE
LS4_WITHIN_LINE_EXACT_REPETITION	STRUCTURALLY_DEGENERATE_NO_VARIATION	5	1	0	INCONCLUSIVE
cs1/family-line-position	NOT_STABLE	0	0	0	INCONCLUSIVE
cs6/family-diversity-x-line-length	STRUCTURALLY_DEGENERATE_NO_VARIATION	5	1	0	INCONCLUSIVE
cs7/edit-distance-x-structural-distance	NOT_STABLE	5	0	0.0279889	CONVERGED
