transcription	class	object_id	corpus	policy	scale	replicate	direct_core_distance	coverage_adjusted_distance	core_coverage	metric_n
IT2a	SHORTHAND	BDD_combined	BDD		combined	0	0.850749	0.850749	1.000000	3
IT2a	SHORTHAND	BDD_koeln-edd-c-119-06.xml	BDD		koeln-edd-c-119-06.xml	0	0.967444	0.967444	1.000000	3
IT2a	SHORTHAND	BDD_koeln-edd-c-119-07.xml	BDD		koeln-edd-c-119-07.xml	0	0.930485	0.930485	1.000000	3
IT2a	SHORTHAND	BDD_koeln-edd-c-119-11.xml	BDD		koeln-edd-c-119-11.xml	0	0.771008	0.771008	1.000000	3
IT2a	SHORTHAND	BDD_koeln-edd-c-119-12.xml	BDD		koeln-edd-c-119-12.xml	0	0.925957	0.925957	1.000000	3
IT2a	SHORTHAND	BDD_koeln-edd-c-119-13.xml	BDD		koeln-edd-c-119-13.xml	0	1.062703	1.062703	1.000000	3
ZL3b	SHORTHAND	BDD_combined	BDD		combined	0	0.841768	0.841768	1.000000	3
ZL3b	SHORTHAND	BDD_koeln-edd-c-119-06.xml	BDD		koeln-edd-c-119-06.xml	0	0.958462	0.958462	1.000000	3
ZL3b	SHORTHAND	BDD_koeln-edd-c-119-07.xml	BDD		koeln-edd-c-119-07.xml	0	0.921503	0.921503	1.000000	3
ZL3b	SHORTHAND	BDD_koeln-edd-c-119-11.xml	BDD		koeln-edd-c-119-11.xml	0	0.762027	0.762027	1.000000	3
ZL3b	SHORTHAND	BDD_koeln-edd-c-119-12.xml	BDD		koeln-edd-c-119-12.xml	0	0.916976	0.916976	1.000000	3
ZL3b	SHORTHAND	BDD_koeln-edd-c-119-13.xml	BDD		koeln-edd-c-119-13.xml	0	1.053722	1.053722	1.000000	3
