input	path	sha256	verification	checked_before_target
FINGERPRINT_V2_FREEZE_MANIFEST	research/phase2/fingerprint/FINGERPRINT_V2_FREEZE_MANIFEST.json	b9a1b03090bfd17b697a35a87bb51dc30a90714dbaa90e6837550cc229b427d3	SUPPORTED	true
F2_METRIC_REGISTRY	research/phase2/fingerprint/F2_METRIC_REGISTRY_FINAL.tsv	7803afb24d5fd525eeeaae4aa6fec91263969aa49c85c92128adee9453389035	SUPPORTED	true
TASK81_MECHANISM_PORTFOLIO	research/phase2/mechanism-space/MNEMONIC_MECHANISM_SPACE_FROZEN.json	514869fb3ee7fd3c6294d0820ba2b32443e36b78114a491e8b53ac467009daa7	SUPPORTED	true
TASK81_FREEZE_MARKER	research/phase2/mechanism-space/TASK81_DESIGN_FROZEN	51cde7b0d3fb24760170631bbab503b507426024f5a10c19c36e549c3ab6e5bb	SUPPORTED	true
TASK82_RESULTS_MANIFEST	research/phase2/task82/TASK82_BLIND_RESULTS_MANIFEST.json	6458e619bed8b5e2dc135804d30f18ab667ec2b3ab118ce7cd4abd93c29d0df5	SUPPORTED_17_OF_17	true
TASK82_FREEZE_MARKER	research/phase2/task82/TASK82_BLIND_RESULTS_FROZEN	b9c9a258770a8a914c8741c752d3d8668c95c3c3dfa2975cb7bfac28e1b61c83	SUPPORTED	true
TASK82A_RESULTS_MANIFEST	research/phase2/task82a/TASK82A_RESULTS_MANIFEST.json	c06d8c9e48abdcc31d373d4acb8701ca9335c51e1ce885b1ac6140050fb956f6	SUPPORTED_18_OF_18	true
TASK82A_FREEZE_MARKER	research/phase2/task82a/TASK82A_CORPUS_SCALE_PORTFOLIO_FROZEN	62d54fa3a1c31e9475d0834951e480f326a4b27a19cab4f280077393283b96d6	SUPPORTED	true
TASK82A1_RESULTS_MANIFEST	research/phase2/task82a1/TASK82A1_RESULTS_MANIFEST.json	0fe2f1c13d2dfe096b4468c53faa74e6291e16cbc575ab1e32b6e7dbfd35c969	SUPPORTED_21_OF_21	true
TASK82A1_FREEZE_MARKER	research/phase2/task82a1/TASK82A_F2_COVERAGE_EXTENDED_FROZEN	4d6a3afb1d43a33dab45a7361d0d9e1e3a23346e9b5077528a900c7cdb2b7034	SUPPORTED	true
TASK83_COMPARISON_CONTRACT	research/phase2/task82a1/TASK83_COMPARISON_CONTRACT.md	31d06df1842119205f6f25940c8f879239944b05f34b54f8bfc2c27706f7ea23	SUPPORTED	true
TASK82B_RESULTS_MANIFEST	research/phase2/task82b/TASK82B_RESULTS_MANIFEST.json	999b40676bd750d3b69daf6d4d280e780fc1861687664306e1af94fd3a30f580	SUPPORTED_26_OF_26	true
TASK82B_PORTFOLIO_MARKER	research/phase2/task82b/TASK82B_NOTATION_EXTRACTION_PORTFOLIO_FROZEN	885f1eed1dd0fadd4ed86d8848213fa5065f5da748336ec7022d537bd50833fc	SUPPORTED	true
VOYNICH_ZL_TARGET	experiments/fingerprint-v2-task79-v1/canonical-out/fingerprint.json	37a6dbea4f5c82047dbeb147e6a065f85d71a4578b3409b913fddf0681a26b6d	CHECKSUM_ONLY_NOT_OPENED	true
VOYNICH_IT_TARGET	experiments/fingerprint-v2-task79c-v1/transcription-it-out/fingerprint.json	d87d219713fc3c24ee8548a2d92f705ba8516ff012f03af980bd51bf90eae8ca	CHECKSUM_ONLY_NOT_OPENED	true
VOYNICH_ZL_RAW	research/phase2/fingerprint/FINGERPRINT_V2_FREEZE_MANIFEST.json#canonical_corpus.raw_ivtff_sha256	bf5b6d4ac1e3a51b1847a9c388318d609020441ccd56984c901c32b09beccafc	SUPPORTED_POST_OPENING_EXPANDED_AUDIT	false
VOYNICH_ZL_PREPARED	research/phase2/fingerprint/FINGERPRINT_V2_FREEZE_MANIFEST.json#canonical_corpus.prepared_sha256	f46f4190af65b85d145ec5bb957c1f56029b567e4bef12ac7baa1797f358d692	SUPPORTED_POST_OPENING_EXPANDED_AUDIT	false
VOYNICH_IT_RAW	research/phase2/fingerprint/FINGERPRINT_V2_FREEZE_MANIFEST.json#alternate_transcription.raw_ivtff_sha256	7f27a8b0feed8f6de0a99900df6bf912dd1d295c38e5f830bac8b41c3f536fb5	SUPPORTED_POST_OPENING_EXPANDED_AUDIT	false
VOYNICH_IT_PREPARED	research/phase2/fingerprint/FINGERPRINT_V2_FREEZE_MANIFEST.json#alternate_transcription.prepared_sha256	3fb9531a11d896b5227e54c8d119cc13986eb69e48e1a5ab72b1a1ba64b5b4c0	NOT_SUPPORTED_ACTUAL_10286ee7e11ad974e9d0f884e3b0df1b588745a4b77ad428a638a5ff63946a8b	false
