metric_id	definition_source	refrozen_source	semantic_fields_equal	classification
2DL1_LAYOUT_POSITION_MI	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
BP1_BOUNDARY_TOKEN_NMI	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
EF1_GIANT_COMPONENT_SHARE	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
EF1_ISOLATE_SHARE	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
EF2_GLOBAL_CLUSTERING	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
EF3_DEGREE_FREQUENCY_SPEARMAN	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
HR1_FOLIO_VARIANCE_SHARE	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
HR1_LOCUS_VARIANCE_SHARE	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
HR1_SECTION_VARIANCE_SHARE	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
HR6_CURRIER_SECTION_NMI	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
LC1_LOCUS_TYPE_NMI	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
LC2_LABEL_TEXT_NMI	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
LC5_IVTFF_I_NMI	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
LC5_IVTFF_X_NMI	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
LP1_RULE_SUPPORT_GINI	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
LP4_PREFIX_ATTACHMENT_NMI	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
LP4_SUFFIX_ATTACHMENT_NMI	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
LS1_LINE_LENGTH_CV	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
LS2_POSITIONAL_LEXICON_NMI	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
LS3_BOUNDARY_LENGTH_ASYMMETRY	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
LS4_WITHIN_LINE_EXACT_REPETITION	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
PF2_FOLIO_COHERENCE	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
PF3_ADJACENT_FOLIO_CONTINUITY	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
PF4_RECTO_VERSO_COHERENCE	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
PF5_WITHIN_FOLIO_PROGRESSION	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
cs1/family-line-position	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
cs2/prev-family-current-family	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
cs3/family-locus-type	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
cs4/family-currier	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
cs4/family-section	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
cs5/local-adjacency-x-regime	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
cs6/family-diversity-x-line-length	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
cs7/edit-distance-x-structural-distance	F2_METRIC_REGISTRY_FINAL.tsv	F2_METRIC_REGISTRY_REFROZEN.tsv	TRUE	IDENTICAL
