transcription	object_id	corpus	null_kind	cosine_similarity	direction_agreement	magnitude_ratio	metric_n	upstream_min_p_value	minimum_null_replicates	resolution	any_metric_p_le_0_05
IT2a	FIRST_GLYPH_OF_LINE	Astafiev	POSITION_STRATIFIED_RANDOM	0.275387	0.333333	1.391246	3	1.000000	3	LOW_RESOLUTION	false
IT2a	FIRST_GLYPH_OF_LINE	Astafiev	RANDOM_SUBSEQUENCE_MATCHED	0.275387	0.333333	1.391246	3	0.250000	3	LOW_RESOLUTION	false
IT2a	FIRST_GLYPH_OF_LINE	Doyle	POSITION_STRATIFIED_RANDOM	0.001039	0.333333	1.621633	3	1.000000	3	LOW_RESOLUTION	false
IT2a	FIRST_GLYPH_OF_LINE	Doyle	RANDOM_SUBSEQUENCE_MATCHED	0.001039	0.333333	1.621633	3	0.250000	3	LOW_RESOLUTION	false
IT2a	FIRST_GLYPH_OF_LINE	Longfellow	POSITION_STRATIFIED_RANDOM	-0.001629	0.333333	1.656670	3	1.000000	3	LOW_RESOLUTION	false
IT2a	FIRST_GLYPH_OF_LINE	Longfellow	RANDOM_SUBSEQUENCE_MATCHED	-0.001629	0.333333	1.656670	3	0.250000	3	LOW_RESOLUTION	false
IT2a	FIRST_GLYPH_OF_TOKEN	Astafiev	RANDOM_SUBSEQUENCE_MATCHED	0.275387	0.333333	1.391246	3	0.500000	1	LOW_RESOLUTION	false
IT2a	FIRST_GLYPH_OF_TOKEN	Doyle	POSITION_STRATIFIED_RANDOM	0.001039	0.333333	1.621633	3	0.250000	3	LOW_RESOLUTION	false
IT2a	FIRST_GLYPH_OF_TOKEN	Doyle	RANDOM_SUBSEQUENCE_MATCHED	0.001039	0.333333	1.621633	3	0.250000	3	LOW_RESOLUTION	false
IT2a	FIRST_GLYPH_OF_TOKEN	Longfellow	POSITION_STRATIFIED_RANDOM	-0.001629	0.333333	1.656670	3	0.250000	3	LOW_RESOLUTION	false
IT2a	FIRST_GLYPH_OF_TOKEN	Longfellow	RANDOM_SUBSEQUENCE_MATCHED	-0.001629	0.333333	1.656670	3	0.250000	3	LOW_RESOLUTION	false
IT2a	FIRST_TOKEN_OF_LINE	Astafiev	POSITION_STRATIFIED_RANDOM	-0.426421	0.000000	0.120056	3	0.250000	3	LOW_RESOLUTION	false
IT2a	FIRST_TOKEN_OF_LINE	Astafiev	RANDOM_SUBSEQUENCE_MATCHED	-0.355898	0.333333	0.173042	3	0.250000	3	LOW_RESOLUTION	false
IT2a	FIRST_TOKEN_OF_LINE	Doyle	POSITION_STRATIFIED_RANDOM	0.341116	0.666667	0.158418	3	0.250000	3	LOW_RESOLUTION	false
IT2a	FIRST_TOKEN_OF_LINE	Doyle	RANDOM_SUBSEQUENCE_MATCHED	0.384670	0.666667	0.159898	3	0.250000	3	LOW_RESOLUTION	false
IT2a	FIRST_TOKEN_OF_LINE	Longfellow	POSITION_STRATIFIED_RANDOM	-0.690088	0.333333	0.108538	3	0.250000	3	LOW_RESOLUTION	false
