transcription	class	family	available_metrics	total_rows	mean_absolute_residual	classification
IT2a	EXTRACTION	cross-scale	0	60	NA	FAMILY_UNAVAILABLE
IT2a	EXTRACTION	edit family	228	240	1.022091	FAMILY_PARTIAL
IT2a	EXTRACTION	lexical paradigm	171	180	0.696543	FAMILY_PARTIAL
IT2a	FONTANA	cross-scale	0	198	NA	FAMILY_UNAVAILABLE
IT2a	FONTANA	edit family	720	792	1.099164	FAMILY_PARTIAL
IT2a	FONTANA	lexical paradigm	540	594	0.905845	FAMILY_PARTIAL
IT2a	NATURAL	cross-scale	0	3	NA	FAMILY_UNAVAILABLE
IT2a	NATURAL	edit family	12	12	0.897536	FAMILY_MATCH
IT2a	NATURAL	lexical paradigm	9	9	0.358311	FAMILY_MATCH
IT2a	SHORTHAND	cross-scale	0	6	NA	FAMILY_UNAVAILABLE
IT2a	SHORTHAND	edit family	24	24	1.145507	FAMILY_MISMATCH
IT2a	SHORTHAND	lexical paradigm	18	18	0.711598	FAMILY_MATCH
IT2a	SIMPLE_NULL	cross-scale	0	270	NA	FAMILY_UNAVAILABLE
IT2a	SIMPLE_NULL	edit family	864	1080	1.068799	FAMILY_PARTIAL
IT2a	SIMPLE_NULL	lexical paradigm	648	810	0.834282	FAMILY_PARTIAL
ZL3b	EXTRACTION	cross-scale	0	60	NA	FAMILY_UNAVAILABLE
ZL3b	EXTRACTION	edit family	228	240	1.018612	FAMILY_PARTIAL
ZL3b	EXTRACTION	lexical paradigm	171	180	0.699710	FAMILY_PARTIAL
ZL3b	FONTANA	cross-scale	0	198	NA	FAMILY_UNAVAILABLE
ZL3b	FONTANA	edit family	720	792	1.100459	FAMILY_PARTIAL
ZL3b	FONTANA	lexical paradigm	540	594	0.919681	FAMILY_PARTIAL
ZL3b	NATURAL	cross-scale	0	3	NA	FAMILY_UNAVAILABLE
ZL3b	NATURAL	edit family	12	12	0.892223	FAMILY_MATCH
ZL3b	NATURAL	lexical paradigm	9	9	0.336869	FAMILY_MATCH
ZL3b	SHORTHAND	cross-scale	0	6	NA	FAMILY_UNAVAILABLE
ZL3b	SHORTHAND	edit family	24	24	1.140195	FAMILY_MISMATCH
ZL3b	SHORTHAND	lexical paradigm	18	18	0.690155	FAMILY_MATCH
ZL3b	SIMPLE_NULL	cross-scale	0	270	NA	FAMILY_UNAVAILABLE
ZL3b	SIMPLE_NULL	edit family	864	1080	1.069789	FAMILY_PARTIAL
ZL3b	SIMPLE_NULL	lexical paradigm	648	810	0.849085	FAMILY_PARTIAL
