transcription	class	object_id	corpus	policy	scale	metric_id	voynich_value	reference_value	normalized_residual	uncertainty	direction	applicable	stability
IT2a	EXTRACTION	FIRST_GLYPH_OF_LINE	Astafiev			EF1_GIANT_COMPONENT_SHARE	0.874582	1.000000	-0.219878	frozen natural-control scale	REFERENCE_ABOVE_TARGET	true	see transcription/stability tables
IT2a	EXTRACTION	FIRST_GLYPH_OF_LINE	Astafiev			EF1_ISOLATE_SHARE	0.116743	0.000000	0.382901	frozen natural-control scale	REFERENCE_BELOW_TARGET	true	see transcription/stability tables
IT2a	EXTRACTION	FIRST_GLYPH_OF_LINE	Astafiev			EF2_GLOBAL_CLUSTERING	0.279163	1.000000	-2.203783	frozen natural-control scale	REFERENCE_ABOVE_TARGET	true	see transcription/stability tables
IT2a	EXTRACTION	FIRST_GLYPH_OF_LINE	Astafiev			EF3_DEGREE_FREQUENCY_SPEARMAN	0.633750	0.000000	1.359565	frozen natural-control scale	REFERENCE_BELOW_TARGET	true	see transcription/stability tables
IT2a	EXTRACTION	FIRST_GLYPH_OF_LINE	Astafiev			LP1_RULE_SUPPORT_GINI	0.780164	0.000000	1.101213	frozen natural-control scale	REFERENCE_BELOW_TARGET	true	see transcription/stability tables
IT2a	EXTRACTION	FIRST_GLYPH_OF_LINE	Astafiev			LP4_PREFIX_ATTACHMENT_NMI	0.304706	0.000000	0.785761	frozen natural-control scale	REFERENCE_BELOW_TARGET	true	see transcription/stability tables
IT2a	EXTRACTION	FIRST_GLYPH_OF_LINE	Astafiev			LP4_SUFFIX_ATTACHMENT_NMI	0.260009	0.000000	0.762010	frozen natural-control scale	REFERENCE_BELOW_TARGET	true	see transcription/stability tables
IT2a	EXTRACTION	FIRST_GLYPH_OF_LINE	Astafiev			cs2/prev-family-current-family	0.000000	0.000000	NA	frozen natural-control scale	NOT_APPLICABLE	false	see transcription/stability tables
IT2a	EXTRACTION	FIRST_GLYPH_OF_LINE	Doyle			EF1_GIANT_COMPONENT_SHARE	0.874582	1.000000	-0.219878	frozen natural-control scale	REFERENCE_ABOVE_TARGET	true	see transcription/stability tables
IT2a	EXTRACTION	FIRST_GLYPH_OF_LINE	Doyle			EF1_ISOLATE_SHARE	0.116743	0.000000	0.382901	frozen natural-control scale	REFERENCE_BELOW_TARGET	true	see transcription/stability tables
IT2a	EXTRACTION	FIRST_GLYPH_OF_LINE	Doyle			EF2_GLOBAL_CLUSTERING	0.279163	1.000000	-2.203783	frozen natural-control scale	REFERENCE_ABOVE_TARGET	true	see transcription/stability tables
IT2a	EXTRACTION	FIRST_GLYPH_OF_LINE	Doyle			EF3_DEGREE_FREQUENCY_SPEARMAN	0.633750	0.000000	1.359565	frozen natural-control scale	REFERENCE_BELOW_TARGET	true	see transcription/stability tables
IT2a	EXTRACTION	FIRST_GLYPH_OF_LINE	Doyle			LP1_RULE_SUPPORT_GINI	0.780164	0.000000	1.101213	frozen natural-control scale	REFERENCE_BELOW_TARGET	true	see transcription/stability tables
IT2a	EXTRACTION	FIRST_GLYPH_OF_LINE	Doyle			LP4_PREFIX_ATTACHMENT_NMI	0.304706	0.000000	0.785761	frozen natural-control scale	REFERENCE_BELOW_TARGET	true	see transcription/stability tables
IT2a	EXTRACTION	FIRST_GLYPH_OF_LINE	Doyle			LP4_SUFFIX_ATTACHMENT_NMI	0.260009	0.000000	0.762010	frozen natural-control scale	REFERENCE_BELOW_TARGET	true	see transcription/stability tables
IT2a	EXTRACTION	FIRST_GLYPH_OF_LINE	Doyle			cs2/prev-family-current-family	0.000000	0.000000	NA	frozen natural-control scale	NOT_APPLICABLE	false	see transcription/stability tables
IT2a	EXTRACTION	FIRST_GLYPH_OF_LINE	Longfellow			EF1_GIANT_COMPONENT_SHARE	0.874582	1.000000	-0.219878	frozen natural-control scale	REFERENCE_ABOVE_TARGET	true	see transcription/stability tables
IT2a	EXTRACTION	FIRST_GLYPH_OF_LINE	Longfellow			EF1_ISOLATE_SHARE	0.116743	0.000000	0.382901	frozen natural-control scale	REFERENCE_BELOW_TARGET	true	see transcription/stability tables
IT2a	EXTRACTION	FIRST_GLYPH_OF_LINE	Longfellow			EF2_GLOBAL_CLUSTERING	0.279163	1.000000	-2.203783	frozen natural-control scale	REFERENCE_ABOVE_TARGET	true	see transcription/stability tables
IT2a	EXTRACTION	FIRST_GLYPH_OF_LINE	Longfellow			EF3_DEGREE_FREQUENCY_SPEARMAN	0.633750	0.000000	1.359565	frozen natural-control scale	REFERENCE_BELOW_TARGET	true	see transcription/stability tables
IT2a	EXTRACTION	FIRST_GLYPH_OF_LINE	Longfellow			LP1_RULE_SUPPORT_GINI	0.780164	0.000000	1.101213	frozen natural-control scale	REFERENCE_BELOW_TARGET	true	see transcription/stability tables
IT2a	EXTRACTION	FIRST_GLYPH_OF_LINE	Longfellow			LP4_PREFIX_ATTACHMENT_NMI	0.304706	0.000000	0.785761	frozen natural-control scale	REFERENCE_BELOW_TARGET	true	see transcription/stability tables
