input_id	path	sha256	authority	dependency_status	verification	usable
task83_protocol	research/phase2/task83/TASK83_DESIGN.md	5ff7f32ae446e8b4170f522e21cf022b1b0eb334a99cbd7cd3049a544acfa33d	FROZEN_SCIENTIFIC_PROTOCOL	UNAFFECTED	SHA256_MATCH	YES
comparison_contract	research/phase2/task82a1/TASK83_COMPARISON_CONTRACT.md	31d06df1842119205f6f25940c8f879239944b05f34b54f8bfc2c27706f7ea23	FROZEN_TARGET_BLIND_CONTRACT	UNAFFECTED	SHA256_MATCH	YES
task83b_manifest	research/phase2/task83b/FINGERPRINT_V2_DETERMINISTIC_MANIFEST.json	a8c58ab9b42ab7cc62bcfb33a4dcabb1d86d4be9f495aea8251428f55bdfc512	AUTHORITATIVE_FINGERPRINT_V2_1	AUTHORITATIVE	VERIFIER_EXIT_0	YES
task83b_registry	research/phase2/task83b/F2_METRIC_REGISTRY_REFROZEN.tsv	7803afb24d5fd525eeeaae4aa6fec91263969aa49c85c92128adee9453389035	REFROZEN_SEMANTICALLY_IDENTICAL_REGISTRY	AUTHORITATIVE	SHA256_MATCH	YES
task83b_provenance	research/phase2/task83b/PROVENANCE_GRAPH.tsv	3df97bfd60b0c692b9be121c9883a3ca7d4721f56ff7487ab5b1e3ccb2a77f3e	AUTHORITATIVE_TRANSITIVE_GRAPH	AUTHORITATIVE	VERIFIER_EXIT_0	YES
task81_design	research/phase2/mechanism-space/TASK81_DESIGN_FROZEN	51cde7b0d3fb24760170631bbab503b507426024f5a10c19c36e549c3ab6e5bb	BLIND_MECHANISM_FREEZE	UNAFFECTED	SHA256_MATCH	YES
task81_portfolio	research/phase2/mechanism-space/MNEMONIC_MECHANISM_SPACE_FROZEN.json	514869fb3ee7fd3c6294d0820ba2b32443e36b78114a491e8b53ac467009daa7	BLIND_MECHANISM_PORTFOLIO	UNAFFECTED	SHA256_MATCH	YES
task82_results	research/phase2/task82/TASK82_BLIND_RESULTS_MANIFEST.json	6458e619bed8b5e2dc135804d30f18ab667ec2b3ab118ce7cd4abd93c29d0df5	BLIND_FONTANA_RESULTS	UNAFFECTED	ALL_DECLARED_ARTIFACTS_MATCH	YES
task82a_freeze	research/phase2/task82a/TASK82A_BLIND_MANIFEST.json	018992b905bdf8d587d3a2ee90ddaa7722aa37188f9a5c83bb837dbc65b92462	BLIND_SCALE_PORTFOLIO	UNAFFECTED	SHA256_MATCH	YES
task82a_results	research/phase2/task82a/TASK82A_RESULTS_MANIFEST.json	c06d8c9e48abdcc31d373d4acb8701ca9335c51e1ce885b1ac6140050fb956f6	BLIND_SCALE_RESULTS	UNAFFECTED	ALL_DECLARED_ARTIFACTS_MATCH	YES
task82a1_manifest	research/phase2/task82a1/TASK82A1_MANIFEST.json	58a66c0e5d2adc3c46986584bd6712b93b92114fc6b0f81e61f152269a343e1d	BLIND_F2_EXTENSION_FREEZE	UNAFFECTED	SHA256_MATCH	YES
task82a1_results	research/phase2/task82a1/TASK82A1_RESULTS_MANIFEST.json	0fe2f1c13d2dfe096b4468c53faa74e6291e16cbc575ab1e32b6e7dbfd35c969	BLIND_F2_EXTENSION_RESULTS	UNAFFECTED	ALL_DECLARED_ARTIFACTS_MATCH	YES
direct_space	research/phase2/task82a1/F2_COMMON_DIRECT.tsv	a2b6e738869b9287db30538578c96d4ffd2c03b7a089cef94365e04adadc2ed8	FROZEN_DIRECT_INTERSECTION	UNAFFECTED	SHA256_MATCH	YES
fontana_vectors	research/phase2/task82a1/F2_RAW_VECTORS_EXTENDED.jsonl	dbd71ec3b84b994f7c2b5fae85a4a83bd366407ae5adbdd57669b2db710fb79f	BLIND_FONTANA_F2_VECTORS	UNAFFECTED	SHA256_MATCH	YES
task82b_manifest	research/phase2/task82b/TASK82B_MANIFEST.json	34d43b9c29b72e9a5a0b5cb6810abeb196512b98aa8eaa28faaa29eea9528d54	BLIND_NOTATION_EXTRACTION_FREEZE	UNAFFECTED	SHA256_MATCH	YES
task82b_results	research/phase2/task82b/TASK82B_RESULTS_MANIFEST.json	999b40676bd750d3b69daf6d4d280e780fc1861687664306e1af94fd3a30f580	BLIND_NOTATION_EXTRACTION_RESULTS	UNAFFECTED	ALL_DECLARED_ARTIFACTS_MATCH	YES
task82b_portfolio	research/phase2/task82b/TASK82B_NOTATION_EXTRACTION_PORTFOLIO_FROZEN	885f1eed1dd0fadd4ed86d8848213fa5065f5da748336ec7022d537bd50833fc	BLIND_NOTATION_EXTRACTION_PORTFOLIO	UNAFFECTED	SHA256_MATCH	YES
