transcription	representation_test	metric	abs_delta	tolerance	pass
ZL3b	alternate_bijection	EF1_GIANT_COMPONENT_SHARE	0	1e-12	TRUE
ZL3b	alternate_bijection	EF1_ISOLATE_SHARE	0	1e-12	TRUE
ZL3b	alternate_bijection	EF2_GLOBAL_CLUSTERING	0	1e-12	TRUE
ZL3b	alternate_bijection	EF3_DEGREE_FREQUENCY_SPEARMAN	0	1e-12	TRUE
ZL3b	alternate_bijection	LP1_RULE_SUPPORT_GINI	0	1e-12	TRUE
ZL3b	alternate_bijection	LP4_PREFIX_ATTACHMENT_NMI	4.996003610813204e-16	1e-12	TRUE
ZL3b	alternate_bijection	LP4_SUFFIX_ATTACHMENT_NMI	5.551115123125783e-17	1e-12	TRUE
IT2a	alternate_bijection	EF1_GIANT_COMPONENT_SHARE	0	1e-12	TRUE
IT2a	alternate_bijection	EF1_ISOLATE_SHARE	0	1e-12	TRUE
IT2a	alternate_bijection	EF2_GLOBAL_CLUSTERING	0	1e-12	TRUE
IT2a	alternate_bijection	EF3_DEGREE_FREQUENCY_SPEARMAN	0	1e-12	TRUE
IT2a	alternate_bijection	LP1_RULE_SUPPORT_GINI	0	1e-12	TRUE
IT2a	alternate_bijection	LP4_PREFIX_ATTACHMENT_NMI	3.885780586188048e-16	1e-12	TRUE
IT2a	alternate_bijection	LP4_SUFFIX_ATTACHMENT_NMI	3.885780586188048e-16	1e-12	TRUE
ZL3b	direct_single_rune	EF1_GIANT_COMPONENT_SHARE	0	1e-12	TRUE
ZL3b	direct_single_rune	EF1_ISOLATE_SHARE	0	1e-12	TRUE
ZL3b	direct_single_rune	EF2_GLOBAL_CLUSTERING	0	1e-12	TRUE
ZL3b	direct_single_rune	EF3_DEGREE_FREQUENCY_SPEARMAN	0	1e-12	TRUE
ZL3b	direct_single_rune	LP1_RULE_SUPPORT_GINI	0	1e-12	TRUE
ZL3b	direct_single_rune	LP4_PREFIX_ATTACHMENT_NMI	0	1e-12	TRUE
ZL3b	direct_single_rune	LP4_SUFFIX_ATTACHMENT_NMI	0	1e-12	TRUE
IT2a	direct_single_rune	EF1_GIANT_COMPONENT_SHARE	0	1e-12	TRUE
IT2a	direct_single_rune	EF1_ISOLATE_SHARE	0	1e-12	TRUE
IT2a	direct_single_rune	EF2_GLOBAL_CLUSTERING	0	1e-12	TRUE
IT2a	direct_single_rune	EF3_DEGREE_FREQUENCY_SPEARMAN	0	1e-12	TRUE
IT2a	direct_single_rune	LP1_RULE_SUPPORT_GINI	0	1e-12	TRUE
IT2a	direct_single_rune	LP4_PREFIX_ATTACHMENT_NMI	0	1e-12	TRUE
IT2a	direct_single_rune	LP4_SUFFIX_ATTACHMENT_NMI	0	1e-12	TRUE

