PM2	PM5	PM6	overall
PASS	PASS	PASS	PREDICTIVE_PASS
PASS	PASS	FAIL	PREDICTIVE_FAIL
PASS	PASS	NOT_ASSESSABLE	PREDICTIVE_NOT_ASSESSABLE
PASS	FAIL	PASS	PREDICTIVE_FAIL
PASS	FAIL	FAIL	PREDICTIVE_FAIL
PASS	FAIL	NOT_ASSESSABLE	PREDICTIVE_NOT_ASSESSABLE
PASS	NOT_ASSESSABLE	PASS	PREDICTIVE_NOT_ASSESSABLE
PASS	NOT_ASSESSABLE	FAIL	PREDICTIVE_NOT_ASSESSABLE
PASS	NOT_ASSESSABLE	NOT_ASSESSABLE	PREDICTIVE_NOT_ASSESSABLE
FAIL	PASS	PASS	PREDICTIVE_FAIL
FAIL	PASS	FAIL	PREDICTIVE_FAIL
FAIL	PASS	NOT_ASSESSABLE	PREDICTIVE_NOT_ASSESSABLE
FAIL	FAIL	PASS	PREDICTIVE_FAIL
FAIL	FAIL	FAIL	PREDICTIVE_FAIL
FAIL	FAIL	NOT_ASSESSABLE	PREDICTIVE_NOT_ASSESSABLE
FAIL	NOT_ASSESSABLE	PASS	PREDICTIVE_NOT_ASSESSABLE
FAIL	NOT_ASSESSABLE	FAIL	PREDICTIVE_NOT_ASSESSABLE
FAIL	NOT_ASSESSABLE	NOT_ASSESSABLE	PREDICTIVE_NOT_ASSESSABLE
NOT_ASSESSABLE	PASS	PASS	PREDICTIVE_NOT_ASSESSABLE
NOT_ASSESSABLE	PASS	FAIL	PREDICTIVE_NOT_ASSESSABLE
NOT_ASSESSABLE	PASS	NOT_ASSESSABLE	PREDICTIVE_NOT_ASSESSABLE
NOT_ASSESSABLE	FAIL	PASS	PREDICTIVE_NOT_ASSESSABLE
NOT_ASSESSABLE	FAIL	FAIL	PREDICTIVE_NOT_ASSESSABLE
NOT_ASSESSABLE	FAIL	NOT_ASSESSABLE	PREDICTIVE_NOT_ASSESSABLE
NOT_ASSESSABLE	NOT_ASSESSABLE	PASS	PREDICTIVE_NOT_ASSESSABLE
NOT_ASSESSABLE	NOT_ASSESSABLE	FAIL	PREDICTIVE_NOT_ASSESSABLE
NOT_ASSESSABLE	NOT_ASSESSABLE	NOT_ASSESSABLE	PREDICTIVE_NOT_ASSESSABLE
