artifact	field_or_region	old_hash	new_hash	change_class	reason	scientific_semantics_changed	verdict
G1V2_CANDIDATE_REGISTRY.tsv	entire artifact	96b618ab324db77b8402081075241b275f8925c45cdab058ba741e4beed29b58	96b618ab324db77b8402081075241b275f8925c45cdab058ba741e4beed29b58	UNCHANGED_PARENT	no refreeze issued	false	PASS_BYTE_IDENTICAL
G1V2_RNG_DOMAIN_REGISTRY.tsv	entire artifact	e47c5a8c62dd8dee34441e4274c0d49d1a7ce4aab0360aff4751cb08b6394a43	e47c5a8c62dd8dee34441e4274c0d49d1a7ce4aab0360aff4751cb08b6394a43	UNCHANGED_PARENT	no refreeze issued	false	PASS_BYTE_IDENTICAL
G1V2_CONTROL_REGISTRY.tsv	entire artifact	261138beb57a4fd61f87d4c0d341ca97223dac76014739a3a4664266722312e6	261138beb57a4fd61f87d4c0d341ca97223dac76014739a3a4664266722312e6	UNCHANGED_PARENT	no refreeze issued	false	PASS_BYTE_IDENTICAL
G1V2_CORPUS_REGISTRY.tsv	entire artifact	db8b49d782f39fe0b5f3b0365d0023e5fc223d5306215be10b636a03123ced03	db8b49d782f39fe0b5f3b0365d0023e5fc223d5306215be10b636a03123ced03	UNCHANGED_PARENT	no refreeze issued	false	PASS_BYTE_IDENTICAL
G1V2_DAG_CONTRACT.json	entire artifact	58f11d4749362d25c39cef3224e358015b587e77a3078b0eba00f3d82be2b0e9	58f11d4749362d25c39cef3224e358015b587e77a3078b0eba00f3d82be2b0e9	UNCHANGED_PARENT	no refreeze issued	false	PASS_BYTE_IDENTICAL
G1V2_REACHABILITY_CONTRACT.tsv	entire artifact	f24ed36b316dad63f215b982ad878b984a2d0e425f92bb365220431a0482badd	f24ed36b316dad63f215b982ad878b984a2d0e425f92bb365220431a0482badd	UNCHANGED_PARENT	no refreeze issued	false	PASS_BYTE_IDENTICAL
G1V2_MODEL_REGISTRY.tsv	entire artifact	363eccca436b008fa752bf0a8f816d9c635f240ad233ce23cebe7321507ba2fe	363eccca436b008fa752bf0a8f816d9c635f240ad233ce23cebe7321507ba2fe	UNCHANGED_PARENT	no refreeze issued	false	PASS_BYTE_IDENTICAL
G1V2_PREDICTIVE_METRIC_REGISTRY.tsv	entire artifact	139656868c07129bcd03637c6cfc834c8394b8f48c20162a657e23250e9829c0	139656868c07129bcd03637c6cfc834c8394b8f48c20162a657e23250e9829c0	UNCHANGED_PARENT	no refreeze issued	false	PASS_BYTE_IDENTICAL
G1V2_STRUCTURAL_METRIC_REGISTRY.tsv	entire artifact	3d5b6e17fe1f80ee80d5563c02d476750399a2d30500c7240a776970fac055b2	3d5b6e17fe1f80ee80d5563c02d476750399a2d30500c7240a776970fac055b2	UNCHANGED_PARENT	no refreeze issued	false	PASS_BYTE_IDENTICAL
G1V2_COMPLEXITY_CONTRACT.tsv	entire artifact	5e52505d73bc739975ddab51fb5bd49ce55ecb63a3018866d18abf1a184c3e01	5e52505d73bc739975ddab51fb5bd49ce55ecb63a3018866d18abf1a184c3e01	UNCHANGED_PARENT	no refreeze issued	false	PASS_BYTE_IDENTICAL
G1V2_EXECUTABLE_CONTRACT_V1_1.md	entire artifact	ABSENT	ABSENT	NOT_CREATED	expanded-defect stop	N/A	BLOCKED
G1V2_EXECUTABLE_CONTRACT_V1_1.json	entire artifact	ABSENT	ABSENT	NOT_CREATED	expanded-defect stop	N/A	BLOCKED
schemas/	status branches	8462ceb7f34efce1674528af7e69bdbf6855cd4938494d6d5034247245235ed0	NOT_CREATED	NOT_CREATED	no unique matrix	N/A	BLOCKED
