evidence_type	schema_id	old_schema_sha256	new_schema_sha256	producer_stages	allowed_statuses	forbidden_statuses	positive_cases	negative_cases	mutation_cases	custom_normative_keywords	primary_validator	secondary_validator	verdict
fit	urn:g1v2:fit:v1_1	feae44ad10a369a93a90ebd70e8552593c225cf1b18819b355c201dac72134e3	5c641e6b9991c86ded9fd5159e6a0de826127ea64956b1452b622d398edf86fb	FIT	FIT_SUCCESS	PASS;FAIL;NOT_ASSESSABLE;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	1	12	44	NONE	Ajv 8.17.1	Hyperjump 1.17.1	PASS
fitted_model	urn:g1v2:fitted_model:v1_1	3f054999117872d5eccaf6f37118a5cb0bfdc73cb1156fbe74f388742b5222a7	7d91eb7f9db5a7df129e9645c50466b0d39d23bf44bd5905f7e01bef8f5fe4a6	FIT	FIT_SUCCESS	PASS;FAIL;NOT_ASSESSABLE;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	1	12	44	NONE	Ajv 8.17.1	Hyperjump 1.17.1	PASS
predictive_metric	urn:g1v2:predictive_metric:v1_1	ae2fb7ec684b70c6f425a02437948501b81d3ebae2587a2a26a470a45cfcd6f4	f651e6c0ad93db2a2a0e912b8575f6c61def772052cf41a92c0072a07ac035af	PREDICTIVE	PASS;FAIL;NOT_ASSESSABLE	FIT_SUCCESS;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	3	10	137	NONE	Ajv 8.17.1	Hyperjump 1.17.1	PASS
predictive_gate	urn:g1v2:predictive_gate:v1_1	e760ea4cb12d4a52a32121645b56d8d68fdcc2f5afa2db106ce80b92b5798198	4104c48f309f4866d009e6654d5b19cd24cff5c0ea016453612273b13c2226b4	PREDICTIVE	PASS;FAIL;NOT_ASSESSABLE	FIT_SUCCESS;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	3	10	149	NONE	Ajv 8.17.1	Hyperjump 1.17.1	PASS
predictive_verdict	urn:g1v2:predictive_verdict:v1_1	02015b04ecf4c4b79ec59ab8cad8c77b838eb27accf4a979437f4385b7add5e0	570a38c442a73dc160d2d3528d9f618199acc14fd0bdc44a4d8288d20356bb08	PREDICTIVE	PASS;FAIL;NOT_ASSESSABLE	FIT_SUCCESS;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	3	10	141	NONE	Ajv 8.17.1	Hyperjump 1.17.1	PASS
generation	urn:g1v2:generation:v1_1	ef15a6ada313b6ad24c9f32974aae00036f894ed5b1eb24c4385a308db28b1cd	647e83ca64beb4fd1963d2625fb61a68ec9ef6315fa522c85f91038088f74a94	GENERATION	GENERATION_SUCCESS	PASS;FAIL;NOT_ASSESSABLE;FIT_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	1	12	48	NONE	Ajv 8.17.1	Hyperjump 1.17.1	PASS
f2_metric	urn:g1v2:f2_metric:v1_1	e7e238b15a5d0271b3834475f0e60ad299c2895b60af4c9a901aa4946b85029a	be66f3d93e6997f59b13ae6e4e3babcd88759213f53304d49113f5ba77bf4073	F2_METRIC	PASS;FAIL;NOT_ASSESSABLE	FIT_SUCCESS;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	3	10	149	NONE	Ajv 8.17.1	Hyperjump 1.17.1	PASS
structural_family	urn:g1v2:structural_family:v1_1	2f8fc48934f92f99e68b1f8298ae0b88c94ad5dc6ace6532e92ecf1f7d5bb1f3	5e1e087667488bee77f000c71f96b6629cff5bdd7e9fe28f7c6b5a3376200c3b	CANDIDATE_AGGREGATION	PASS;FAIL;NOT_ASSESSABLE	FIT_SUCCESS;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	3	10	141	NONE	Ajv 8.17.1	Hyperjump 1.17.1	PASS
structural_gate	urn:g1v2:structural_gate:v1_1	f70c2b65cb0806e5cc26966b351d658cfc0f01a8e6975220d1cba40c6ab0b703	52a91b197856a4dc1461ce9d23953e01207c2342e5f9d553a39ab3ee248188f1	CANDIDATE_AGGREGATION	PASS;FAIL;NOT_ASSESSABLE	FIT_SUCCESS;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	3	10	147	NONE	Ajv 8.17.1	Hyperjump 1.17.1	PASS
structural_verdict	urn:g1v2:structural_verdict:v1_1	da8800fc1a635024aed30fa437f1503b116809b40f22b8ae07a4fcbe30717e95	9e86e50bc4b5dcb305e06a7b090736f2a0bb51add86b6d0ac73a87a617f100d2	CANDIDATE_AGGREGATION	PASS;FAIL;NOT_ASSESSABLE	FIT_SUCCESS;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	3	10	129	NONE	Ajv 8.17.1	Hyperjump 1.17.1	PASS
