evidence_type	schema_id	handler_fixture_count	status
complexity	g1v2.complexity.v1_2_1	1	PASS
f2_metric	g1v2.f2_metric.v1_2_1	1	PASS
final_verdict	g1v2.final_verdict.v1_2_1	1	PASS
fit	g1v2.fit.v1_2_1	1	PASS
fitted_model	g1v2.fitted_model.v1_2_1	1	PASS
generation	g1v2.generation.v1_2_1	1	PASS
minimality	g1v2.minimality.v1_2_1	1	PASS
not_reached	g1v2.not_reached.v1_2_1	1	PASS
predictive_gate	g1v2.predictive_gate.v1_2_1	1	PASS
predictive_metric	g1v2.predictive_metric.v1_2_1	4	PASS
predictive_verdict	g1v2.predictive_verdict.v1_2_1	1	PASS
scientific_failure	g1v2.scientific_failure.v1_2_1	1	PASS
structural_family	g1v2.structural_family.v1_2_1	2	PASS
structural_gate	g1v2.structural_gate.v1_2_1	2	PASS
structural_verdict	g1v2.structural_verdict.v1_2_1	1	PASS
