path	kind	handler	status
M0_GEN_A	synthetic	GenerateSynthetic	PASS
M0_GEN_B	synthetic	GenerateSynthetic	PASS
M1_GEN_A	synthetic	GenerateSynthetic	PASS
M1_GEN_B	synthetic	GenerateSynthetic	PASS
M2_GEN_A	synthetic	GenerateSynthetic	PASS
M2_GEN_B	synthetic	GenerateSynthetic	PASS
M3_GEN_A	synthetic	GenerateSynthetic	PASS
M3_GEN_B	synthetic	GenerateSynthetic	PASS
M4_GEN_A	synthetic	GenerateSynthetic	PASS
M4_GEN_B	synthetic	GenerateSynthetic	PASS
M5_GEN_A	synthetic	GenerateSynthetic	PASS
M5_GEN_B	synthetic	GenerateSynthetic	PASS
M0/iid/A	fitted	GenerateFitted	PASS
M0/iid/B	fitted	GenerateFitted	PASS
M1/markov/A	fitted	GenerateFitted	PASS
M1/markov/B	fitted	GenerateFitted	PASS
M2/pst/A	fitted	GenerateFitted	PASS
M2/pst/B	fitted	GenerateFitted	PASS
M3/exact/A	fitted	GenerateFitted	PASS
M3/exact/B	fitted	GenerateFitted	PASS
M3/approx/A	fitted	GenerateFitted	PASS
M3/approx/B	fitted	GenerateFitted	PASS
M4/hmm/A	fitted	GenerateFitted	PASS
M4/hmm/B	fitted	GenerateFitted	PASS
M5/grammar/A	fitted	GenerateFitted	PASS
M5/grammar/B	fitted	GenerateFitted	PASS
