golden_id	old_artifact	old_expected_value_or_hash	new_expected_value_or_hash	classification	reason	scientific_consequence
COMPLEX-M0	G1V2_GOLDEN_SUITE.json	null	null	UNAFFECTED	no dependency on fitted probability vector	none
M0-BOUNDARY	G1V2_GOLDEN_SUITE.json	null	null	UNAFFECTED	no dependency on fitted probability vector	none
M0-FIT	G1V2_GOLDEN_SUITE.json	"{""counts"":{""<EOS>"":2,""a"":2,""b"":1},""denominator"":""8"",""p_a"":""0.375"",""p_b"":""0.25"",""p_eos"":""0.375"",""score_ab_bits"":""4.8300749985576878""}"	"{""counts"":{""<EOS>"":2,""<UNK>"":0,""a"":2,""b"":1},""denominator"":""9"",""outcomes"":[""a"",""b"",""<UNK>"",""<EOS>""],""p_a"":""0.33333333333333331"",""p_b"":""0.22222222222222221"",""p_eos"":""0.33333333333333331"",""p_unk"":""0.1111111111111111"",""score_ab_bits"":""5.3398500028846252""}"	DEFECTIVE_AND_REPLACED	H-SC03 outcome-space repair	fitted probability
M0-GEN	G1V2_GOLDEN_SUITE.json	"""a"""	"""a"""	UNAFFECTED	no dependency on fitted probability vector	none
M0-SELECT	G1V2_GOLDEN_SUITE.json	"""M0-iid-0p1"""	"""M0-iid-0p1"""	UNAFFECTED	no dependency on fitted probability vector	none
M0-UNSEEN	G1V2_GOLDEN_SUITE.json	"{""alpha0_status"":""NOT_ASSESSABLE"",""mapped"":""<UNK>"",""positive_alpha"":""positive""}"	"{""alpha0_status"":""NOT_ASSESSABLE"",""alpha1_probability"":""0.1111111111111111"",""mapped"":""<UNK>"",""positive_alpha"":""positive""}"	DEFECTIVE_AND_REPLACED	H-SC03 outcome-space repair	fitted probability
PF-SC01	G1V2_GENERATION_GOLDEN_SUITE_V1.json	"{""draws"":1,""emitted_hex"":""64"",""outcome"":""d"",""state"":""INSIDE_TOKEN"",""status"":""OK""}"	"{""draws"":1,""emitted_hex"":""64"",""outcome"":""d"",""state"":""INSIDE_TOKEN"",""status"":""OK""}"	UNAFFECTED	explicit generation row or route algorithm does not derive parent M0 fit	none
ROUTE-M0_GEN_A	G1V2_GENERATION_GOLDEN_SUITE_V1.json	"{""attempt_cap"":1024,""author"":""A"",""max_token_glyphs"":64,""model"":""M0"",""primitive"":""DIRECT_CDF""}"	"{""attempt_cap"":1024,""author"":""A"",""max_token_glyphs"":64,""model"":""M0"",""primitive"":""DIRECT_CDF""}"	UNAFFECTED	explicit generation row or route algorithm does not derive parent M0 fit	none
ROUTE-M0_GEN_B	G1V2_GENERATION_GOLDEN_SUITE_V1.json	"{""attempt_cap"":1024,""author"":""B"",""max_token_glyphs"":64,""model"":""M0"",""primitive"":""EXPONENTIAL_RACE""}"	"{""attempt_cap"":1024,""author"":""B"",""max_token_glyphs"":64,""model"":""M0"",""primitive"":""EXPONENTIAL_RACE""}"	UNAFFECTED	explicit generation row or route algorithm does not derive parent M0 fit	none
INHERITED-M0-FIT	G1V2_GENERATION_GOLDEN_SUITE_V1.json	"{""counts"":{""<EOS>"":2,""a"":2,""b"":1},""denominator"":""8"",""p_a"":""0.375"",""p_b"":""0.25"",""p_eos"":""0.375"",""score_ab_bits"":""4.8300749985576878""}"	"{""counts"":{""<EOS>"":2,""<UNK>"":0,""a"":2,""b"":1},""denominator"":""9"",""outcomes"":[""a"",""b"",""<UNK>"",""<EOS>""],""p_a"":""0.33333333333333331"",""p_b"":""0.22222222222222221"",""p_eos"":""0.33333333333333331"",""p_unk"":""0.1111111111111111"",""score_ab_bits"":""5.3398500028846252""}"	TRANSITIVELY_CHANGED	corrected upstream M0 golden embedded in generation closure	golden authority only; generator algorithm unchanged
INHERITED-M0-UNSEEN	G1V2_GENERATION_GOLDEN_SUITE_V1.json	"{""alpha0_status"":""NOT_ASSESSABLE"",""mapped"":""<UNK>"",""positive_alpha"":""positive""}"	"{""alpha0_status"":""NOT_ASSESSABLE"",""alpha1_probability"":""0.1111111111111111"",""mapped"":""<UNK>"",""positive_alpha"":""positive""}"	TRANSITIVELY_CHANGED	corrected upstream M0 golden embedded in generation closure	golden authority only; generator algorithm unchanged
