generator_id	model_class	author_route	mechanism	parameters	sampling_algorithm	independence_rationale	max_token_glyphs	attempt_cap	spec_sha256
M0_GEN_A	M0	A	categorical IID token source	"{""outcomes"":[""a"",""b"",""c"",""d"",""<EOS>""],""probabilities"":[""0.28"",""0.22"",""0.18"",""0.12"",""0.20""]}"	sequential inverse-CDF from explicit probability rows	direct mathematical sampler; isolated specification module	64	1024	2636b6e0d7fd6d5d77a4dfc8a9d70c9d3130cd3f543139a2602021ea25a55c6a
M0_GEN_B	M0	B	categorical IID token source	"{""outcomes"":[""a"",""b"",""c"",""d"",""<EOS>""],""probabilities"":[""0.28"",""0.22"",""0.18"",""0.12"",""0.20""]}"	enumerate complete finite outcomes/derivations in UTF-8 order; use exponential-race keys -ln(u)/weight (M1 uses Walker alias; M4 uses cumulative matrix rows)	different sampling construction and independently authored module; shares only frozen distribution	64	1024	1d734ab5bb307a7abeb9a3b36cfbc0ae709500589911844eb8a299f5f1f45653
M1_GEN_A	M1	A	second-order cyclic Markov source	"{""alphabet"":[""a"",""b"",""c"",""d""],""eos_probability"":""0.15"",""order"":2,""transition_rule"":""given last glyph index i: next i+1 mod4=.45, i=.25, other two=.075 each; BOS uses [.4,.3,.2,.1] before EOS renormalization""}"	sequential inverse-CDF from explicit probability rows	direct mathematical sampler; isolated specification module	64	1024	8f16347e1575b507a627a77028ffb0b3a1f11338f80ef4c18dbfbcc1139775ad
M1_GEN_B	M1	B	second-order cyclic Markov source	"{""alphabet"":[""a"",""b"",""c"",""d""],""eos_probability"":""0.15"",""order"":2,""transition_rule"":""given last glyph index i: next i+1 mod4=.45, i=.25, other two=.075 each; BOS uses [.4,.3,.2,.1] before EOS renormalization""}"	enumerate complete finite outcomes/derivations in UTF-8 order; use exponential-race keys -ln(u)/weight (M1 uses Walker alias; M4 uses cumulative matrix rows)	different sampling construction and independently authored module; shares only frozen distribution	64	1024	e174e593a50b493e54fc36b592595c0b4a034f9c58940f1d79e902ae05ebc3ac
M2_GEN_A	M2	A	sparse suffix-tree source	"{""alphabet"":[""a"",""b"",""c"",""d""],""contexts"":{""ab"":{""c"":""0.7""},""ba"":{""d"":""0.65""},""c"":{""a"":""0.55""},""root"":{""a"":""0.3"",""b"":""0.3"",""c"":""0.2"",""d"":""0.2""}},""eos_probability"":""0.16"",""max_depth"":4,""remainder"":""distribute pro rata to root""}"	sequential inverse-CDF from explicit probability rows	direct mathematical sampler; isolated specification module	64	1024	f7ee0200c4f7dc3522a16a970e04865b3c53041d9e280ae41487e97df00be8b6
M2_GEN_B	M2	B	sparse suffix-tree source	"{""alphabet"":[""a"",""b"",""c"",""d""],""contexts"":{""ab"":{""c"":""0.7""},""ba"":{""d"":""0.65""},""c"":{""a"":""0.55""},""root"":{""a"":""0.3"",""b"":""0.3"",""c"":""0.2"",""d"":""0.2""}},""eos_probability"":""0.16"",""max_depth"":4,""remainder"":""distribute pro rata to root""}"	enumerate complete finite outcomes/derivations in UTF-8 order; use exponential-race keys -ln(u)/weight (M1 uses Walker alias; M4 uses cumulative matrix rows)	different sampling construction and independently authored module; shares only frozen distribution	64	1024	abeccdc5c9720761dba99372e38236c680dc98b8023a5ebe218b54a32983f668
M3_GEN_A	M3	A	four-state deterministic-transition probabilistic DFA	"{""rows"":{""0"":{""a"":[1,""0.6""],""b"":[2,""0.4""]},""1"":{""<EOS>"":[0,""0.3""],""c"":[3,""0.7""]},""2"":{""<EOS>"":[0,""0.35""],""d"":[3,""0.65""]},""3"":{""<EOS>"":[0,""0.5""],""a"":[1,""0.25""],""b"":[2,""0.25""]}},""start"":0,""states"":[0,1,2,3]}"	sequential inverse-CDF from explicit probability rows	direct mathematical sampler; isolated specification module	64	1024	4fa805eb5fb82649eab872e9739d739278f798a010d914a26bac75ebfe1672c1
M3_GEN_B	M3	B	four-state deterministic-transition probabilistic DFA	"{""rows"":{""0"":{""a"":[1,""0.6""],""b"":[2,""0.4""]},""1"":{""<EOS>"":[0,""0.3""],""c"":[3,""0.7""]},""2"":{""<EOS>"":[0,""0.35""],""d"":[3,""0.65""]},""3"":{""<EOS>"":[0,""0.5""],""a"":[1,""0.25""],""b"":[2,""0.25""]}},""start"":0,""states"":[0,1,2,3]}"	enumerate complete finite outcomes/derivations in UTF-8 order; use exponential-race keys -ln(u)/weight (M1 uses Walker alias; M4 uses cumulative matrix rows)	different sampling construction and independently authored module; shares only frozen distribution	64	1024	65ba609e0a34570c3419bf5c5949083a6b8e5b9c53c776563797329797b21882
M4_GEN_A	M4	A	three-state HMM token source	"{""emissions"":{""0"":{""<EOS>"":""0.15"",""a"":""0.45"",""b"":""0.25"",""c"":""0.1"",""d"":""0.05""},""1"":{""<EOS>"":""0.15"",""a"":""0.1"",""b"":""0.45"",""c"":""0.2"",""d"":""0.1""},""2"":{""<EOS>"":""0.2"",""a"":""0.1"",""b"":""0.1"",""c"":""0.3"",""d"":""0.3""}},""pi"":[""0.6"",""0.3"",""0.1""],""states"":3,""transition"":[[""0.7"",""0.2"",""0.1""],[""0.15"",""0.7"",""0.15""],[""0.2"",""0.2"",""0.6""]]}"	sequential inverse-CDF from explicit probability rows	direct mathematical sampler; isolated specification module	64	1024	79a3eb02a21f84a6398ecbf538348c1411aee51e9c8525ba99592b337512fce8
M4_GEN_B	M4	B	three-state HMM token source	"{""emissions"":{""0"":{""<EOS>"":""0.15"",""a"":""0.45"",""b"":""0.25"",""c"":""0.1"",""d"":""0.05""},""1"":{""<EOS>"":""0.15"",""a"":""0.1"",""b"":""0.45"",""c"":""0.2"",""d"":""0.1""},""2"":{""<EOS>"":""0.2"",""a"":""0.1"",""b"":""0.1"",""c"":""0.3"",""d"":""0.3""}},""pi"":[""0.6"",""0.3"",""0.1""],""states"":3,""transition"":[[""0.7"",""0.2"",""0.1""],[""0.15"",""0.7"",""0.15""],[""0.2"",""0.2"",""0.6""]]}"	enumerate complete finite outcomes/derivations in UTF-8 order; use exponential-race keys -ln(u)/weight (M1 uses Walker alias; M4 uses cumulative matrix rows)	different sampling construction and independently authored module; shares only frozen distribution	64	1024	c1ca8b3f9d3c6e1b08858dba52a075545bf38310b7cad7ab77c42208b57d373e
