branch	subset	stage	count_or_status	provenance
NATURAL	ALL	TOTAL_MODEL_EXECUTIONS	576	DERIVED_RECOMPUTATION
NATURAL	ALL	TRAINING_SUCCESS	406	DERIVED_RECOMPUTATION
NATURAL	ALL	PM1_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
NATURAL	ALL	PM2_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
NATURAL	ALL	PM4_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
NATURAL	ALL	PM5_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
NATURAL	ALL	PM6_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
NATURAL	ALL	PREDICTIVE_ADEQUATE	0	DERIVED_RECOMPUTATION
NATURAL	ALL	STRUCTURAL_EVALUABLE	406	DERIVED_RECOMPUTATION
NATURAL	ALL	STRUCTURAL_ADEQUATE	31	DERIVED_RECOMPUTATION
NATURAL	ALL	FINAL_ADEQUATE	0	DERIVED_RECOMPUTATION
NATURAL	English	TOTAL_MODEL_EXECUTIONS	192	DERIVED_RECOMPUTATION
NATURAL	English	TRAINING_SUCCESS	144	DERIVED_RECOMPUTATION
NATURAL	English	PM1_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
NATURAL	English	PM2_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
NATURAL	English	PM4_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
NATURAL	English	PM5_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
NATURAL	English	PM6_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
NATURAL	English	PREDICTIVE_ADEQUATE	0	DERIVED_RECOMPUTATION
NATURAL	English	STRUCTURAL_EVALUABLE	144	DERIVED_RECOMPUTATION
NATURAL	English	STRUCTURAL_ADEQUATE	16	DERIVED_RECOMPUTATION
NATURAL	English	FINAL_ADEQUATE	0	DERIVED_RECOMPUTATION
NATURAL	Latin	TOTAL_MODEL_EXECUTIONS	192	DERIVED_RECOMPUTATION
NATURAL	Latin	TRAINING_SUCCESS	132	DERIVED_RECOMPUTATION
NATURAL	Latin	PM1_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
NATURAL	Latin	PM2_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
NATURAL	Latin	PM4_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
NATURAL	Latin	PM5_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
NATURAL	Latin	PM6_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
NATURAL	Latin	PREDICTIVE_ADEQUATE	0	DERIVED_RECOMPUTATION
NATURAL	Latin	STRUCTURAL_EVALUABLE	132	DERIVED_RECOMPUTATION
NATURAL	Latin	STRUCTURAL_ADEQUATE	5	DERIVED_RECOMPUTATION
NATURAL	Latin	FINAL_ADEQUATE	0	DERIVED_RECOMPUTATION
NATURAL	Sanskrit	TOTAL_MODEL_EXECUTIONS	192	DERIVED_RECOMPUTATION
NATURAL	Sanskrit	TRAINING_SUCCESS	130	DERIVED_RECOMPUTATION
NATURAL	Sanskrit	PM1_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
NATURAL	Sanskrit	PM2_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
NATURAL	Sanskrit	PM4_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
NATURAL	Sanskrit	PM5_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
NATURAL	Sanskrit	PM6_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
NATURAL	Sanskrit	PREDICTIVE_ADEQUATE	0	DERIVED_RECOMPUTATION
NATURAL	Sanskrit	STRUCTURAL_EVALUABLE	130	DERIVED_RECOMPUTATION
NATURAL	Sanskrit	STRUCTURAL_ADEQUATE	10	DERIVED_RECOMPUTATION
NATURAL	Sanskrit	FINAL_ADEQUATE	0	DERIVED_RECOMPUTATION
