contract_requirement	normative_source	implementation	tests	golden_vectors	evidence_schema	status	notes
Task85c hash closure	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
Task85c golden reference	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
canonicalization	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
numerical profile	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
RNG	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
M0	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
M1	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
M2	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
M3 exact	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
M3 approximate	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
M3 aggregation	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
M4	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
M5	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
selection	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
B1	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
B2	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
PM1	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
PM2	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
PM4	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
PM5	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
PM6	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
predictive aggregation	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
generation	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
F2 integration	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
structural thresholds	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
structural aggregation	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
complexity	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
minimality	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
NONE	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
NOT_IDENTIFIABLE	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
status semantics	research/phase3/task85c	NOT_IMPLEMENTED	reproduce_contract_defect.py	NONE	N/A	CONTRACT_DEFECT	stop rule section 5
reachability	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
evidence schemas	research/phase3/task85c	NOT_IMPLEMENTED	reproduce_contract_defect.py	NONE	Task85c schemas	CONTRACT_DEFECT	stop rule section 5
evidence hashing	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	Task85c schemas	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
evidence-only verification	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	Task85c schemas	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
synthetic generator independence	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
blind construction	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
escrow isolation	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
natural preprocessing	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
input closure	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
threshold freeze	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
DAG exact counts	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
JobID	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
manifest blindness	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
golden suite	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	Task85c suite	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
local E2E	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
distributed E2E	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
retry determinism	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
coordinator restart	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
duplicate handling	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
conflict handling	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
capacity qualification	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
production executable freeze	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
operator handoff	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
blind firewall	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
natural confirmatory firewall	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
Voynich firewall	research/phase3/task85c	NOT_IMPLEMENTED	NOT_RUN	NONE	N/A	BLOCKED_CONTRACT_DEFECT_A17	stop rule section 5
