opaque_id	ground_truth_class	implementation	variant	scale	tokens	replicate	seed	path
s-9cd898e03523	M0	INDEPENDENT	1	SMALL	512	0	2893170267363792783	research/phase3/task86c/inputs/s-9cd898e03523/small/r00.txt
s-9cd898e03523	M0	INDEPENDENT	1	SMALL	512	1	12166122804673930339	research/phase3/task86c/inputs/s-9cd898e03523/small/r01.txt
s-9cd898e03523	M0	INDEPENDENT	1	SMALL	512	2	152922701493645734	research/phase3/task86c/inputs/s-9cd898e03523/small/r02.txt
s-9cd898e03523	M0	INDEPENDENT	1	SMALL	512	3	2718526796746178301	research/phase3/task86c/inputs/s-9cd898e03523/small/r03.txt
s-9cd898e03523	M0	INDEPENDENT	1	SMALL	512	4	11830176574981122473	research/phase3/task86c/inputs/s-9cd898e03523/small/r04.txt
s-9cd898e03523	M0	INDEPENDENT	1	SMALL	512	5	12009113777480840219	research/phase3/task86c/inputs/s-9cd898e03523/small/r05.txt
s-9cd898e03523	M0	INDEPENDENT	1	SMALL	512	6	11291475190264637695	research/phase3/task86c/inputs/s-9cd898e03523/small/r06.txt
s-9cd898e03523	M0	INDEPENDENT	1	SMALL	512	7	15066619668972747372	research/phase3/task86c/inputs/s-9cd898e03523/small/r07.txt
s-9cd898e03523	M0	INDEPENDENT	1	MEDIUM	2048	0	4425826291417588787	research/phase3/task86c/inputs/s-9cd898e03523/medium/r00.txt
s-9cd898e03523	M0	INDEPENDENT	1	MEDIUM	2048	1	8969964256844675245	research/phase3/task86c/inputs/s-9cd898e03523/medium/r01.txt
s-9cd898e03523	M0	INDEPENDENT	1	MEDIUM	2048	2	9925093265465222309	research/phase3/task86c/inputs/s-9cd898e03523/medium/r02.txt
s-9cd898e03523	M0	INDEPENDENT	1	MEDIUM	2048	3	13298388755490153487	research/phase3/task86c/inputs/s-9cd898e03523/medium/r03.txt
s-9cd898e03523	M0	INDEPENDENT	1	MEDIUM	2048	4	16009144600227305217	research/phase3/task86c/inputs/s-9cd898e03523/medium/r04.txt
s-9cd898e03523	M0	INDEPENDENT	1	MEDIUM	2048	5	11945752663440559113	research/phase3/task86c/inputs/s-9cd898e03523/medium/r05.txt
s-9cd898e03523	M0	INDEPENDENT	1	MEDIUM	2048	6	15538899154351596702	research/phase3/task86c/inputs/s-9cd898e03523/medium/r06.txt
s-9cd898e03523	M0	INDEPENDENT	1	MEDIUM	2048	7	2276198571494063900	research/phase3/task86c/inputs/s-9cd898e03523/medium/r07.txt
s-9cd898e03523	M0	INDEPENDENT	1	VOYNICH_SCALE	38000	0	7354946226428826539	research/phase3/task86c/inputs/s-9cd898e03523/voynich_scale/r00.txt
s-9cd898e03523	M0	INDEPENDENT	1	VOYNICH_SCALE	38000	1	14168685336732664709	research/phase3/task86c/inputs/s-9cd898e03523/voynich_scale/r01.txt
s-9cd898e03523	M0	INDEPENDENT	1	VOYNICH_SCALE	38000	2	15723281831614464132	research/phase3/task86c/inputs/s-9cd898e03523/voynich_scale/r02.txt
s-9cd898e03523	M0	INDEPENDENT	1	VOYNICH_SCALE	38000	3	14455448808630676851	research/phase3/task86c/inputs/s-9cd898e03523/voynich_scale/r03.txt
s-9cd898e03523	M0	INDEPENDENT	1	VOYNICH_SCALE	38000	4	14522738884839066160	research/phase3/task86c/inputs/s-9cd898e03523/voynich_scale/r04.txt
s-9cd898e03523	M0	INDEPENDENT	1	VOYNICH_SCALE	38000	5	12132113197621115609	research/phase3/task86c/inputs/s-9cd898e03523/voynich_scale/r05.txt
s-9cd898e03523	M0	INDEPENDENT	1	VOYNICH_SCALE	38000	6	7839285259279541461	research/phase3/task86c/inputs/s-9cd898e03523/voynich_scale/r06.txt
s-9cd898e03523	M0	INDEPENDENT	1	VOYNICH_SCALE	38000	7	1499204999234902319	research/phase3/task86c/inputs/s-9cd898e03523/voynich_scale/r07.txt
s-9cd898e03523	M0	INDEPENDENT	1	LARGE	65536	0	3507317480434517132	research/phase3/task86c/inputs/s-9cd898e03523/large/r00.txt
s-9cd898e03523	M0	INDEPENDENT	1	LARGE	65536	1	7793532149319305222	research/phase3/task86c/inputs/s-9cd898e03523/large/r01.txt
s-9cd898e03523	M0	INDEPENDENT	1	LARGE	65536	2	15466276466012617936	research/phase3/task86c/inputs/s-9cd898e03523/large/r02.txt
s-9cd898e03523	M0	INDEPENDENT	1	LARGE	65536	3	5442492868702077592	research/phase3/task86c/inputs/s-9cd898e03523/large/r03.txt
s-9cd898e03523	M0	INDEPENDENT	1	LARGE	65536	4	1238517753802655071	research/phase3/task86c/inputs/s-9cd898e03523/large/r04.txt
s-9cd898e03523	M0	INDEPENDENT	1	LARGE	65536	5	14947458401819131894	research/phase3/task86c/inputs/s-9cd898e03523/large/r05.txt
s-9cd898e03523	M0	INDEPENDENT	1	LARGE	65536	6	1100450371511937219	research/phase3/task86c/inputs/s-9cd898e03523/large/r06.txt
s-9cd898e03523	M0	INDEPENDENT	1	LARGE	65536	7	8830419726537391127	research/phase3/task86c/inputs/s-9cd898e03523/large/r07.txt
s-aab291e34c5e	M0	INDEPENDENT	2	SMALL	512	0	8930911459471455959	research/phase3/task86c/inputs/s-aab291e34c5e/small/r00.txt
s-aab291e34c5e	M0	INDEPENDENT	2	SMALL	512	1	894057367579316134	research/phase3/task86c/inputs/s-aab291e34c5e/small/r01.txt
s-aab291e34c5e	M0	INDEPENDENT	2	SMALL	512	2	17084957352250401795	research/phase3/task86c/inputs/s-aab291e34c5e/small/r02.txt
s-aab291e34c5e	M0	INDEPENDENT	2	SMALL	512	3	12863228936870361657	research/phase3/task86c/inputs/s-aab291e34c5e/small/r03.txt
s-aab291e34c5e	M0	INDEPENDENT	2	SMALL	512	4	15897783888147096254	research/phase3/task86c/inputs/s-aab291e34c5e/small/r04.txt
s-aab291e34c5e	M0	INDEPENDENT	2	SMALL	512	5	6008387457982998813	research/phase3/task86c/inputs/s-aab291e34c5e/small/r05.txt
s-aab291e34c5e	M0	INDEPENDENT	2	SMALL	512	6	8156095637352624300	research/phase3/task86c/inputs/s-aab291e34c5e/small/r06.txt
s-aab291e34c5e	M0	INDEPENDENT	2	SMALL	512	7	4539963763563233623	research/phase3/task86c/inputs/s-aab291e34c5e/small/r07.txt
s-aab291e34c5e	M0	INDEPENDENT	2	MEDIUM	2048	0	15557410662598690064	research/phase3/task86c/inputs/s-aab291e34c5e/medium/r00.txt
s-aab291e34c5e	M0	INDEPENDENT	2	MEDIUM	2048	1	4170039995836567133	research/phase3/task86c/inputs/s-aab291e34c5e/medium/r01.txt
s-aab291e34c5e	M0	INDEPENDENT	2	MEDIUM	2048	2	6617382925585163496	research/phase3/task86c/inputs/s-aab291e34c5e/medium/r02.txt
s-aab291e34c5e	M0	INDEPENDENT	2	MEDIUM	2048	3	18090991087915758053	research/phase3/task86c/inputs/s-aab291e34c5e/medium/r03.txt
s-aab291e34c5e	M0	INDEPENDENT	2	MEDIUM	2048	4	7329160869138233772	research/phase3/task86c/inputs/s-aab291e34c5e/medium/r04.txt
s-aab291e34c5e	M0	INDEPENDENT	2	MEDIUM	2048	5	9433728775354827676	research/phase3/task86c/inputs/s-aab291e34c5e/medium/r05.txt
s-aab291e34c5e	M0	INDEPENDENT	2	MEDIUM	2048	6	9108166206112192680	research/phase3/task86c/inputs/s-aab291e34c5e/medium/r06.txt
s-aab291e34c5e	M0	INDEPENDENT	2	MEDIUM	2048	7	5175571521498834429	research/phase3/task86c/inputs/s-aab291e34c5e/medium/r07.txt
s-aab291e34c5e	M0	INDEPENDENT	2	VOYNICH_SCALE	38000	0	3111533380056275470	research/phase3/task86c/inputs/s-aab291e34c5e/voynich_scale/r00.txt
s-aab291e34c5e	M0	INDEPENDENT	2	VOYNICH_SCALE	38000	1	16307872150991397624	research/phase3/task86c/inputs/s-aab291e34c5e/voynich_scale/r01.txt
s-aab291e34c5e	M0	INDEPENDENT	2	VOYNICH_SCALE	38000	2	4585642085496641177	research/phase3/task86c/inputs/s-aab291e34c5e/voynich_scale/r02.txt
s-aab291e34c5e	M0	INDEPENDENT	2	VOYNICH_SCALE	38000	3	7507091941391816559	research/phase3/task86c/inputs/s-aab291e34c5e/voynich_scale/r03.txt
s-aab291e34c5e	M0	INDEPENDENT	2	VOYNICH_SCALE	38000	4	12363208548683792395	research/phase3/task86c/inputs/s-aab291e34c5e/voynich_scale/r04.txt
s-aab291e34c5e	M0	INDEPENDENT	2	VOYNICH_SCALE	38000	5	11254180502370546834	research/phase3/task86c/inputs/s-aab291e34c5e/voynich_scale/r05.txt
s-aab291e34c5e	M0	INDEPENDENT	2	VOYNICH_SCALE	38000	6	14260345676527209101	research/phase3/task86c/inputs/s-aab291e34c5e/voynich_scale/r06.txt
s-aab291e34c5e	M0	INDEPENDENT	2	VOYNICH_SCALE	38000	7	9663109698561924882	research/phase3/task86c/inputs/s-aab291e34c5e/voynich_scale/r07.txt
s-aab291e34c5e	M0	INDEPENDENT	2	LARGE	65536	0	2172375283668770835	research/phase3/task86c/inputs/s-aab291e34c5e/large/r00.txt
s-aab291e34c5e	M0	INDEPENDENT	2	LARGE	65536	1	11457895363447346617	research/phase3/task86c/inputs/s-aab291e34c5e/large/r01.txt
s-aab291e34c5e	M0	INDEPENDENT	2	LARGE	65536	2	13931349387582296136	research/phase3/task86c/inputs/s-aab291e34c5e/large/r02.txt
s-aab291e34c5e	M0	INDEPENDENT	2	LARGE	65536	3	17419199988001278585	research/phase3/task86c/inputs/s-aab291e34c5e/large/r03.txt
s-aab291e34c5e	M0	INDEPENDENT	2	LARGE	65536	4	13707411836755438362	research/phase3/task86c/inputs/s-aab291e34c5e/large/r04.txt
s-aab291e34c5e	M0	INDEPENDENT	2	LARGE	65536	5	7356187411356251679	research/phase3/task86c/inputs/s-aab291e34c5e/large/r05.txt
s-aab291e34c5e	M0	INDEPENDENT	2	LARGE	65536	6	6615014995237584559	research/phase3/task86c/inputs/s-aab291e34c5e/large/r06.txt
s-aab291e34c5e	M0	INDEPENDENT	2	LARGE	65536	7	8129925057699968036	research/phase3/task86c/inputs/s-aab291e34c5e/large/r07.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	SMALL	512	0	13583618711456465337	research/phase3/task86c/inputs/s-09791ffb8ffa/small/r00.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	SMALL	512	1	11163574734759161680	research/phase3/task86c/inputs/s-09791ffb8ffa/small/r01.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	SMALL	512	2	10887623040113128552	research/phase3/task86c/inputs/s-09791ffb8ffa/small/r02.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	SMALL	512	3	10384316284749556087	research/phase3/task86c/inputs/s-09791ffb8ffa/small/r03.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	SMALL	512	4	4871228761705890765	research/phase3/task86c/inputs/s-09791ffb8ffa/small/r04.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	SMALL	512	5	15694470482442911143	research/phase3/task86c/inputs/s-09791ffb8ffa/small/r05.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	SMALL	512	6	18027097864112457781	research/phase3/task86c/inputs/s-09791ffb8ffa/small/r06.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	SMALL	512	7	4113664022049614539	research/phase3/task86c/inputs/s-09791ffb8ffa/small/r07.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	MEDIUM	2048	0	4868507497654571302	research/phase3/task86c/inputs/s-09791ffb8ffa/medium/r00.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	MEDIUM	2048	1	8040972301438508712	research/phase3/task86c/inputs/s-09791ffb8ffa/medium/r01.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	MEDIUM	2048	2	6605260643695160483	research/phase3/task86c/inputs/s-09791ffb8ffa/medium/r02.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	MEDIUM	2048	3	6913245681649101831	research/phase3/task86c/inputs/s-09791ffb8ffa/medium/r03.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	MEDIUM	2048	4	17699443638750154962	research/phase3/task86c/inputs/s-09791ffb8ffa/medium/r04.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	MEDIUM	2048	5	17189766420268779624	research/phase3/task86c/inputs/s-09791ffb8ffa/medium/r05.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	MEDIUM	2048	6	5109451549031284015	research/phase3/task86c/inputs/s-09791ffb8ffa/medium/r06.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	MEDIUM	2048	7	7439899206998730786	research/phase3/task86c/inputs/s-09791ffb8ffa/medium/r07.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	VOYNICH_SCALE	38000	0	8160236157008000362	research/phase3/task86c/inputs/s-09791ffb8ffa/voynich_scale/r00.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	VOYNICH_SCALE	38000	1	13367443887302898936	research/phase3/task86c/inputs/s-09791ffb8ffa/voynich_scale/r01.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	VOYNICH_SCALE	38000	2	283524822247288850	research/phase3/task86c/inputs/s-09791ffb8ffa/voynich_scale/r02.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	VOYNICH_SCALE	38000	3	271849795051006054	research/phase3/task86c/inputs/s-09791ffb8ffa/voynich_scale/r03.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	VOYNICH_SCALE	38000	4	16703889836373236986	research/phase3/task86c/inputs/s-09791ffb8ffa/voynich_scale/r04.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	VOYNICH_SCALE	38000	5	4814015135498752989	research/phase3/task86c/inputs/s-09791ffb8ffa/voynich_scale/r05.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	VOYNICH_SCALE	38000	6	15340069981496698212	research/phase3/task86c/inputs/s-09791ffb8ffa/voynich_scale/r06.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	VOYNICH_SCALE	38000	7	11377517478053788076	research/phase3/task86c/inputs/s-09791ffb8ffa/voynich_scale/r07.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	LARGE	65536	0	4242611877186605873	research/phase3/task86c/inputs/s-09791ffb8ffa/large/r00.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	LARGE	65536	1	6100606537465240179	research/phase3/task86c/inputs/s-09791ffb8ffa/large/r01.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	LARGE	65536	2	7414355777999365078	research/phase3/task86c/inputs/s-09791ffb8ffa/large/r02.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	LARGE	65536	3	17852097149707667012	research/phase3/task86c/inputs/s-09791ffb8ffa/large/r03.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	LARGE	65536	4	11028263831285008260	research/phase3/task86c/inputs/s-09791ffb8ffa/large/r04.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	LARGE	65536	5	450993034749713719	research/phase3/task86c/inputs/s-09791ffb8ffa/large/r05.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	LARGE	65536	6	6443556418058291855	research/phase3/task86c/inputs/s-09791ffb8ffa/large/r06.txt
s-09791ffb8ffa	M0	INDEPENDENT	3	LARGE	65536	7	8787424993043182313	research/phase3/task86c/inputs/s-09791ffb8ffa/large/r07.txt
s-2af7a06b0667	M1	INDEPENDENT	1	SMALL	512	0	17475199716698176177	research/phase3/task86c/inputs/s-2af7a06b0667/small/r00.txt
s-2af7a06b0667	M1	INDEPENDENT	1	SMALL	512	1	15567453213375179203	research/phase3/task86c/inputs/s-2af7a06b0667/small/r01.txt
s-2af7a06b0667	M1	INDEPENDENT	1	SMALL	512	2	7002471054552431551	research/phase3/task86c/inputs/s-2af7a06b0667/small/r02.txt
s-2af7a06b0667	M1	INDEPENDENT	1	SMALL	512	3	12125584616503057492	research/phase3/task86c/inputs/s-2af7a06b0667/small/r03.txt
s-2af7a06b0667	M1	INDEPENDENT	1	SMALL	512	4	4332309481384223436	research/phase3/task86c/inputs/s-2af7a06b0667/small/r04.txt
s-2af7a06b0667	M1	INDEPENDENT	1	SMALL	512	5	14993422600031558632	research/phase3/task86c/inputs/s-2af7a06b0667/small/r05.txt
s-2af7a06b0667	M1	INDEPENDENT	1	SMALL	512	6	14539315154169921501	research/phase3/task86c/inputs/s-2af7a06b0667/small/r06.txt
s-2af7a06b0667	M1	INDEPENDENT	1	SMALL	512	7	10169592703481619841	research/phase3/task86c/inputs/s-2af7a06b0667/small/r07.txt
s-2af7a06b0667	M1	INDEPENDENT	1	MEDIUM	2048	0	3697035369858012779	research/phase3/task86c/inputs/s-2af7a06b0667/medium/r00.txt
s-2af7a06b0667	M1	INDEPENDENT	1	MEDIUM	2048	1	13213985056076222928	research/phase3/task86c/inputs/s-2af7a06b0667/medium/r01.txt
s-2af7a06b0667	M1	INDEPENDENT	1	MEDIUM	2048	2	5198756992061502851	research/phase3/task86c/inputs/s-2af7a06b0667/medium/r02.txt
s-2af7a06b0667	M1	INDEPENDENT	1	MEDIUM	2048	3	1325962191562928367	research/phase3/task86c/inputs/s-2af7a06b0667/medium/r03.txt
s-2af7a06b0667	M1	INDEPENDENT	1	MEDIUM	2048	4	10515260987658934251	research/phase3/task86c/inputs/s-2af7a06b0667/medium/r04.txt
s-2af7a06b0667	M1	INDEPENDENT	1	MEDIUM	2048	5	778738078920146340	research/phase3/task86c/inputs/s-2af7a06b0667/medium/r05.txt
s-2af7a06b0667	M1	INDEPENDENT	1	MEDIUM	2048	6	16144617602481481073	research/phase3/task86c/inputs/s-2af7a06b0667/medium/r06.txt
s-2af7a06b0667	M1	INDEPENDENT	1	MEDIUM	2048	7	14830574269779844957	research/phase3/task86c/inputs/s-2af7a06b0667/medium/r07.txt
s-2af7a06b0667	M1	INDEPENDENT	1	VOYNICH_SCALE	38000	0	11610179715976200753	research/phase3/task86c/inputs/s-2af7a06b0667/voynich_scale/r00.txt
s-2af7a06b0667	M1	INDEPENDENT	1	VOYNICH_SCALE	38000	1	16740484670809609399	research/phase3/task86c/inputs/s-2af7a06b0667/voynich_scale/r01.txt
s-2af7a06b0667	M1	INDEPENDENT	1	VOYNICH_SCALE	38000	2	2276603911261821845	research/phase3/task86c/inputs/s-2af7a06b0667/voynich_scale/r02.txt
s-2af7a06b0667	M1	INDEPENDENT	1	VOYNICH_SCALE	38000	3	17733490473392997706	research/phase3/task86c/inputs/s-2af7a06b0667/voynich_scale/r03.txt
s-2af7a06b0667	M1	INDEPENDENT	1	VOYNICH_SCALE	38000	4	12917109507387704545	research/phase3/task86c/inputs/s-2af7a06b0667/voynich_scale/r04.txt
s-2af7a06b0667	M1	INDEPENDENT	1	VOYNICH_SCALE	38000	5	5332077506316673088	research/phase3/task86c/inputs/s-2af7a06b0667/voynich_scale/r05.txt
s-2af7a06b0667	M1	INDEPENDENT	1	VOYNICH_SCALE	38000	6	11486666481444937612	research/phase3/task86c/inputs/s-2af7a06b0667/voynich_scale/r06.txt
s-2af7a06b0667	M1	INDEPENDENT	1	VOYNICH_SCALE	38000	7	679362855718605465	research/phase3/task86c/inputs/s-2af7a06b0667/voynich_scale/r07.txt
s-2af7a06b0667	M1	INDEPENDENT	1	LARGE	65536	0	12000508143165189275	research/phase3/task86c/inputs/s-2af7a06b0667/large/r00.txt
s-2af7a06b0667	M1	INDEPENDENT	1	LARGE	65536	1	16566986520268504821	research/phase3/task86c/inputs/s-2af7a06b0667/large/r01.txt
s-2af7a06b0667	M1	INDEPENDENT	1	LARGE	65536	2	10397790622397824174	research/phase3/task86c/inputs/s-2af7a06b0667/large/r02.txt
s-2af7a06b0667	M1	INDEPENDENT	1	LARGE	65536	3	10304024789038271027	research/phase3/task86c/inputs/s-2af7a06b0667/large/r03.txt
s-2af7a06b0667	M1	INDEPENDENT	1	LARGE	65536	4	26800208116160963	research/phase3/task86c/inputs/s-2af7a06b0667/large/r04.txt
s-2af7a06b0667	M1	INDEPENDENT	1	LARGE	65536	5	16782829308604707485	research/phase3/task86c/inputs/s-2af7a06b0667/large/r05.txt
s-2af7a06b0667	M1	INDEPENDENT	1	LARGE	65536	6	8640243260784458258	research/phase3/task86c/inputs/s-2af7a06b0667/large/r06.txt
s-2af7a06b0667	M1	INDEPENDENT	1	LARGE	65536	7	14272291584783635735	research/phase3/task86c/inputs/s-2af7a06b0667/large/r07.txt
s-3b27442e22a6	M1	INDEPENDENT	2	SMALL	512	0	4188730995955318066	research/phase3/task86c/inputs/s-3b27442e22a6/small/r00.txt
s-3b27442e22a6	M1	INDEPENDENT	2	SMALL	512	1	7574141652749331213	research/phase3/task86c/inputs/s-3b27442e22a6/small/r01.txt
s-3b27442e22a6	M1	INDEPENDENT	2	SMALL	512	2	15641784883530962850	research/phase3/task86c/inputs/s-3b27442e22a6/small/r02.txt
s-3b27442e22a6	M1	INDEPENDENT	2	SMALL	512	3	4642092851323814362	research/phase3/task86c/inputs/s-3b27442e22a6/small/r03.txt
s-3b27442e22a6	M1	INDEPENDENT	2	SMALL	512	4	6929203663144900273	research/phase3/task86c/inputs/s-3b27442e22a6/small/r04.txt
s-3b27442e22a6	M1	INDEPENDENT	2	SMALL	512	5	6288897675910124003	research/phase3/task86c/inputs/s-3b27442e22a6/small/r05.txt
s-3b27442e22a6	M1	INDEPENDENT	2	SMALL	512	6	8064504069723351524	research/phase3/task86c/inputs/s-3b27442e22a6/small/r06.txt
s-3b27442e22a6	M1	INDEPENDENT	2	SMALL	512	7	1184367862036189121	research/phase3/task86c/inputs/s-3b27442e22a6/small/r07.txt
s-3b27442e22a6	M1	INDEPENDENT	2	MEDIUM	2048	0	3079392247108978404	research/phase3/task86c/inputs/s-3b27442e22a6/medium/r00.txt
s-3b27442e22a6	M1	INDEPENDENT	2	MEDIUM	2048	1	12189364660435653525	research/phase3/task86c/inputs/s-3b27442e22a6/medium/r01.txt
s-3b27442e22a6	M1	INDEPENDENT	2	MEDIUM	2048	2	8742664989481061199	research/phase3/task86c/inputs/s-3b27442e22a6/medium/r02.txt
s-3b27442e22a6	M1	INDEPENDENT	2	MEDIUM	2048	3	3491980586889901191	research/phase3/task86c/inputs/s-3b27442e22a6/medium/r03.txt
s-3b27442e22a6	M1	INDEPENDENT	2	MEDIUM	2048	4	3018276856866570210	research/phase3/task86c/inputs/s-3b27442e22a6/medium/r04.txt
s-3b27442e22a6	M1	INDEPENDENT	2	MEDIUM	2048	5	755380726359564721	research/phase3/task86c/inputs/s-3b27442e22a6/medium/r05.txt
s-3b27442e22a6	M1	INDEPENDENT	2	MEDIUM	2048	6	13677600228929398433	research/phase3/task86c/inputs/s-3b27442e22a6/medium/r06.txt
s-3b27442e22a6	M1	INDEPENDENT	2	MEDIUM	2048	7	14661264422515360448	research/phase3/task86c/inputs/s-3b27442e22a6/medium/r07.txt
