branch	opaque_id	scale	replicate	seed
S	s-9cd898e03523	SMALL	0	2893170267363792783
S	s-9cd898e03523	SMALL	1	12166122804673930339
S	s-9cd898e03523	SMALL	2	152922701493645734
S	s-9cd898e03523	SMALL	3	2718526796746178301
S	s-9cd898e03523	SMALL	4	11830176574981122473
S	s-9cd898e03523	SMALL	5	12009113777480840219
S	s-9cd898e03523	SMALL	6	11291475190264637695
S	s-9cd898e03523	SMALL	7	15066619668972747372
S	s-9cd898e03523	MEDIUM	0	4425826291417588787
S	s-9cd898e03523	MEDIUM	1	8969964256844675245
S	s-9cd898e03523	MEDIUM	2	9925093265465222309
S	s-9cd898e03523	MEDIUM	3	13298388755490153487
S	s-9cd898e03523	MEDIUM	4	16009144600227305217
S	s-9cd898e03523	MEDIUM	5	11945752663440559113
S	s-9cd898e03523	MEDIUM	6	15538899154351596702
S	s-9cd898e03523	MEDIUM	7	2276198571494063900
S	s-9cd898e03523	VOYNICH_SCALE	0	7354946226428826539
S	s-9cd898e03523	VOYNICH_SCALE	1	14168685336732664709
S	s-9cd898e03523	VOYNICH_SCALE	2	15723281831614464132
S	s-9cd898e03523	VOYNICH_SCALE	3	14455448808630676851
S	s-9cd898e03523	VOYNICH_SCALE	4	14522738884839066160
S	s-9cd898e03523	VOYNICH_SCALE	5	12132113197621115609
S	s-9cd898e03523	VOYNICH_SCALE	6	7839285259279541461
S	s-9cd898e03523	VOYNICH_SCALE	7	1499204999234902319
S	s-9cd898e03523	LARGE	0	3507317480434517132
S	s-9cd898e03523	LARGE	1	7793532149319305222
S	s-9cd898e03523	LARGE	2	15466276466012617936
S	s-9cd898e03523	LARGE	3	5442492868702077592
S	s-9cd898e03523	LARGE	4	1238517753802655071
S	s-9cd898e03523	LARGE	5	14947458401819131894
S	s-9cd898e03523	LARGE	6	1100450371511937219
S	s-9cd898e03523	LARGE	7	8830419726537391127
S	s-aab291e34c5e	SMALL	0	8930911459471455959
S	s-aab291e34c5e	SMALL	1	894057367579316134
S	s-aab291e34c5e	SMALL	2	17084957352250401795
S	s-aab291e34c5e	SMALL	3	12863228936870361657
S	s-aab291e34c5e	SMALL	4	15897783888147096254
S	s-aab291e34c5e	SMALL	5	6008387457982998813
S	s-aab291e34c5e	SMALL	6	8156095637352624300
S	s-aab291e34c5e	SMALL	7	4539963763563233623
S	s-aab291e34c5e	MEDIUM	0	15557410662598690064
S	s-aab291e34c5e	MEDIUM	1	4170039995836567133
S	s-aab291e34c5e	MEDIUM	2	6617382925585163496
S	s-aab291e34c5e	MEDIUM	3	18090991087915758053
S	s-aab291e34c5e	MEDIUM	4	7329160869138233772
S	s-aab291e34c5e	MEDIUM	5	9433728775354827676
S	s-aab291e34c5e	MEDIUM	6	9108166206112192680
S	s-aab291e34c5e	MEDIUM	7	5175571521498834429
S	s-aab291e34c5e	VOYNICH_SCALE	0	3111533380056275470
S	s-aab291e34c5e	VOYNICH_SCALE	1	16307872150991397624
S	s-aab291e34c5e	VOYNICH_SCALE	2	4585642085496641177
S	s-aab291e34c5e	VOYNICH_SCALE	3	7507091941391816559
S	s-aab291e34c5e	VOYNICH_SCALE	4	12363208548683792395
S	s-aab291e34c5e	VOYNICH_SCALE	5	11254180502370546834
S	s-aab291e34c5e	VOYNICH_SCALE	6	14260345676527209101
S	s-aab291e34c5e	VOYNICH_SCALE	7	9663109698561924882
S	s-aab291e34c5e	LARGE	0	2172375283668770835
S	s-aab291e34c5e	LARGE	1	11457895363447346617
S	s-aab291e34c5e	LARGE	2	13931349387582296136
S	s-aab291e34c5e	LARGE	3	17419199988001278585
S	s-aab291e34c5e	LARGE	4	13707411836755438362
S	s-aab291e34c5e	LARGE	5	7356187411356251679
S	s-aab291e34c5e	LARGE	6	6615014995237584559
S	s-aab291e34c5e	LARGE	7	8129925057699968036
S	s-09791ffb8ffa	SMALL	0	13583618711456465337
S	s-09791ffb8ffa	SMALL	1	11163574734759161680
S	s-09791ffb8ffa	SMALL	2	10887623040113128552
S	s-09791ffb8ffa	SMALL	3	10384316284749556087
S	s-09791ffb8ffa	SMALL	4	4871228761705890765
S	s-09791ffb8ffa	SMALL	5	15694470482442911143
S	s-09791ffb8ffa	SMALL	6	18027097864112457781
S	s-09791ffb8ffa	SMALL	7	4113664022049614539
S	s-09791ffb8ffa	MEDIUM	0	4868507497654571302
S	s-09791ffb8ffa	MEDIUM	1	8040972301438508712
S	s-09791ffb8ffa	MEDIUM	2	6605260643695160483
S	s-09791ffb8ffa	MEDIUM	3	6913245681649101831
S	s-09791ffb8ffa	MEDIUM	4	17699443638750154962
S	s-09791ffb8ffa	MEDIUM	5	17189766420268779624
S	s-09791ffb8ffa	MEDIUM	6	5109451549031284015
S	s-09791ffb8ffa	MEDIUM	7	7439899206998730786
S	s-09791ffb8ffa	VOYNICH_SCALE	0	8160236157008000362
S	s-09791ffb8ffa	VOYNICH_SCALE	1	13367443887302898936
S	s-09791ffb8ffa	VOYNICH_SCALE	2	283524822247288850
S	s-09791ffb8ffa	VOYNICH_SCALE	3	271849795051006054
S	s-09791ffb8ffa	VOYNICH_SCALE	4	16703889836373236986
S	s-09791ffb8ffa	VOYNICH_SCALE	5	4814015135498752989
S	s-09791ffb8ffa	VOYNICH_SCALE	6	15340069981496698212
S	s-09791ffb8ffa	VOYNICH_SCALE	7	11377517478053788076
S	s-09791ffb8ffa	LARGE	0	4242611877186605873
S	s-09791ffb8ffa	LARGE	1	6100606537465240179
S	s-09791ffb8ffa	LARGE	2	7414355777999365078
S	s-09791ffb8ffa	LARGE	3	17852097149707667012
S	s-09791ffb8ffa	LARGE	4	11028263831285008260
S	s-09791ffb8ffa	LARGE	5	450993034749713719
S	s-09791ffb8ffa	LARGE	6	6443556418058291855
S	s-09791ffb8ffa	LARGE	7	8787424993043182313
S	s-2af7a06b0667	SMALL	0	17475199716698176177
S	s-2af7a06b0667	SMALL	1	15567453213375179203
S	s-2af7a06b0667	SMALL	2	7002471054552431551
S	s-2af7a06b0667	SMALL	3	12125584616503057492
S	s-2af7a06b0667	SMALL	4	4332309481384223436
S	s-2af7a06b0667	SMALL	5	14993422600031558632
S	s-2af7a06b0667	SMALL	6	14539315154169921501
S	s-2af7a06b0667	SMALL	7	10169592703481619841
S	s-2af7a06b0667	MEDIUM	0	3697035369858012779
S	s-2af7a06b0667	MEDIUM	1	13213985056076222928
S	s-2af7a06b0667	MEDIUM	2	5198756992061502851
S	s-2af7a06b0667	MEDIUM	3	1325962191562928367
S	s-2af7a06b0667	MEDIUM	4	10515260987658934251
S	s-2af7a06b0667	MEDIUM	5	778738078920146340
S	s-2af7a06b0667	MEDIUM	6	16144617602481481073
S	s-2af7a06b0667	MEDIUM	7	14830574269779844957
S	s-2af7a06b0667	VOYNICH_SCALE	0	11610179715976200753
S	s-2af7a06b0667	VOYNICH_SCALE	1	16740484670809609399
S	s-2af7a06b0667	VOYNICH_SCALE	2	2276603911261821845
S	s-2af7a06b0667	VOYNICH_SCALE	3	17733490473392997706
S	s-2af7a06b0667	VOYNICH_SCALE	4	12917109507387704545
S	s-2af7a06b0667	VOYNICH_SCALE	5	5332077506316673088
S	s-2af7a06b0667	VOYNICH_SCALE	6	11486666481444937612
S	s-2af7a06b0667	VOYNICH_SCALE	7	679362855718605465
S	s-2af7a06b0667	LARGE	0	12000508143165189275
S	s-2af7a06b0667	LARGE	1	16566986520268504821
S	s-2af7a06b0667	LARGE	2	10397790622397824174
S	s-2af7a06b0667	LARGE	3	10304024789038271027
S	s-2af7a06b0667	LARGE	4	26800208116160963
S	s-2af7a06b0667	LARGE	5	16782829308604707485
S	s-2af7a06b0667	LARGE	6	8640243260784458258
S	s-2af7a06b0667	LARGE	7	14272291584783635735
S	s-3b27442e22a6	SMALL	0	4188730995955318066
S	s-3b27442e22a6	SMALL	1	7574141652749331213
S	s-3b27442e22a6	SMALL	2	15641784883530962850
S	s-3b27442e22a6	SMALL	3	4642092851323814362
S	s-3b27442e22a6	SMALL	4	6929203663144900273
S	s-3b27442e22a6	SMALL	5	6288897675910124003
S	s-3b27442e22a6	SMALL	6	8064504069723351524
S	s-3b27442e22a6	SMALL	7	1184367862036189121
S	s-3b27442e22a6	MEDIUM	0	3079392247108978404
S	s-3b27442e22a6	MEDIUM	1	12189364660435653525
S	s-3b27442e22a6	MEDIUM	2	8742664989481061199
S	s-3b27442e22a6	MEDIUM	3	3491980586889901191
S	s-3b27442e22a6	MEDIUM	4	3018276856866570210
S	s-3b27442e22a6	MEDIUM	5	755380726359564721
S	s-3b27442e22a6	MEDIUM	6	13677600228929398433
S	s-3b27442e22a6	MEDIUM	7	14661264422515360448
S	s-3b27442e22a6	VOYNICH_SCALE	0	2679556779556461318
S	s-3b27442e22a6	VOYNICH_SCALE	1	1174873514981599253
S	s-3b27442e22a6	VOYNICH_SCALE	2	8033546164653300028
S	s-3b27442e22a6	VOYNICH_SCALE	3	13868819973978841916
S	s-3b27442e22a6	VOYNICH_SCALE	4	7731816136413261206
S	s-3b27442e22a6	VOYNICH_SCALE	5	18064914001680251212
S	s-3b27442e22a6	VOYNICH_SCALE	6	3948409895485760449
S	s-3b27442e22a6	VOYNICH_SCALE	7	18170974332086184665
S	s-3b27442e22a6	LARGE	0	3099671790815325688
S	s-3b27442e22a6	LARGE	1	10329887673018547561
S	s-3b27442e22a6	LARGE	2	12042593827071732723
S	s-3b27442e22a6	LARGE	3	5628778762025399464
S	s-3b27442e22a6	LARGE	4	14280256808874391329
S	s-3b27442e22a6	LARGE	5	9644851001937510330
S	s-3b27442e22a6	LARGE	6	8438765935156590489
S	s-3b27442e22a6	LARGE	7	9090231911437442003
S	s-1d31695c4e69	SMALL	0	4132206972803982352
S	s-1d31695c4e69	SMALL	1	14448529360850695498
S	s-1d31695c4e69	SMALL	2	14866506140073780636
S	s-1d31695c4e69	SMALL	3	5927631864976958582
S	s-1d31695c4e69	SMALL	4	13008920306621075495
S	s-1d31695c4e69	SMALL	5	15126379708973162227
S	s-1d31695c4e69	SMALL	6	5501282362284955972
S	s-1d31695c4e69	SMALL	7	15884752282645010353
S	s-1d31695c4e69	MEDIUM	0	17909374129178128476
S	s-1d31695c4e69	MEDIUM	1	5286269067998821196
S	s-1d31695c4e69	MEDIUM	2	4129902855205190876
S	s-1d31695c4e69	MEDIUM	3	6005808473221863189
S	s-1d31695c4e69	MEDIUM	4	2648599308612498370
S	s-1d31695c4e69	MEDIUM	5	16266794963090647735
S	s-1d31695c4e69	MEDIUM	6	2133226180808540053
S	s-1d31695c4e69	MEDIUM	7	995864081614906742
S	s-1d31695c4e69	VOYNICH_SCALE	0	14818088589126008108
S	s-1d31695c4e69	VOYNICH_SCALE	1	2654119239963704267
S	s-1d31695c4e69	VOYNICH_SCALE	2	4682658621314994232
S	s-1d31695c4e69	VOYNICH_SCALE	3	15427862818043390789
S	s-1d31695c4e69	VOYNICH_SCALE	4	9814644573394291405
S	s-1d31695c4e69	VOYNICH_SCALE	5	9811266054105087827
S	s-1d31695c4e69	VOYNICH_SCALE	6	294762967289296359
S	s-1d31695c4e69	VOYNICH_SCALE	7	6673994671315546280
S	s-1d31695c4e69	LARGE	0	16200163046440398286
S	s-1d31695c4e69	LARGE	1	17076823070206785271
S	s-1d31695c4e69	LARGE	2	14936569913270488969
