generator	population	model_class	candidate_id	failed	failure_why	dev_pm2	val_pm1	val_pm2	val_pm4	val_pm5	held_pm1	held_pm2	held_pm4	held_pm5	pm6	pm6_valid	f2_valid
MFC0	1	M0	M0-001	FALSE		11.03395599	63942.86151	12.7885723	4.765149602e-06	0.001323771902	63733.30589	12.74666118	4.765149602e-06	0.005523771902	0	FALSE	TRUE
MFC0	1	M0	M0-002	FALSE		11.05766559	59717.27216	11.94345443	2.005736406e-05	0.00196957699	59564.35071	11.91287014	2.005736406e-05	0.00223042301	0	FALSE	TRUE
MFC0	1	M0	M0-003	FALSE		11.10455627	58538.09731	11.70761946	3.349298322e-05	0.004863087383	58414.99966	11.68299993	3.349298322e-05	0.0006630873832	0	FALSE	TRUE
MFC0	1	M1	M1-001	FALSE		3.580918121	87676.39998	3.583015937	4.435277975e-06	0.001205143548	87980.00477	3.583998891	4.86999954e-06	0.001854397382	0	FALSE	TRUE
MFC0	1	M1	M1-002	FALSE		3.580919455	87676.43218	3.583017253	4.4352551e-06	0.001203407024	87980.03688	3.584000199	4.869974379e-06	0.001852660858	0	FALSE	TRUE
MFC0	1	M1	M1-003	FALSE		3.580925385	87676.57531	3.583023102	4.435153438e-06	0.001195689686	87980.17962	3.584006014	4.86986256e-06	0.00184494352	0	FALSE	TRUE
MFC0	1	M1	M1-004	FALSE		3.502356503	85832.27335	3.507653182	5.996602175e-06	0.002122397971	86144.90703	3.509243402	6.549940008e-06	0.004166132143	0	FALSE	TRUE
MFC0	1	M1	M1-005	FALSE		3.502356777	85832.2791	3.507653416	5.996593115e-06	0.002121788138	86144.91272	3.509243634	6.549930318e-06	0.004165521261	0	FALSE	TRUE
MFC0	1	M1	M1-006	FALSE		3.502357996	85832.30465	3.50765446	5.996552844e-06	0.002119077504	86144.93801	3.509244664	6.549887241e-06	0.004162805964	0	FALSE	TRUE
MFC0	1	M1	M1-007	FALSE		3.48925063	86167.07181	3.521335178	5.629751508e-06	0.002197263724	86475.38386	3.522705876	6.406061236e-06	0.004184942688	0	FALSE	TRUE
MFC0	1	M1	M1-008	FALSE		3.489250631	86166.9176	3.521328876	5.629846084e-06	0.002197022056	86475.23378	3.522699763	6.40611136e-06	0.004184726809	0	FALSE	TRUE
MFC0	1	M1	M1-009	FALSE		3.489250651	86166.23353	3.521300921	5.630265836e-06	0.002195946931	86474.56807	3.522672644	6.406333791e-06	0.004183766131	0	FALSE	TRUE
MFC0	1	M1	M1-010	FALSE		3.310558342	105310.549	4.303659544	3.957625505e-06	0.02202348455	105915.6339	4.314633938	4.666478842e-06	0.02551042345	0	FALSE	TRUE
MFC0	1	M1	M1-011	FALSE		3.310918428	99415.82922	4.062763761	3.961402121e-06	0.02194799872	99944.44047	4.07138832	4.671322908e-06	0.02543749723	0	FALSE	TRUE
MFC0	1	M1	M1-012	FALSE		3.312504992	95327.05059	3.895670233	3.977910107e-06	0.02162015888	95801.97744	3.902638807	4.69242218e-06	0.02512067189	0	FALSE	TRUE
MFC0	1	M1	M1-013	FALSE		2.551892578	152575.6621	6.235212998	3.681394731e-07	0.1692613401	154343.08	6.28739938	4.021398615e-07	0.1731945621	0	FALSE	TRUE
MFC0	1	M1	M1-014	FALSE		2.568077911	125876.0387	5.144096393	4.633412139e-07	0.1602467446	127102.4399	5.177710603	4.933390981e-07	0.1639814224	0	FALSE	TRUE
MFC0	1	M1	M1-015	FALSE		2.629189381	108839.8182	4.447887953	8.119901574e-07	0.131955464	109719.7991	4.469602374	8.395670058e-07	0.1350566605	0	FALSE	TRUE
MFC0	1	M1	M1-016	FALSE		2.286076254	174325.1002	7.124033517	3.32234012e-09	0.1868480606	175854.6395	7.163705375	3.847337384e-09	0.1910734206	0	FALSE	TRUE
