quantity	metric	model_class	candidate_id	threshold	mfc0	mfc1	mfc2
overfitting_gap	PM2	M0	M0-001	0.1335147838	0.1279418905	0.1335147838	0.1255602063
overfitting_gap	PM2	M0	M0-002	0.1191174322	0.09648318434	0.1191174322	0.1100253817
overfitting_gap	PM2	M0	M0-003	0.1074380719	0.0845284774	0.1072757643	0.1074380719
overfitting_gap	PM2	M1	M1-001	0.008450566606	0.007138389308	0.004893256288	0.008450566606
overfitting_gap	PM2	M1	M1-002	0.008450492721	0.007138329008	0.004893218187	0.008450492721
overfitting_gap	PM2	M1	M1-003	0.008450164331	0.007138061023	0.004893048881	0.008450164331
overfitting_gap	PM2	M1	M1-004	0.02285402076	0.01117389406	0.02285402076	0.01109650611
overfitting_gap	PM2	M1	M1-005	0.02285359494	0.0111738498	0.02285359494	0.01109636543
overfitting_gap	PM2	M1	M1-006	0.02285170268	0.01117365308	0.02285170268	0.01109574021
overfitting_gap	PM2	M1	M1-007	0.02565892379	0.0118899099	0.02565892379	0.008546291389
overfitting_gap	PM2	M1	M1-008	0.02488877047	0.01188950536	0.02488877047	0.008546664887
overfitting_gap	PM2	M1	M1-009	0.02448950228	0.01188771111	0.02448950228	0.008548321526
overfitting_gap	PM2	M1	M1-010	0.05821061785	0.05821061785	0.03995678002	0.008173022156
overfitting_gap	PM2	M1	M1-011	0.04648582855	0.04648582855	0.03476120455	0.008172963605
overfitting_gap	PM2	M1	M1-012	0.03831428775	0.03831428775	0.031039293	0.008172711046
overfitting_gap	PM2	M1	M1-013	0.09652051611	0.08431079109	0.09652051611	0.006887525885
overfitting_gap	PM2	M1	M1-014	0.07269703167	0.05717682214	0.07269703167	0.006711753654
overfitting_gap	PM2	M1	M1-015	0.05639766275	0.03997942933	0.05639766275	0.006581722629
overfitting_gap	PM2	M1	M1-016	0.1333640361	0.08201917858	0.1333640361	0.009238810281
overfitting_gap	PM2	M1	M1-017	0.09232109866	0.05565763998	0.09232109866	0.008545603652
overfitting_gap	PM2	M1	M1-018	0.06920194526	0.03933128138	0.06920194526	0.008044045165
overfitting_gap	PM2	M2	M2-001	0.02413539867	0.01224002013	0.02413539867	0.008560479391
overfitting_gap	PM2	M2	M2-002	0.02413539867	0.01224002013	0.02413539867	0.008560479391
overfitting_gap	PM2	M2	M2-003	0.02413539867	0.01224002013	0.02413539867	0.008560479391
overfitting_gap	PM2	M2	M2-004	0.02219492531	0.01645186608	0.02219492531	0.006696526658
overfitting_gap	PM2	M2	M2-005	0.01871100946	0.01470749083	0.01871100946	0.006696526658
overfitting_gap	PM2	M2	M2-006	0.01894028312	0.01577156814	0.01894028312	0.006696526658
overfitting_gap	PM2	M2	M2-007	0.02037859967	0.02037859967	0.01984256038	0.01119285516
overfitting_gap	PM2	M2	M2-008	0.0185325302	0.01459873921	0.0185325302	0.01098515016
overfitting_gap	PM2	M2	M2-009	0.01682715631	0.01573803192	0.01682715631	0.01086003057
overfitting_gap	PM2	M5	M5-001	+Inf	+Inf	+Inf	+Inf
overfitting_gap	PM2	M5	M5-002	+Inf	+Inf	+Inf	+Inf
overfitting_gap	PM2	M5	M5-003	+Inf	+Inf	+Inf	+Inf
overfitting_gap	PM2	M5	M5-004	+Inf	+Inf	+Inf	+Inf
overfitting_gap	PM2	M5	M5-005	+Inf	+Inf	+Inf	+Inf
overfitting_gap	PM2	M5	M5-006	+Inf	+Inf	+Inf	+Inf
overfitting_gap	PM2	M5	M5-007	+Inf	+Inf	+Inf	+Inf
overfitting_gap	PM2	M5	M5-008	+Inf	+Inf	+Inf	+Inf
overfitting_gap	PM2	M5	M5-009	+Inf	+Inf	+Inf	+Inf
overfitting_gap	PM2	M5	M5-010	+Inf	+Inf	+Inf	+Inf
overfitting_gap	PM2	M5	M5-011	+Inf	+Inf	+Inf	+Inf
overfitting_gap	PM2	M5	M5-012	+Inf	+Inf	+Inf	+Inf
overfitting_gap	PM2	M5	M5-013	+Inf	+Inf	+Inf	+Inf
overfitting_gap	PM2	M5	M5-014	+Inf	+Inf	+Inf	+Inf
overfitting_gap	PM2	M5	M5-015	+Inf	+Inf	+Inf	+Inf
overfitting_gap	PM2	M5	M5-016	+Inf	+Inf	+Inf	+Inf
overfitting_gap	PM2	M5	M5-017	+Inf	+Inf	+Inf	+Inf
overfitting_gap	PM2	M5	M5-018	+Inf	+Inf	+Inf	+Inf
predictive_gain_vs_b1	PM1	M0	M0-001	220.0574923	220.0574923	203.2677164	169.919055
predictive_gain_vs_b1	PM1	M0	M0-002	63.3345866	63.3345866	62.15475094	51.79880501
predictive_gain_vs_b1	PM1	M0	M0-003	0	0	0	0
predictive_gain_vs_b1	PM1	M1	M1-001	1627.295166	1627.295166	1440.026984	1459.29948
predictive_gain_vs_b1	PM1	M1	M1-002	1627.29457	1627.29457	1440.02674	1459.301596
predictive_gain_vs_b1	PM1	M1	M1-003	1627.291917	1627.291917	1440.025656	1459.311002
predictive_gain_vs_b1	PM1	M1	M1-004	1676.282399	1676.282399	914.8121578	976.1581722
predictive_gain_vs_b1	PM1	M1	M1-005	1676.281742	1676.281742	914.8134137	976.159805
predictive_gain_vs_b1	PM1	M1	M1-006	1676.278819	1676.278819	914.8189963	976.1670622
predictive_gain_vs_b1	PM1	M1	M1-007	1686.760884	1686.760884	1211.727851	769.0640342
predictive_gain_vs_b1	PM1	M1	M1-008	1686.758127	1686.758127	1140.710086	769.0728182
predictive_gain_vs_b1	PM1	M1	M1-009	1686.745884	1686.745884	1067.851375	769.1118481
predictive_gain_vs_b1	PM1	M1	M1-010	3041.559353	3041.559353	1331.028131	716.3778117
predictive_gain_vs_b1	PM1	M1	M1-011	2632.462363	2632.462363	1166.665579	716.3912616
predictive_gain_vs_b1	PM1	M1	M1-012	2350.787206	2350.787206	1127.077958	716.4504119
predictive_gain_vs_b1	PM1	M1	M1-013	4938.65324	4938.65324	2642.944083	663.1841538
predictive_gain_vs_b1	PM1	M1	M1-014	3668.866002	3668.866002	1855.901252	676.3219973
predictive_gain_vs_b1	PM1	M1	M1-015	2869.190868	2869.190868	1446.218529	684.9786954
predictive_gain_vs_b1	PM1	M1	M1-016	5406.208467	5406.208467	3860.166614	820.2543375
predictive_gain_vs_b1	PM1	M1	M1-017	3882.307291	3882.307291	2600.331269	799.0124397
predictive_gain_vs_b1	PM1	M1	M1-018	2935.893912	2935.893912	1854.972092	763.187446
predictive_gain_vs_b1	PM1	M2	M2-001	1709.742524	1709.742524	1038.808334	771.332526
predictive_gain_vs_b1	PM1	M2	M2-002	1709.742524	1709.742524	1038.808334	771.332526
predictive_gain_vs_b1	PM1	M2	M2-003	1709.742524	1709.742524	1038.808334	771.332526
predictive_gain_vs_b1	PM1	M2	M2-004	1856.784828	1856.784828	1060.707778	734.7677301
predictive_gain_vs_b1	PM1	M2	M2-005	1854.086117	1854.086117	1095.639269	734.7677301
predictive_gain_vs_b1	PM1	M2	M2-006	1805.697686	1805.697686	1063.361659	734.7677301
predictive_gain_vs_b1	PM1	M2	M2-007	1853.85732	1853.85732	1054.383796	812.2026709
predictive_gain_vs_b1	PM1	M2	M2-008	1850.305535	1850.305535	1066.915259	816.3744093
predictive_gain_vs_b1	PM1	M2	M2-009	1804.422312	1804.422312	1029.989998	822.1244119
predictive_gain_vs_b1	PM1	M5	M5-001	+Inf	+Inf	+Inf	+Inf
predictive_gain_vs_b1	PM1	M5	M5-002	+Inf	+Inf	+Inf	+Inf
predictive_gain_vs_b1	PM1	M5	M5-003	+Inf	+Inf	+Inf	+Inf
predictive_gain_vs_b1	PM1	M5	M5-004	+Inf	+Inf	+Inf	+Inf
predictive_gain_vs_b1	PM1	M5	M5-005	+Inf	+Inf	+Inf	+Inf
predictive_gain_vs_b1	PM1	M5	M5-006	+Inf	+Inf	+Inf	+Inf
predictive_gain_vs_b1	PM1	M5	M5-007	+Inf	+Inf	+Inf	+Inf
predictive_gain_vs_b1	PM1	M5	M5-008	+Inf	+Inf	+Inf	+Inf
predictive_gain_vs_b1	PM1	M5	M5-009	+Inf	+Inf	+Inf	+Inf
predictive_gain_vs_b1	PM1	M5	M5-010	+Inf	+Inf	+Inf	+Inf
predictive_gain_vs_b1	PM1	M5	M5-011	+Inf	+Inf	+Inf	+Inf
predictive_gain_vs_b1	PM1	M5	M5-012	+Inf	+Inf	+Inf	+Inf
predictive_gain_vs_b1	PM1	M5	M5-013	+Inf	+Inf	+Inf	+Inf
predictive_gain_vs_b1	PM1	M5	M5-014	+Inf	+Inf	+Inf	+Inf
predictive_gain_vs_b1	PM1	M5	M5-015	+Inf	+Inf	+Inf	+Inf
predictive_gain_vs_b1	PM1	M5	M5-016	+Inf	+Inf	+Inf	+Inf
