transcription	model_class	candidate_id	failed	failure_reason	dev_pm2	complexity_total	structure_cost	lexicon_cost	exception_cost	free_params	states	rules	components
ZL3b	M0	M0-001	FALSE		10.34210027	89735.83643	7.5	89728.33643	0	1	1	0	6399
ZL3b	M0	M0-002	FALSE		10.35770607	89735.83643	7.5	89728.33643	0	1	1	0	6399
ZL3b	M0	M0-003	FALSE		10.39132236	89735.83643	7.5	89728.33643	0	1	1	0	6399
ZL3b	M1	M1-001	FALSE		3.926613793	407.1950491	7.5	399.6950491	0	1	1	0	0
ZL3b	M1	M1-002	FALSE		3.926614814	407.1950491	7.5	399.6950491	0	1	1	0	0
ZL3b	M1	M1-003	FALSE		3.926620464	407.1950491	7.5	399.6950491	0	1	1	0	0
ZL3b	M1	M1-004	FALSE		2.449027915	1007.706136	608.0110872	399.6950491	0	47	47	0	0
ZL3b	M1	M1-005	FALSE		2.44904577	1007.706136	608.0110872	399.6950491	0	47	47	0	0
ZL3b	M1	M1-006	FALSE		2.449124418	1007.706136	608.0110872	399.6950491	0	47	47	0	0
ZL3b	M1	M1-007	FALSE		2.254255029	8566.313081	8166.618032	399.6950491	0	626	626	0	0
ZL3b	M1	M1-008	FALSE		2.254420745	8566.313081	8166.618032	399.6950491	0	626	626	0	0
ZL3b	M1	M1-009	FALSE		2.25507152	8566.313081	8166.618032	399.6950491	0	626	626	0	0
ZL3b	M1	M1-010	FALSE		2.170965961	43030.42765	42630.7326	399.6950491	0	3266	3266	0	0
ZL3b	M1	M1-011	FALSE		2.171681007	43030.42765	42630.7326	399.6950491	0	3266	3266	0	0
ZL3b	M1	M1-012	FALSE		2.174459275	43030.42765	42630.7326	399.6950491	0	3266	3266	0	0
ZL3b	M1	M1-013	FALSE		2.101682019	126932.2702	126532.5752	399.6950491	0	9693	9693	0	0
ZL3b	M1	M1-014	FALSE		2.102992033	126932.2702	126532.5752	399.6950491	0	9693	9693	0	0
ZL3b	M1	M1-015	FALSE		2.108335046	126932.2702	126532.5752	399.6950491	0	9693	9693	0	0
ZL3b	M1	M1-016	FALSE		2.06621943	255559.1342	255159.4391	399.6950491	0	19546	19546	0	0
ZL3b	M1	M1-017	FALSE		2.067281433	255559.1342	255159.4391	399.6950491	0	19546	19546	0	0
ZL3b	M1	M1-018	FALSE		2.072297025	255559.1342	255159.4391	399.6950491	0	19546	19546	0	0
ZL3b	M2	M2-001	FALSE		2.283884824	8566.313081	8166.618032	399.6950491	0	626	626	0	0
ZL3b	M2	M2-002	FALSE		2.284973669	6986.70783	6587.012781	399.6950491	0	505	505	0	0
ZL3b	M2	M2-003	FALSE		2.287315138	5746.521889	5346.82684	399.6950491	0	410	410	0	0
ZL3b	M2	M2-004	FALSE		2.214689813	126932.2702	126532.5752	399.6950491	0	9693	9693	0	0
ZL3b	M2	M2-005	FALSE		2.23145408	71411.10381	71011.40876	399.6950491	0	5440	5440	0	0
ZL3b	M2	M2-006	FALSE		2.24525497	45406.36282	45006.66777	399.6950491	0	3448	3448	0	0
ZL3b	M2	M2-007	FALSE		2.207367531	405229.9953	404830.3003	399.6950491	0	31011	31011	0	0
ZL3b	M2	M2-008	FALSE		2.228541014	177779.8938	177380.1987	399.6950491	0	13588	13588	0	0
ZL3b	M2	M2-009	FALSE		2.243554841	99569.85197	99170.15692	399.6950491	0	7597	7597	0	0
