section_a	section_b	jensen_shannon_bits	weighted_jaccard	shared_vocabulary	a_vocab_ge1	a_vocab_ge2	a_vocab_ge5	a_vocab_ge10
Astronomical	Biological	0.70376118	0.051112706	166	628	110	19	7
Astronomical	Cosmological	0.58511265	0.14655172	207	628	110	19	7
Astronomical	Herbal	0.58395466	0.045635249	302	628	110	19	7
Astronomical	Pharmaceutical	0.58643149	0.12639643	192	628	110	19	7
Astronomical	Stars	0.64364342	0.042517992	276	628	110	19	7
Astronomical	Text	0.63831694	0.12175103	173	628	110	19	7
Astronomical	Zodiac	0.63243259	0.16155844	149	628	110	19	7
Biological	Cosmological	0.55323294	0.13869281	320	1481	485	202	117
Biological	Herbal	0.49560973	0.19707066	613	1481	485	202	117
Biological	Pharmaceutical	0.59303842	0.13997732	289	1481	485	202	117
Biological	Stars	0.3437192	0.31233254	694	1481	485	202	117
Biological	Text	0.37512769	0.20204918	389	1481	485	202	117
Biological	Zodiac	0.68001596	0.07454621	190	1481	485	202	117
Cosmological	Herbal	0.47910291	0.11940895	508	1121	285	84	34
Cosmological	Pharmaceutical	0.5670821	0.19161822	273	1121	285	84	34
Cosmological	Stars	0.47712159	0.11854516	511	1121	285	84	34
Cosmological	Text	0.46529276	0.26592573	306	1121	285	84	34
Cosmological	Zodiac	0.5544954	0.19041366	229	1121	285	84	34
Herbal	Pharmaceutical	0.43981683	0.14477148	557	3412	1071	375	195
Herbal	Stars	0.42517097	0.25622051	1042	3412	1071	375	195
Herbal	Text	0.41581519	0.14388839	539	3412	1071	375	195
Herbal	Zodiac	0.6142219	0.059209993	318	3412	1071	375	195
Pharmaceutical	Stars	0.53179347	0.12754741	472	1162	292	98	40
Pharmaceutical	Text	0.54367791	0.20679682	274	1162	292	98	40
Pharmaceutical	Zodiac	0.62852689	0.13067047	208	1162	292	98	40
Stars	Text	0.35696949	0.15191427	562	3334	1025	367	192
Stars	Zodiac	0.58167447	0.06381069	328	3334	1025	367	192
Text	Zodiac	0.62202779	0.1502013	180	996	289	93	40
