section	confounder	within_section_levels	outside_section_levels	status	interpretation
Astronomical	currier	8	0	WITHIN_STRATUM_DIAGNOSTIC	RESIDUAL_CONFOUNDING
Astronomical	hand	5	0	WITHIN_STRATUM_DIAGNOSTIC	RESIDUAL_CONFOUNDING
Astronomical	quire	18	0	WITHIN_STRATUM_DIAGNOSTIC	RESIDUAL_CONFOUNDING
Biological	currier	8	0	WITHIN_STRATUM_DIAGNOSTIC	RESIDUAL_CONFOUNDING
Biological	hand	5	0	WITHIN_STRATUM_DIAGNOSTIC	RESIDUAL_CONFOUNDING
Biological	quire	18	0	WITHIN_STRATUM_DIAGNOSTIC	RESIDUAL_CONFOUNDING
Cosmological	currier	8	0	WITHIN_STRATUM_DIAGNOSTIC	RESIDUAL_CONFOUNDING
Cosmological	hand	5	0	WITHIN_STRATUM_DIAGNOSTIC	RESIDUAL_CONFOUNDING
Cosmological	quire	18	0	WITHIN_STRATUM_DIAGNOSTIC	RESIDUAL_CONFOUNDING
Herbal	currier	8	0	WITHIN_STRATUM_DIAGNOSTIC	RESIDUAL_CONFOUNDING
Herbal	hand	5	0	WITHIN_STRATUM_DIAGNOSTIC	RESIDUAL_CONFOUNDING
Herbal	quire	18	0	WITHIN_STRATUM_DIAGNOSTIC	RESIDUAL_CONFOUNDING
Pharmaceutical	currier	8	0	WITHIN_STRATUM_DIAGNOSTIC	RESIDUAL_CONFOUNDING
Pharmaceutical	hand	5	0	WITHIN_STRATUM_DIAGNOSTIC	RESIDUAL_CONFOUNDING
Pharmaceutical	quire	18	0	WITHIN_STRATUM_DIAGNOSTIC	RESIDUAL_CONFOUNDING
Stars	currier	8	0	WITHIN_STRATUM_DIAGNOSTIC	RESIDUAL_CONFOUNDING
Stars	hand	5	0	WITHIN_STRATUM_DIAGNOSTIC	RESIDUAL_CONFOUNDING
Stars	quire	18	0	WITHIN_STRATUM_DIAGNOSTIC	RESIDUAL_CONFOUNDING
Text	currier	8	0	WITHIN_STRATUM_DIAGNOSTIC	RESIDUAL_CONFOUNDING
Text	hand	5	0	WITHIN_STRATUM_DIAGNOSTIC	RESIDUAL_CONFOUNDING
Text	quire	18	0	WITHIN_STRATUM_DIAGNOSTIC	RESIDUAL_CONFOUNDING
Zodiac	currier	8	0	WITHIN_STRATUM_DIAGNOSTIC	RESIDUAL_CONFOUNDING
Zodiac	hand	5	0	WITHIN_STRATUM_DIAGNOSTIC	RESIDUAL_CONFOUNDING
Zodiac	quire	18	0	WITHIN_STRATUM_DIAGNOSTIC	RESIDUAL_CONFOUNDING
