page_id	physical_leaf_id	broad_section	quire	currier	hand	token_count	unique_token_count	inclusion_status
f100r	f100r	Pharmaceutical	S		1	115	98	INCLUDED
f100v	f100v	Pharmaceutical	S		1	97	85	INCLUDED
f101r	f101r	Pharmaceutical	S		1	232	150	INCLUDED
f101v	f101v	Pharmaceutical	S		1	222	164	INCLUDED
f102r1	f102r	Pharmaceutical	S		1	107	93	INCLUDED
f102r2	f102r	Pharmaceutical	S		1	151	119	INCLUDED
f102v1	f102v	Pharmaceutical	S		1	130	106	INCLUDED
f102v2	f102v	Pharmaceutical	S		1	190	146	INCLUDED
f103r	f103r	Stars	T	X	3	533	289	INCLUDED
f103v	f103v	Stars	T	X	3	456	239	INCLUDED
f104r	f104r	Stars	T	X	3	449	314	INCLUDED
f104v	f104v	Stars	T	X	3	480	311	INCLUDED
f105r	f105r	Stars	T	Y	3	382	275	INCLUDED
f105v	f105v	Stars	T	Y	3	400	285	INCLUDED
f106r	f106r	Stars	T	X	3	433	307	INCLUDED
f106v	f106v	Stars	T	X	3	445	314	INCLUDED
f107r	f107r	Stars	T		3	488	318	INCLUDED
f107v	f107v	Stars	T		3	462	260	INCLUDED
f108r	f108r	Stars	T		3	498	282	INCLUDED
f108v	f108v	Stars	T		3	581	299	INCLUDED
f10r	f10r	Herbal	B	1	1	94	73	INCLUDED
f10v	f10v	Herbal	B	1	1	57	41	INCLUDED
f111r	f111r	Stars	T		3	626	356	INCLUDED
f111v	f111v	Stars	T		3	568	305	INCLUDED
f112r	f112r	Stars	T		3	404	258	INCLUDED
f112v	f112v	Stars	T		3	420	261	INCLUDED
f113r	f113r	Stars	T		3	531	371	INCLUDED
f113v	f113v	Stars	T		3	507	320	INCLUDED
f114r	f114r	Stars	T		3	463	319	INCLUDED
f114v	f114v	Stars	T		3	378	266	INCLUDED
f115r	f115r	Stars	T		2	464	312	INCLUDED
f115v	f115v	Stars	T		3	411	318	INCLUDED
f116r	f116r	Stars	T		3	560	276	INCLUDED
f116v	f116v	Text	T		3	2	2	INCLUDED
f11r	f11r	Herbal	B	1	1	62	46	INCLUDED
f11v	f11v	Herbal	B	1	1	51	46	INCLUDED
f13r	f13r	Herbal	B	1	1	78	61	INCLUDED
f13v	f13v	Herbal	B	1	1	69	58	INCLUDED
f14r	f14r	Herbal	B	1	1	77	66	INCLUDED
f14v	f14v	Herbal	B	1	1	75	59	INCLUDED
f15r	f15r	Herbal	B	1	1	94	73	INCLUDED
f15v	f15v	Herbal	B	1	1	72	49	INCLUDED
f16r	f16r	Herbal	B	1	1	84	72	INCLUDED
f16v	f16v	Herbal	B	1	1	76	61	INCLUDED
f17r	f17r	Herbal	C	1	1	82	78	INCLUDED
f17v	f17v	Herbal	C	1	1	136	107	INCLUDED
f18r	f18r	Herbal	C	1	1	88	67	INCLUDED
f18v	f18v	Herbal	C	1	1	70	61	INCLUDED
f19r	f19r	Herbal	C	1	1	80	53	INCLUDED
f19v	f19v	Herbal	C	1	1	78	62	INCLUDED
f1r	f1r	Text	A	1	1	221	168	INCLUDED
f1v	f1v	Herbal	A	1	1	92	70	INCLUDED
f20r	f20r	Herbal	C	1	1	89	79	INCLUDED
f20v	f20v	Herbal	C	1	1	88	70	INCLUDED
f21r	f21r	Herbal	C	1	1	104	80	INCLUDED
f21v	f21v	Herbal	C	1	1	58	43	INCLUDED
f22r	f22r	Herbal	C	1	1	115	84	INCLUDED
f22v	f22v	Herbal	C	1	1	78	62	INCLUDED
f23r	f23r	Herbal	C	1	1	110	80	INCLUDED
f23v	f23v	Herbal	C	1	1	95	75	INCLUDED
f24r	f24r	Herbal	C	1	1	113	86	INCLUDED
f24v	f24v	Herbal	C	1	1	87	81	INCLUDED
f25r	f25r	Herbal	D	1	1	47	40	INCLUDED
f25v	f25v	Herbal	D	1	1	61	46	INCLUDED
f26r	f26r	Herbal	D	2	2	91	65	INCLUDED
f26v	f26v	Herbal	D	2	2	96	81	INCLUDED
f27r	f27r	Herbal	D	1	1	96	65	INCLUDED
f27v	f27v	Herbal	D	1	1	61	55	INCLUDED
f28r	f28r	Herbal	D	1	1	68	57	INCLUDED
f28v	f28v	Herbal	D	1	1	68	50	INCLUDED
f29r	f29r	Herbal	D	1	1	65	57	INCLUDED
f29v	f29v	Herbal	D	1	1	94	75	INCLUDED
f2r	f2r	Herbal	A	1	1	109	87	INCLUDED
f2v	f2v	Herbal	A	1	1	61	47	INCLUDED
f30r	f30r	Herbal	D	1	1	99	84	INCLUDED
f30v	f30v	Herbal	D	1	1	67	56	INCLUDED
f31r	f31r	Herbal	D	2	2	104	80	INCLUDED
f31v	f31v	Herbal	D	2	2	110	97	INCLUDED
f32r	f32r	Herbal	D	1	1	77	64	INCLUDED
f32v	f32v	Herbal	D	1	1	89	63	INCLUDED
f33r	f33r	Herbal	E	2	2	74	60	INCLUDED
f33v	f33v	Herbal	E	2	2	114	75	INCLUDED
f34r	f34r	Herbal	E	2	2	150	122	INCLUDED
f34v	f34v	Herbal	E	2	2	118	92	INCLUDED
f35r	f35r	Herbal	E	1	1	98	74	INCLUDED
f35v	f35v	Herbal	E	1	1	91	73	INCLUDED
f36r	f36r	Herbal	E	1	1	67	58	INCLUDED
f36v	f36v	Herbal	E	1	1	76	60	INCLUDED
f37r	f37r	Herbal	E	1	1	79	64	INCLUDED
f37v	f37v	Herbal	E	1	1	90	68	INCLUDED
f38r	f38r	Herbal	E	1	1	44	39	INCLUDED
f38v	f38v	Herbal	E	1	1	68	46	INCLUDED
f39r	f39r	Herbal	E	2	2	159	121	INCLUDED
f39v	f39v	Herbal	E	2	2	146	106	INCLUDED
f3r	f3r	Herbal	A	1	1	114	89	INCLUDED
f3v	f3v	Herbal	A	1	1	85	75	INCLUDED
f40r	f40r	Herbal	E	2	2	105	78	INCLUDED
f40v	f40v	Herbal	E	2	2	105	80	INCLUDED
f41r	f41r	Herbal	F	2	5	97	78	INCLUDED
f41v	f41v	Herbal	F	2	5	66	58	INCLUDED
f42r	f42r	Herbal	F	1	1	148	111	INCLUDED
f42v	f42v	Herbal	F	1	1	119	99	INCLUDED
f43r	f43r	Herbal	F	2	2	153	116	INCLUDED
f43v	f43v	Herbal	F	2	2	152	128	INCLUDED
f44r	f44r	Herbal	F	1	1	75	68	INCLUDED
f44v	f44v	Herbal	F	1	1	100	78	INCLUDED
f45r	f45r	Herbal	F	1	1	91	76	INCLUDED
f45v	f45v	Herbal	F	1	1	85	75	INCLUDED
f46r	f46r	Herbal	F	2	2	164	126	INCLUDED
f46v	f46v	Herbal	F	2	2	112	89	INCLUDED
f47r	f47r	Herbal	F	1	1	80	59	INCLUDED
f47v	f47v	Herbal	F	1	1	85	67	INCLUDED
f48r	f48r	Herbal	F	2	5	91	89	INCLUDED
f48v	f48v	Herbal	F	2	5	128	105	INCLUDED
f49r	f49r	Herbal	G	1	1	120	89	INCLUDED
f49v	f49v	Herbal	G	1	1	170	113	INCLUDED
f4r	f4r	Herbal	A	1	1	65	49	INCLUDED
f4v	f4v	Herbal	A	1	1	84	72	INCLUDED
f50r	f50r	Herbal	G	2	2	93	78	INCLUDED
f50v	f50v	Herbal	G	2	2	101	86	INCLUDED
f51r	f51r	Herbal	G	1	1	89	79	INCLUDED
f51v	f51v	Herbal	G	1	1	82	70	INCLUDED
f52r	f52r	Herbal	G	1	1	70	59	INCLUDED
f52v	f52v	Herbal	G	1	1	78	69	INCLUDED
f53r	f53r	Herbal	G	1	1	61	57	INCLUDED
f53v	f53v	Herbal	G	1	1	73	67	INCLUDED
f54r	f54r	Herbal	G	1	1	111	76	INCLUDED
f54v	f54v	Herbal	G	1	1	93	75	INCLUDED
f55r	f55r	Herbal	G	2	2	127	93	INCLUDED
f55v	f55v	Herbal	G	2	2	107	75	INCLUDED
f56r	f56r	Herbal	G	1	1	107	83	INCLUDED
f56v	f56v	Herbal	G	1	1	91	67	INCLUDED
f57r	f57r	Herbal	H	2	5	87	77	INCLUDED
f57v	f57v	Cosmological	H		1	203	87	INCLUDED
f58r	f58r	Stars	H		3	380	290	INCLUDED
f58v	f58v	Stars	H		3	383	240	INCLUDED
f5r	f5r	Herbal	A	1	1	56	47	INCLUDED
f5v	f5v	Herbal	A	1	1	50	38	INCLUDED
f65r	f65r	Herbal	H		3	3	3	INCLUDED
f65v	f65v	Herbal	H		3	45	44	INCLUDED
f66r	f66r	Text	H		5	349	251	INCLUDED
f66v	f66v	Herbal	H		5	114	94	INCLUDED
f67r1	f67r	Astronomical	I		4	167	129	INCLUDED
f67r2	f67r	Astronomical	I		4	191	159	INCLUDED
f67v1	f67v	Astronomical	I		4	73	73	INCLUDED
f67v2	f67v	Cosmological	I		4	64	59	INCLUDED
f68r1	f68r	Astronomical	I		4	69	68	INCLUDED
f68r2	f68r	Astronomical	I		4	89	84	INCLUDED
f68r3	f68r	Astronomical	I		4	110	103	INCLUDED
f68v1	f68v	Astronomical	I		4	98	81	INCLUDED
f68v2	f68v	Astronomical	I		4	104	95	INCLUDED
f68v3	f68v	Cosmological	I		4	171	138	INCLUDED
f69r	f69r	Cosmological	J		4	160	126	INCLUDED
f69v	f69v	Cosmological	J		4	146	111	INCLUDED
f6r	f6r	Herbal	A	1	1	86	68	INCLUDED
f6v	f6v	Herbal	A	1	1	117	91	INCLUDED
f70r1	f70r	Cosmological	J		4	112	96	INCLUDED
f70r2	f70r	Cosmological	J		4	247	177	INCLUDED
f70v1	f70v	Zodiac	J		4	87	79	INCLUDED
f70v2	f70v	Zodiac	J		4	135	114	INCLUDED
f71r	f71r	Zodiac	K		4	90	76	INCLUDED
f71v	f71v	Zodiac	K		4	100	84	INCLUDED
f72r1	f72r	Zodiac	K		4	106	87	INCLUDED
f72r2	f72r	Zodiac	K		4	115	95	INCLUDED
f72r3	f72r	Zodiac	K		4	169	143	INCLUDED
f72v1	f72v	Zodiac	K		4	108	101	INCLUDED
f72v2	f72v	Zodiac	K		4	110	100	INCLUDED
f72v3	f72v	Zodiac	K		4	120	104	INCLUDED
f73r	f73r	Zodiac	L		4	96	85	INCLUDED
f73v	f73v	Zodiac	L		4	99	88	INCLUDED
f75r	f75r	Biological	M	2	2	418	203	INCLUDED
f75v	f75v	Biological	M	2	2	359	194	INCLUDED
f76r	f76r	Text	M	2	2	570	260	INCLUDED
f76v	f76v	Biological	M	2	2	401	228	INCLUDED
f77r	f77r	Biological	M	2	2	332	177	INCLUDED
f77v	f77v	Biological	M	2	2	333	174	INCLUDED
f78r	f78r	Biological	M	2	2	303	168	INCLUDED
f78v	f78v	Biological	M	2	2	299	163	INCLUDED
f79r	f79r	Biological	M	2	2	384	214	INCLUDED
f79v	f79v	Biological	M	2	2	356	200	INCLUDED
f7r	f7r	Herbal	A	1	1	66	60	INCLUDED
f7v	f7v	Herbal	A	1	1	78	59	INCLUDED
f80r	f80r	Biological	M	2	2	452	244	INCLUDED
f80v	f80v	Biological	M	2	2	376	199	INCLUDED
f81r	f81r	Biological	M	2	2	210	128	INCLUDED
f81v	f81v	Biological	M	2	2	257	159	INCLUDED
f82r	f82r	Biological	M	2	2	292	173	INCLUDED
f82v	f82v	Biological	M	2	2	323	189	INCLUDED
f83r	f83r	Biological	M	2	2	349	203	INCLUDED
f83v	f83v	Biological	M	2	2	262	146	INCLUDED
f84r	f84r	Biological	M	2	2	370	192	INCLUDED
f84v	f84v	Biological	M	2	2	344	167	INCLUDED
f85r1	f85r	Text	N	3	2	349	240	INCLUDED
f85r2	f85r	Cosmological	N	3	2	157	116	INCLUDED
f86v3	f86v	Cosmological	N	3	2	288	203	INCLUDED
f86v4	f86v	Cosmological	N	3	2	192	145	INCLUDED
f86v5	f86v	Text	N	3	2	390	231	INCLUDED
f86v6	f86v	Text	N	3	2	498	293	INCLUDED
f87r	f87r	Herbal	O	4	1	103	92	INCLUDED
f87v	f87v	Herbal	O	4	1	93	89	INCLUDED
f88r	f88r	Pharmaceutical	O	4	1	150	110	INCLUDED
f88v	f88v	Pharmaceutical	O	4	1	146	119	INCLUDED
f89r1	f89r	Pharmaceutical	O		1	142	110	INCLUDED
f89r2	f89r	Pharmaceutical	O		1	235	154	INCLUDED
f89v1	f89v	Pharmaceutical	O		1	154	126	INCLUDED
f89v2	f89v	Pharmaceutical	O		1	183	136	INCLUDED
f8r	f8r	Herbal	A	1	1	155	123	INCLUDED
f8v	f8v	Herbal	A	1	1	122	92	INCLUDED
f90r1	f90r	Herbal	O		1	69	66	INCLUDED
f90r2	f90r	Herbal	O		1	47	40	INCLUDED
f90v1	f90v	Herbal	O		1	99	87	INCLUDED
f90v2	f90v	Herbal	O		1	72	63	INCLUDED
f93r	f93r	Herbal	Q	4	1	153	117	INCLUDED
f93v	f93v	Herbal	Q	4	1	90	76	INCLUDED
f94r	f94r	Herbal	Q	5	3	79	74	INCLUDED
f94v	f94v	Herbal	Q	5	3	97	85	INCLUDED
f95r1	f95r	Herbal	Q	5	3	103	81	INCLUDED
f95r2	f95r	Herbal	Q	5	3	79	62	INCLUDED
f95v1	f95v	Herbal	Q	5	3	122	107	INCLUDED
f95v2	f95v	Herbal	Q	5	3	60	55	INCLUDED
f96r	f96r	Herbal	Q	4	1	84	75	INCLUDED
f96v	f96v	Herbal	Q	4	1	56	56	INCLUDED
f99r	f99r	Pharmaceutical	S		1	194	145	INCLUDED
f99v	f99v	Pharmaceutical	S		1	180	145	INCLUDED
f9r	f9r	Herbal	B	1	1	87	77	INCLUDED
f9v	f9v	Herbal	B	1	1	86	67	INCLUDED
fRos	fRos	Cosmological	N	3	4	551	366	INCLUDED
