seed	section	target_pages	unique_tokens	hapax	repeated_tokens
11	Astronomical	7	517	436	81
11	Biological	7	767	526	241
11	Cosmological	7	759	582	177
11	Herbal	7	390	307	83
11	Pharmaceutical	7	583	442	141
11	Stars	7	1380	991	389
11	Text	7	996	707	289
11	Zodiac	7	511	411	100
22	Astronomical	7	566	468	98
22	Biological	7	801	548	253
22	Cosmological	7	868	672	196
22	Herbal	7	392	307	85
22	Pharmaceutical	7	621	484	137
22	Stars	7	1351	966	385
22	Text	7	996	707	289
22	Zodiac	7	529	428	101
33	Astronomical	7	566	468	98
33	Biological	7	768	516	252
33	Cosmological	7	901	690	211
33	Herbal	7	476	358	118
33	Pharmaceutical	7	672	510	162
33	Stars	7	1424	1055	369
33	Text	7	996	707	289
33	Zodiac	7	514	412	102
