permutation_id	hapax_count	sample_size	hapax_fraction	stream_seed
1	70	112	0.625000000	3864895635724476092
2	68	112	0.607142857	3864895635724476092
3	66	112	0.589285714	3864895635724476092
4	63	112	0.562500000	3864895635724476092
5	75	112	0.669642857	3864895635724476092
6	69	112	0.616071429	3864895635724476092
7	71	112	0.633928571	3864895635724476092
8	81	112	0.723214286	3864895635724476092
9	64	112	0.571428571	3864895635724476092
10	67	112	0.598214286	3864895635724476092
11	67	112	0.598214286	3864895635724476092
12	71	112	0.633928571	3864895635724476092
13	67	112	0.598214286	3864895635724476092
14	57	112	0.508928571	3864895635724476092
15	76	112	0.678571429	3864895635724476092
16	72	112	0.642857143	3864895635724476092
17	63	112	0.562500000	3864895635724476092
18	65	112	0.580357143	3864895635724476092
19	68	112	0.607142857	3864895635724476092
20	65	112	0.580357143	3864895635724476092
21	78	112	0.696428571	3864895635724476092
22	65	112	0.580357143	3864895635724476092
23	73	112	0.651785714	3864895635724476092
24	65	112	0.580357143	3864895635724476092
25	69	112	0.616071429	3864895635724476092
26	74	112	0.660714286	3864895635724476092
27	68	112	0.607142857	3864895635724476092
28	82	112	0.732142857	3864895635724476092
29	66	112	0.589285714	3864895635724476092
30	69	112	0.616071429	3864895635724476092
31	60	112	0.535714286	3864895635724476092
32	67	112	0.598214286	3864895635724476092
33	70	112	0.625000000	3864895635724476092
34	68	112	0.607142857	3864895635724476092
35	68	112	0.607142857	3864895635724476092
36	66	112	0.589285714	3864895635724476092
37	70	112	0.625000000	3864895635724476092
38	64	112	0.571428571	3864895635724476092
39	69	112	0.616071429	3864895635724476092
40	72	112	0.642857143	3864895635724476092
41	68	112	0.607142857	3864895635724476092
42	72	112	0.642857143	3864895635724476092
43	65	112	0.580357143	3864895635724476092
44	70	112	0.625000000	3864895635724476092
45	70	112	0.625000000	3864895635724476092
46	77	112	0.687500000	3864895635724476092
47	59	112	0.526785714	3864895635724476092
48	69	112	0.616071429	3864895635724476092
49	66	112	0.589285714	3864895635724476092
50	67	112	0.598214286	3864895635724476092
51	69	112	0.616071429	3864895635724476092
52	73	112	0.651785714	3864895635724476092
53	65	112	0.580357143	3864895635724476092
54	68	112	0.607142857	3864895635724476092
55	71	112	0.633928571	3864895635724476092
56	70	112	0.625000000	3864895635724476092
57	71	112	0.633928571	3864895635724476092
58	54	112	0.482142857	3864895635724476092
59	70	112	0.625000000	3864895635724476092
60	77	112	0.687500000	3864895635724476092
61	70	112	0.625000000	3864895635724476092
62	70	112	0.625000000	3864895635724476092
63	65	112	0.580357143	3864895635724476092
64	57	112	0.508928571	3864895635724476092
65	77	112	0.687500000	3864895635724476092
66	66	112	0.589285714	3864895635724476092
67	69	112	0.616071429	3864895635724476092
68	66	112	0.589285714	3864895635724476092
69	72	112	0.642857143	3864895635724476092
70	71	112	0.633928571	3864895635724476092
71	71	112	0.633928571	3864895635724476092
72	71	112	0.633928571	3864895635724476092
73	76	112	0.678571429	3864895635724476092
74	62	112	0.553571429	3864895635724476092
75	69	112	0.616071429	3864895635724476092
76	74	112	0.660714286	3864895635724476092
77	64	112	0.571428571	3864895635724476092
78	69	112	0.616071429	3864895635724476092
79	66	112	0.589285714	3864895635724476092
80	69	112	0.616071429	3864895635724476092
81	74	112	0.660714286	3864895635724476092
82	66	112	0.589285714	3864895635724476092
83	71	112	0.633928571	3864895635724476092
