unit	feature	matched_n	unmatched_n	statistic	effect_size	permutation_p	effect_band	notes	matched_summary	unmatched_summary
PHYSICAL_COORDINATE	PANEL	89	54	CRAMERS_V	0.497179667	0.000099990	STRONG	pre-hapax feature; permutation test with fixed matched count	f67r1=10;f67r2=13;f67v1=4;f68r1=24;f68r2=21;f68r3=7;f68v1=4;f68v2=6	f67r1=2;f67r2=6;f67v1=6;f68r1=5;f68r2=4;f68r3=5;f68v1=4;f68v2=22
PHYSICAL_COORDINATE	LABEL_FAMILY	89	54	CRAMERS_V	0.564105221	0.000099990	STRONG	pre-hapax feature; permutation test with fixed matched count	CIRCLE_SECTOR=10;OTHER_DIAGRAM_LABEL=13;PLANET_MOON=7;RADIAL_TEXT=6;STAR=53	CIRCLE_SECTOR=2;OTHER_DIAGRAM_LABEL=16;OUTER_TITLE=1;RADIAL_TEXT=6;SECTOR_LABEL=15;STAR=14
PHYSICAL_COORDINATE	STOLFI_GROUP	89	54	CRAMERS_V	0.535268642	0.000099990	STRONG	pre-hapax feature; permutation test with fixed matched count	L=7;R=6;S=55;X=21	R=6;S=11;X=27;Y=9;Z=1
PHYSICAL_COORDINATE	PANEL_SERIES	89	54	CRAMERS_V	0.575397092	0.000099990	STRONG	pre-hapax feature; permutation test with fixed matched count	f67r1.S=10;f67r2.L=7;f67r2.X=6;f67v1.X=4;f68r1.S=24;f68r2.S=21;f68r3.X=7;f68v1.X=4;f68v2.R=6	f67r1.S=2;f67r2.X=6;f67v1.X=6;f68r1.S=5;f68r2.S=4;f68r3.X=5;f68v1.X=4;f68v2.R=6;f68v2.X=6;f68v2.Y=9;f68v2.Z=1
PHYSICAL_COORDINATE	WILDCARD_PRESENT	89	54	CRAMERS_V	0.087313359	0.366663334	WEAK	pre-hapax feature; permutation test with fixed matched count	False=87;True=2	False=51;True=3
PHYSICAL_COORDINATE	EXACT_LEXICAL_ANCHOR	89	54	CRAMERS_V	0.985178223	0.000099990	STRONG	pre-hapax feature; permutation test with fixed matched count	True=89	False=53;True=1
PHYSICAL_COORDINATE	COORDINATE_BRIDGE_AVAILABLE	89	54	CRAMERS_V	0.455676104	0.000099990	STRONG	pre-hapax feature; permutation test with fixed matched count	True=89	False=16;True=38
PHYSICAL_COORDINATE	VALIDATED_IVTFF_LOCUS_TYPE	89	54	CRAMERS_V	0.463628844	0.000099990	STRONG	pre-hapax feature; permutation test with fixed matched count	L=69;R=20	L=26;NONE=16;R=12
PHYSICAL_COORDINATE	LABEL_LENGTH_GLYPHS	89	54	STANDARDIZED_MEAN_DIFFERENCE	-0.509262397	0.004199580	STRONG	matched-minus-unmatched raw mean difference=-1.263732834	mean=7.264044944	mean=8.527777778
PHYSICAL_COORDINATE	LABEL_LENGTH_TOKENS	89	54	STANDARDIZED_MEAN_DIFFERENCE	-0.295732450	0.108689131	WEAK	matched-minus-unmatched raw mean difference=-0.161880982	mean=1.264044944	mean=1.425925926
PHYSICAL_COORDINATE	TRANSCRIBER_VARIANTS	89	54	STANDARDIZED_MEAN_DIFFERENCE	0.740173080	0.000099990	STRONG	matched-minus-unmatched raw mean difference=0.331044528	mean=1.460674157	mean=1.129629630
SOURCE_RECORD	PANEL	130	61	CRAMERS_V_DESCRIPTIVE	0.463676228	NA	DESCRIPTIVE_ONLY	variants at a coordinate are dependent; no record-level p-value	f67r1=20;f67r2=20;f67v1=4;f68r1=24;f68r2=42;f68r3=7;f68v1=4;f68v2=9	f67r1=4;f67r2=6;f67v1=6;f68r1=5;f68r2=8;f68r3=5;f68v1=4;f68v2=23
SOURCE_RECORD	LABEL_FAMILY	130	61	CRAMERS_V_DESCRIPTIVE	0.550821005	NA	DESCRIPTIVE_ONLY	variants at a coordinate are dependent; no record-level p-value	CIRCLE_SECTOR=20;OTHER_DIAGRAM_LABEL=13;PLANET_MOON=14;RADIAL_TEXT=9;STAR=74	CIRCLE_SECTOR=4;OTHER_DIAGRAM_LABEL=16;OUTER_TITLE=1;RADIAL_TEXT=7;SECTOR_LABEL=15;STAR=18
SOURCE_RECORD	EXACT_LEXICAL_ANCHOR	130	61	CRAMERS_V_DESCRIPTIVE	0.819684472	NA	DESCRIPTIVE_ONLY	variants at a coordinate are dependent; no record-level p-value	False=16;True=114	False=60;True=1
PHYSICAL_COORDINATE	MAPPED_LOCUS_TYPE_USED	89	54	CRAMERS_V_DESCRIPTIVE	1.000000000	NA	STRUCTURAL	post-mapping consequence: unmatched coordinates necessarily have NONE	L=69;R=20	NONE=54
