panel	family	stolfi_group	records	matched_records	unmatched_records	record_match_rate	physical_coordinates	matched_coordinates	unmatched_coordinates	physical_coordinate_coverage	coordinates_with_wildcard	coordinates_with_exact_anchor	matched_mean_glyph_length	unmatched_mean_glyph_length	matched_mean_token_length	unmatched_mean_token_length	matched_mean_transcriber_variants	unmatched_mean_transcriber_variants	validated_ivtff_locus_types	panel_background_hapax_fraction	unmatched_potential_token_occurrences	background_expected_unmatched_hapax
f67r1	CIRCLE_SECTOR	S	24	20	4	0.833333333	12	10	2	0.833333333	0	10	6.900000000	7.500000000	1.400000000	1.000000000	2.000000000	2.000000000	R	0.437125749	2	0.874251497
f67r2	OTHER_DIAGRAM_LABEL	X	12	6	6	0.500000000	12	6	6	0.500000000	0	6	6.833333333	6.500000000	1.166666667	1.000000000	1.000000000	1.000000000	L	0.554973822	6	3.329842932
f67r2	PLANET_MOON	L	14	14	0	1.000000000	7	7	0	1.000000000	0	7	7.357142857	NA	1.285714286	NA	2.000000000	NA	L	0.554973822	0	0.000000000
f67v1	OTHER_DIAGRAM_LABEL	X	9	3	6	0.333333333	9	3	6	0.333333333	2	3	7.666666667	8.500000000	1.666666667	1.166666667	1.000000000	1.000000000	L	0.671232877	7	4.698630137
f67v1	STAR	X	1	1	0	1.000000000	1	1	0	1.000000000	0	1	7.000000000	NA	1.000000000	NA	1.000000000	NA	L	0.671232877	0	0.000000000
f68r1	STAR	S	29	24	5	0.827586207	29	24	5	0.827586207	0	24	6.125000000	7.400000000	1.000000000	1.200000000	1.000000000	1.000000000	L	0.695652174	6	4.173913043
f68r2	STAR	S	50	42	8	0.840000000	25	21	4	0.840000000	2	21	6.690476190	7.375000000	1.023809524	1.000000000	2.000000000	2.000000000	L	0.719101124	4	2.876404494
f68r3	STAR	X	12	7	5	0.583333333	12	7	5	0.583333333	0	7	6.142857143	6.200000000	1.142857143	1.200000000	1.000000000	1.000000000	L	0.609090909	6	3.654545455
f68v1	OTHER_DIAGRAM_LABEL	X	8	4	4	0.500000000	8	4	4	0.500000000	0	4	12.750000000	11.500000000	2.500000000	2.000000000	1.000000000	1.000000000	R	0.520408163	8	4.163265306
f68v2	OUTER_TITLE	Z	1	0	1	0.000000000	1	0	1	0.000000000	1	0	NA	14.000000000	NA	3.000000000	NA	1.000000000	NONE	0.576923077	3	1.730769231
f68v2	RADIAL_TEXT	R	16	9	7	0.562500000	12	6	6	0.500000000	0	6	12.250000000	12.666666667	2.166666667	2.000000000	1.500000000	1.166666667	R	0.576923077	12	6.923076923
f68v2	SECTOR_LABEL	X	6	0	6	0.000000000	6	0	6	0.000000000	0	1	NA	5.500000000	NA	1.000000000	NA	1.000000000	NONE	0.576923077	6	3.461538462
f68v2	SECTOR_LABEL	Y	9	0	9	0.000000000	9	0	9	0.000000000	0	0	NA	9.888888889	NA	1.888888889	NA	1.000000000	NONE	0.576923077	17	9.807692308
