left_glyph	right_glyph	observed_count	left_opportunities	p_right_given_left	expected_count	effect_size	p_raw	q_value	observed_status	corpus_rule	inferred_status
0	0	1	13	0.07692307692	0.002593224156	385.6203474	0.002589864655	0.009871954685	OBSERVED	OBSERVED	STRONGLY_PREFERRED
0	1	1	13	0.07692307692	0.001924005019	519.7491639	0.001922155308	0.007480820658	OBSERVED	OBSERVED	STRONGLY_PREFERRED
0	2	0	13	0	0.002593224156	0	0.9974101353	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	3	1	13	0.07692307692	0.004851838744	206.1074271	0.004840087587	0.01704190665	OBSERVED	OBSERVED	PREFERRED
0	4	3	13	0.2307692308	0.003178790901	943.7550607	5.340713982e-09	2.672419043e-08	OBSERVED	OBSERVED	STRONGLY_PREFERRED
0	5	0	13	0	0.00234226698	0	0.997660474	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	6	4	13	0.3076923077	0.003764357646	1062.598291	8.341549673e-12	4.412509541e-11	OBSERVED	OBSERVED	STRONGLY_PREFERRED
0	7	1	13	0.07692307692	0.003346095685	298.8557692	0.003340503746	0.01233416768	OBSERVED	OBSERVED	PREFERRED
0	8	2	13	0.1538461538	0.001924005019	1039.498328	1.848525278e-06	8.556031287e-06	OBSERVED	OBSERVED	STRONGLY_PREFERRED
0	9	0	13	0	0.002593224156	0	0.9974101353	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	I	0	13	0	0	0	1	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	a	0	13	0	1.058202761	0	0.3470790343	0.6867395853	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	b	0	13	0	0.001254785882	0	0.998746001	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	c	0	13	0	0.5283485087	0	0.5895778488	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	d	0	13	0	0.7977928638	0	0.4503217896	0.8297508308	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	e	0	13	0	1.69463016	0	0.1836671439	0.4219532333	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	f	0	13	0	0.0319552138	0	0.9685499588	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	g	0	13	0	0.01146037772	0	0.9886050423	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	h	0	13	0	1.501560439	0	0.2227822507	0.491866775	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	i	0	13	0	0.9989768669	0	0.3682560234	0.7209362634	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	j	0	13	0	0.001003828706	0	0.998996675	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	k	0	13	0	0.8206299669	0	0.4401542845	0.81842174	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	l	0	13	0	0.7692673981	0	0.4633523969	0.8476720992	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	m	0	13	0	0.08842057849	0	0.9153758084	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	n	0	13	0	0.5170554358	0	0.5962737318	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	o	0	13	0	1.398835301	0	0.2468843424	0.5332701796	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	p	0	13	0	0.09444355072	0	0.9098790952	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	q	0	13	0	0.002927833725	0	0.9970764482	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	r	0	13	0	0.5910041504	0	0.5537709361	0.9633384338	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	s	0	13	0	0.2305459927	0	0.7940999113	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	t	0	13	0	0.4997393906	0	0.6066887479	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	u	0	13	0	0.0006692191371	0	0.9993310047	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	v	0	13	0	0	0	1	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	x	0	13	0	0.001673047843	0	0.9983283509	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	y	0	13	0	1.32990573	0	0.2645021947	0.5592085552	UNOBSERVED	NEVER_OBSERVED	EXPECTED
0	z	0	13	0	0.000585566745	0	0.9994146047	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
1	0	1	144	0.006944444444	0.0287249445	34.81294803	0.02831630534	0.08265299938	OBSERVED	OBSERVED	EXPECTED
1	1	1	144	0.006944444444	0.0213120556	46.92179952	0.02108655852	0.06400042116	OBSERVED	OBSERVED	EXPECTED
1	2	1	144	0.006944444444	0.0287249445	34.81294803	0.02831630534	0.08265299938	OBSERVED	OBSERVED	EXPECTED
1	3	34	144	0.2361111111	0.05374344455	632.6352969	1.110223025e-16	6.755159812e-16	OBSERVED	OBSERVED	STRONGLY_PREFERRED
1	4	13	144	0.09027777778	0.03521122229	369.2004751	0	0	OBSERVED	OBSERVED	STRONGLY_PREFERRED
1	5	12	144	0.08333333333	0.02594511116	462.514881	0	0	OBSERVED	OBSERVED	STRONGLY_PREFERRED
1	6	21	144	0.1458333333	0.04169750008	503.6273148	0	0	OBSERVED	OBSERVED	STRONGLY_PREFERRED
1	7	30	144	0.2083333333	0.03706444452	809.4010417	0	0	OBSERVED	OBSERVED	STRONGLY_PREFERRED
1	8	11	144	0.07638888889	0.0213120556	516.1397947	0	0	OBSERVED	OBSERVED	STRONGLY_PREFERRED
1	9	20	144	0.1388888889	0.0287249445	696.2589606	0	0	OBSERVED	OBSERVED	STRONGLY_PREFERRED
1	I	0	144	0	0	0	1	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
1	a	0	144	0	11.72163058	0	8.116345407e-06	3.590028549e-05	UNOBSERVED	NEVER_OBSERVED	STRONGLY_AVOIDED
1	b	0	144	0	0.01389916669	0	0.9861969808	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
1	c	0	144	0	5.852475789	0	0.002872777954	0.01076046309	UNOBSERVED	NEVER_OBSERVED	AVOIDED
1	d	0	144	0	8.837090184	0	0.000145244768	0.0006052643707	UNOBSERVED	NEVER_OBSERVED	STRONGLY_AVOIDED
1	e	0	144	0	18.77128793	0	7.042603463e-09	3.510466957e-08	UNOBSERVED	NEVER_OBSERVED	STRONGLY_AVOIDED
1	f	0	144	0	0.3539654451	0	0.701899221	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
1	g	0	144	0	0.1269457225	0	0.8807814779	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
1	h	0	144	0	16.63266948	0	5.977552884e-08	2.87989165e-07	UNOBSERVED	NEVER_OBSERVED	STRONGLY_AVOIDED
1	i	0	144	0	11.06558991	0	1.564139066e-05	6.779679695e-05	UNOBSERVED	NEVER_OBSERVED	STRONGLY_AVOIDED
1	j	0	144	0	0.01111933335	0	0.9889422579	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
1	k	0	144	0	9.090055018	0	0.0001127818634	0.0004730268444	UNOBSERVED	NEVER_OBSERVED	STRONGLY_AVOIDED
1	l	0	144	0	8.521115794	0	0.0001992170161	0.0008222460283	UNOBSERVED	NEVER_OBSERVED	STRONGLY_AVOIDED
1	m	0	144	0	0.9794279463	0	0.3755258584	0.73267406	UNOBSERVED	NEVER_OBSERVED	EXPECTED
1	n	0	144	0	5.727383289	0	0.003255585023	0.01205496626	UNOBSERVED	NEVER_OBSERVED	AVOIDED
1	o	0	144	0	15.49479103	0	1.865081256e-07	8.789619301e-07	UNOBSERVED	NEVER_OBSERVED	STRONGLY_AVOIDED
1	p	0	144	0	1.046143946	0	0.3512897328	0.6940114233	UNOBSERVED	NEVER_OBSERVED	EXPECTED
1	q	0	144	0	0.03243138895	0	0.9680888691	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
1	r	0	144	0	6.546507513	0	0.001435118991	0.00567047016	UNOBSERVED	NEVER_OBSERVED	STRONGLY_AVOIDED
1	s	0	144	0	2.553740227	0	0.07779016831	0.2016321163	UNOBSERVED	NEVER_OBSERVED	EXPECTED
1	t	0	144	0	5.535574788	0	0.003943941053	0.01423773706	UNOBSERVED	NEVER_OBSERVED	AVOIDED
