glyph	total_count	token_occurrences_containing	unique_token_types_containing	physical_lines_containing	folio_coverage	section_coverage
0	31	30	15	25	19	6
1	161	147	70	110	83	8
2	67	64	30	55	42	8
3	58	46	21	34	31	6
4	38	37	22	35	28	7
5	28	27	15	27	22	6
6	45	43	18	35	33	8
7	40	39	15	27	22	8
8	23	22	15	22	21	6
9	31	30	15	26	22	7
I	1	1	1	1	1	1
a	14829	14071	3471	4466	226	8
b	15	15	13	15	14	4
c	13379	12307	3466	4207	225	8
d	13215	12726	3038	4231	226	8
e	20430	14530	3671	3972	224	8
f	503	499	380	403	162	8
g	154	153	124	151	91	8
h	18012	16344	4523	4442	226	8
i	11969	7178	1542	3423	226	8
j	14	13	13	13	11	7
k	11095	11000	2563	3977	225	8
l	10659	10097	2774	3976	226	8
m	1071	1063	417	936	192	8
n	6186	6184	1027	3169	224	8
o	25661	22223	5387	5076	227	8
p	1676	1664	890	943	214	8
q	5436	5434	865	2749	218	8
r	7599	7319	1972	3492	226	8
s	7359	7056	2229	3450	226	8
t	7007	6954	1913	3319	226	8
u	9	9	8	9	9	5
v	15	15	4	5	2	2
x	41	41	30	34	17	4
y	17919	16909	3713	4630	226	8
z	9	9	9	9	8	6
