n	context	continuation	sequence	count	context_count	conditional_probability	observed_status	corpus_rule
2	0	0	00	1	13	0.07692307692	OBSERVED	OBSERVED
2	0	1	01	1	13	0.07692307692	OBSERVED	OBSERVED
2	0	2	02	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	3	03	1	13	0.07692307692	OBSERVED	OBSERVED
2	0	4	04	3	13	0.2307692308	OBSERVED	OBSERVED
2	0	5	05	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	6	06	4	13	0.3076923077	OBSERVED	OBSERVED
2	0	7	07	1	13	0.07692307692	OBSERVED	OBSERVED
2	0	8	08	2	13	0.1538461538	OBSERVED	OBSERVED
2	0	9	09	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	I	0I	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	a	0a	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	b	0b	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	c	0c	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	d	0d	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	e	0e	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	f	0f	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	g	0g	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	h	0h	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	i	0i	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	j	0j	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	k	0k	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	l	0l	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	m	0m	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	n	0n	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	o	0o	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	p	0p	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	q	0q	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	r	0r	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	s	0s	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	t	0t	0	13	0	UNOBSERVED	NEVER_OBSERVED
2	0	u	0u	0	13	0	UNOBSERVED	NEVER_OBSERVED
