token_A	token_B	lines_A	lines_B	lines_AB	p_B_present_given_A_present	expected_lines_AB	effect_size	null_probability_zero	p_raw	q_value	corpus_rule	inferred_status
132	133	10	11	7	0.7	0.03050975566	229.4348102	0.9699509695	4.773959006e-15	3.643199076e-10	OBSERVED	STRONGLY_PREFERRED
132	ar	10	362	2	0.2	1.058617973	1.889255662	0.3469349526	0.2857934711	0.9726397553	OBSERVED	EXPECTED
132	c	10	45	10	1	0.1376433273	72.65154216	0.8714094442	6.661338148e-16	1.016706719e-10	OBSERVED	STRONGLY_PREFERRED
132	char	10	84	1	0.1	0.2324354131	4.30227041	0.7926009393	0.2073990607	0.9726397553	OBSERVED	EXPECTED
132	chey	10	331	1	0.1	0.9162437261	1.091412657	0.4000188027	0.5999811973	0.9726397553	OBSERVED	EXPECTED
132	cho	10	85	1	0.1	0.2324354131	4.30227041	0.7926009393	0.2073990607	0.9726397553	OBSERVED	EXPECTED
132	choly	10	17	1	0.1	0.04709679815	21.23286591	0.9539950482	0.04600495184	0.9726397553	OBSERVED	EXPECTED
132	chor	10	198	1	0.1	0.5660810597	1.766531459	0.5677460475	0.4322539525	0.9726397553	OBSERVED	EXPECTED
132	choty	10	38	1	0.1	0.1075886718	9.294658842	0.8979968919	0.1020031081	0.9726397553	OBSERVED	EXPECTED
132	cthol	10	55	1	0.1	0.153983467	6.494203693	0.8572861944	0.1427138056	0.9726397553	OBSERVED	EXPECTED
132	daiin	10	738	2	0.2	2.033991679	0.9832881916	0.1308123168	0.6674767475	0.9726397553	OBSERVED	EXPECTED
132	dy	10	256	1	0.1	0.7458849469	1.340689344	0.4743143711	0.5256856289	0.9726397553	OBSERVED	EXPECTED
132	hy	10	18	3	0.3	0.04985756958	60.17140477	0.9513649182	1.989860857e-05	0.06902465519	OBSERVED	EXPECTED
132	o	10	201	1	0.1	0.5942449169	1.682807832	0.5519791987	0.4480208013	0.9726397553	OBSERVED	EXPECTED
132	okain	10	136	1	0.1	0.3815109227	2.621156933	0.6828289277	0.3171710723	0.9726397553	OBSERVED	EXPECTED
132	okshy	10	11	1	0.1	0.03050975566	32.77640146	0.9699509695	0.03004903049	0.9726397553	OBSERVED	EXPECTED
132	ol	10	495	1	0.1	1.414401863	0.7070126436	0.2430709598	0.5868709781	0.9726397553	OBSERVED	EXPECTED
132	olchey	10	25	1	0.1	0.0691531728	14.46065248	0.9331837308	0.06681626923	0.9726397553	OBSERVED	EXPECTED
132	opchedy	10	47	1	0.1	0.13491632	7.412001752	0.8737890273	0.1262109727	0.9726397553	OBSERVED	EXPECTED
132	os	10	35	1	0.1	0.0993699045	10.06340909	0.9054077317	0.09459226832	0.9726397553	OBSERVED	EXPECTED
132	oteey	10	131	1	0.1	0.3920394823	2.550763495	0.6756774361	0.3243225639	0.9726397553	OBSERVED	EXPECTED
132	oto	10	11	1	0.1	0.03050975566	32.77640146	0.9699509695	0.03004903049	0.9726397553	OBSERVED	EXPECTED
132	pcheol	10	11	1	0.1	0.03050975566	32.77640146	0.9699509695	0.03004903049	0.9726397553	OBSERVED	EXPECTED
132	qockhey	10	18	1	0.1	0.04985756958	20.05713492	0.9513649182	0.04863508184	0.9726397553	OBSERVED	EXPECTED
132	qokar	10	150	1	0.1	0.4287656579	2.332276341	0.6513125412	0.3486874588	0.9726397553	OBSERVED	EXPECTED
132	qokedy	10	232	1	0.1	0.7283639656	1.372939969	0.4826980551	0.5173019449	0.9726397553	OBSERVED	EXPECTED
132	qokeey	10	273	1	0.1	0.8056208423	1.24127871	0.4468104416	0.5531895584	0.9726397553	OBSERVED	EXPECTED
132	qokol	10	92	1	0.1	0.2673237124	3.740783004	0.7654252537	0.2345747463	0.9726397553	OBSERVED	EXPECTED
132	qotchy	10	62	1	0.1	0.170286158	5.872467918	0.8434234297	0.1565765703	0.9726397553	OBSERVED	EXPECTED
132	qoteody	10	11	1	0.1	0.03050975566	32.77640146	0.9699509695	0.03004903049	0.9726397553	OBSERVED	EXPECTED
132	r	10	159	1	0.1	0.4626972056	2.16124063	0.6295832379	0.3704167621	0.9726397553	OBSERVED	EXPECTED
132	s	10	332	1	0.1	0.9259908607	1.079924265	0.3961387063	0.6038612937	0.9726397553	OBSERVED	EXPECTED
132	sheey	10	143	1	0.1	0.4025522915	2.484149317	0.6686113753	0.3313886247	0.9726397553	OBSERVED	EXPECTED
132	sheod	10	11	1	0.1	0.03050975566	32.77640146	0.9699509695	0.03004903049	0.9726397553	OBSERVED	EXPECTED
132	sho	10	121	2	0.2	0.341887886	5.849870914	0.7104278492	0.04668547533	0.9726397553	OBSERVED	EXPECTED
132	shol	10	172	1	0.1	0.4990558895	2.003783586	0.6071035621	0.3928964379	0.9726397553	OBSERVED	EXPECTED
132	shor	10	90	1	0.1	0.2619674629	3.81726795	0.7695360618	0.2304639382	0.9726397553	OBSERVED	EXPECTED
132	y	10	308	1	0.1	0.8722087466	1.146514529	0.4180272126	0.5819727874	0.9726397553	OBSERVED	EXPECTED
132	ykeody	10	16	1	0.1	0.04433496053	22.5555631	0.9566334693	0.04336653065	0.9726397553	OBSERVED	EXPECTED
133	am	11	87	1	0.09090909091	0.2645013892	3.780698479	0.7675885825	0.2324114175	0.9726397553	OBSERVED	EXPECTED
133	ar	11	362	2	0.1818181818	1.16426574	1.717820882	0.3121517785	0.3244206001	0.9726397553	OBSERVED	EXPECTED
133	c	11	45	8	0.7272727273	0.1513785381	52.84765002	0.8595222752	5.978773032e-12	3.041760568e-07	OBSERVED	STRONGLY_PREFERRED
133	chor	11	198	1	0.09090909091	0.6225719112	1.60624015	0.5365626699	0.4634373301	0.9726397553	OBSERVED	EXPECTED
133	ctheey	11	15	1	0.09090909091	0.04572042391	21.87206317	0.9553090064	0.04469099358	0.9726397553	OBSERVED	EXPECTED
133	cthol	11	55	1	0.09090909091	0.1693492609	5.904956387	0.8442140009	0.1557859991	0.9726397553	OBSERVED	EXPECTED
133	daiin	11	738	2	0.1818181818	2.236998507	0.8940551342	0.1067785189	0.6128104266	0.9726397553	OBSERVED	EXPECTED
133	dar	11	297	1	0.09090909091	0.9322109165	1.072718611	0.3936823487	0.6063176513	0.9726397553	OBSERVED	EXPECTED
133	dol	11	105	1	0.09090909091	0.3263195604	3.064480716	0.7215745639	0.2784254361	0.9726397553	OBSERVED	EXPECTED
133	hy	11	18	5	0.4545454545	0.05483273177	91.18641072	0.9466434781	3.946267646e-09	0.0001204621877	OBSERVED	STRONGLY_PREFERRED
133	kchol	11	25	1	0.09090909091	0.07605380906	13.14858535	0.9267663368	0.07323366321	0.9726397553	OBSERVED	EXPECTED
133	o	11	201	2	0.1818181818	0.6535464915	3.060226053	0.520197625	0.1398290423	0.9726397553	OBSERVED	EXPECTED
133	okain	11	136	1	0.09090909091	0.4195822667	2.383322841	0.6573213475	0.3426786525	0.9726397553	OBSERVED	EXPECTED
133	okeey	11	169	1	0.09090909091	0.5431580229	1.841084837	0.5809108229	0.4190891771	0.9726397553	OBSERVED	EXPECTED
133	okeor	11	20	1	0.09090909091	0.060901744	16.41989103	0.9409156858	0.05908431415	0.9726397553	OBSERVED	EXPECTED
133	okshy	11	11	1	0.09090909091	0.03355424165	29.80249145	0.967002458	0.032997542	0.9726397553	OBSERVED	EXPECTED
133	ol	11	495	2	0.1818181818	1.555560996	1.285709789	0.2110709396	0.4605953396	0.9726397553	OBSERVED	EXPECTED
133	olchey	11	25	1	0.09090909091	0.07605380906	13.14858535	0.9267663368	0.07323366321	0.9726397553	OBSERVED	EXPECTED
133	opchedy	11	47	1	0.09090909091	0.148379403	6.73947987	0.862103968	0.137896032	0.9726397553	OBSERVED	EXPECTED
133	or	11	341	1	0.09090909091	1.116840979	0.8953826184	0.3273121491	0.6928677702	0.9726397553	OBSERVED	EXPECTED
133	oteey	11	131	1	0.09090909091	0.4311615242	2.319316414	0.6497539513	0.3502460487	0.9726397553	OBSERVED	EXPECTED
133	otol	11	78	1	0.09090909091	0.2467485158	4.052709281	0.7813371628	0.2186628372	0.9726397553	OBSERVED	EXPECTED
133	qockhey	11	18	1	0.09090909091	0.05483273177	18.23728214	0.9466434781	0.05335652191	0.9726397553	OBSERVED	EXPECTED
133	qokar	11	150	1	0.09090909091	0.4715528071	2.120653265	0.6240325135	0.3759674865	0.9726397553	OBSERVED	EXPECTED
133	qokedy	11	232	1	0.09090909091	0.801050696	1.248360441	0.4488571039	0.5511428961	0.9726397553	OBSERVED	EXPECTED
133	qokeey	11	273	1	0.09090909091	0.8860180135	1.128645225	0.4122942385	0.5877057615	0.9726397553	OBSERVED	EXPECTED
133	qokol	11	92	2	0.1818181818	0.2939998872	6.802723699	0.7452765755	0.03561219535	0.9726397553	OBSERVED	EXPECTED
133	qotchy	11	62	1	0.09090909091	0.1872788037	5.33963257	0.8292125166	0.1707874834	0.9726397553	OBSERVED	EXPECTED
133	qoteody	11	11	1	0.09090909091	0.03355424165	29.80249145	0.967002458	0.032997542	0.9726397553	OBSERVED	EXPECTED
133	r	11	159	1	0.09090909091	0.5088705951	1.965136146	0.6011741646	0.3988258354	0.9726397553	OBSERVED	EXPECTED
133	s	11	332	2	0.1818181818	1.018401511	1.963861973	0.3611718083	0.2710102766	0.9726397553	OBSERVED	EXPECTED
133	sheey	11	143	1	0.09090909091	0.4427234616	2.258746343	0.6422847989	0.3577152011	0.9726397553	OBSERVED	EXPECTED
133	sheo	11	47	1	0.09090909091	0.1453791191	6.878566924	0.8646944088	0.1353055912	0.9726397553	OBSERVED	EXPECTED
133	sheody	11	48	1	0.09090909091	0.148379403	6.73947987	0.862103968	0.137896032	0.9726397553	OBSERVED	EXPECTED
133	sheol	11	105	1	0.09090909091	0.3233869556	3.092270676	0.7236937628	0.2763062372	0.9726397553	OBSERVED	EXPECTED
133	sheor	11	47	1	0.09090909091	0.1423776855	7.023572525	0.8672936304	0.1327063696	0.9726397553	OBSERVED	EXPECTED
133	shey	11	249	1	0.09090909091	0.8065612942	1.239831377	0.4463904354	0.5536095646	0.9726397553	OBSERVED	EXPECTED
133	sho	11	121	1	0.09090909091	0.3760050684	2.659538618	0.6865988531	0.3134011469	0.9726397553	OBSERVED	EXPECTED
133	shodaiin	11	24	1	0.09090909091	0.073025732	13.69380317	0.9295769098	0.07042309015	0.9726397553	OBSERVED	EXPECTED
133	shor	11	90	1	0.09090909091	0.2881091241	3.470907085	0.7496797797	0.2503202203	0.9726397553	OBSERVED	EXPECTED
133	tchey	11	22	1	0.09090909091	0.06696607543	14.93293423	0.935226928	0.06477307203	0.9726397553	OBSERVED	EXPECTED
133	y	11	308	1	0.09090909091	0.9592516607	1.0424793	0.383179527	0.616820473	0.9726397553	OBSERVED	EXPECTED
133	ykeody	11	16	1	0.09090909091	0.04875903279	20.50902044	0.9524106018	0.04758939823	0.9726397553	OBSERVED	EXPECTED
a	aiin	15	454	6	0.4	1.93816771	3.095707336	0.1439674984	0.01443415785	0.9726397553	OBSERVED	EXPECTED
a	air	15	81	3	0.2	0.3442872142	8.713654983	0.7087253428	0.005265669678	0.9726397553	OBSERVED	EXPECTED
a	al	15	233	3	0.2	1.03881	2.887919831	0.3538755433	0.08757681536	0.9726397553	OBSERVED	EXPECTED
a	ar	15	362	6	0.4	1.586468824	3.781984184	0.2046469819	0.005804987603	0.9726397553	OBSERVED	EXPECTED
a	c	15	45	1	0.06666666667	0.2062665992	4.848094669	0.8136161379	0.1863838621	0.9726397553	OBSERVED	EXPECTED
a	char	15	84	1	0.06666666667	0.3483196704	2.870926005	0.7058731934	0.2941268066	0.9726397553	OBSERVED	EXPECTED
a	chckhy	15	135	1	0.06666666667	0.567774871	1.761261463	0.5667852068	0.4332147932	0.9726397553	OBSERVED	EXPECTED
a	chdy	15	134	1	0.06666666667	0.595381454	1.679595482	0.5513522103	0.4486477897	0.9726397553	OBSERVED	EXPECTED
a	chedaiin	15	38	2	0.1333333333	0.1612277037	12.40481601	0.8510982508	0.01168113258	0.9726397553	OBSERVED	EXPECTED
a	chedy	15	452	3	0.2	1.924333258	1.558981526	0.1459730507	0.3028527806	0.9726397553	OBSERVED	EXPECTED
a	cheey	15	175	1	0.06666666667	0.7401106269	1.35114936	0.4770611368	0.5229388632	0.9726397553	OBSERVED	EXPECTED
a	cheody	15	88	1	0.06666666667	0.3724823143	2.684691223	0.6890218373	0.3109781627	0.9726397553	OBSERVED	EXPECTED
a	cheor	15	91	1	0.06666666667	0.3805243257	2.627952886	0.6835029371	0.3164970629	0.9726397553	OBSERVED	EXPECTED
a	chey	15	331	2	0.1333333333	1.373094737	1.456563736	0.2533217809	0.398843415	0.9726397553	OBSERVED	EXPECTED
a	cho	15	85	1	0.06666666667	0.3483196704	2.870926005	0.7058731934	0.2941268066	0.9726397553	OBSERVED	EXPECTED
a	chy	15	156	1	0.06666666667	0.669950791	1.492646943	0.5117337591	0.4882662409	0.9726397553	OBSERVED	EXPECTED
a	ckhy	15	35	1	0.06666666667	0.148911358	6.715404476	0.8616454895	0.1383545105	0.9726397553	OBSERVED	EXPECTED
a	cthey	15	51	2	0.1333333333	0.2103516423	9.507888685	0.8102992604	0.01925295946	0.9726397553	OBSERVED	EXPECTED
a	cthody	15	16	1	0.06666666667	0.06643824214	15.05157222	0.9357207022	0.06427929782	0.9726397553	OBSERVED	EXPECTED
a	d	15	65	3	0.2	0.299828954	10.00570479	0.7409449455	0.003593793817	0.9726397553	OBSERVED	EXPECTED
a	daiin	15	738	2	0.1333333333	3.048314477	0.6561002858	0.04743881624	0.4124532324	0.9726397553	OBSERVED	EXPECTED
a	daiir	15	25	1	0.06666666667	0.1036297461	9.649738971	0.9015590413	0.09844095866	0.9726397553	OBSERVED	EXPECTED
a	dair	15	103	2	0.1333333333	0.4566208091	4.380001875	0.6334204818	0.07734654529	0.9726397553	OBSERVED	EXPECTED
a	dal	15	226	2	0.1333333333	0.9630331446	2.07677172	0.381733276	0.2506449268	0.9726397553	OBSERVED	EXPECTED
a	dar	15	297	2	0.1333333333	1.270253187	1.574489259	0.2807605278	0.3626025169	0.9726397553	OBSERVED	EXPECTED
