family	metric	pages	reduced_rank	full_rank	section_added_rank	reduced_r2	full_r2	incremental_section_r2	permutation_p	bh_q	reduced_model	full_model	permutation_unit	status
token	mean_token_length	225	28	35	7	0.714530104	0.730671292	0.0565425235	0.032967033	0.0549450549	currier+scribe+quire+log_tokens+lines+position	reduced+visual_section	physical_leaf_shape_block_within_quire	ESTIMABLE
token	type_token_ratio	225	28	35	7	0.782888381	0.794730812	0.0545453549	0.00699300699	0.0174825175	currier+scribe+quire+log_tokens+lines+position	reduced+visual_section	physical_leaf_shape_block_within_quire	ESTIMABLE
token	token_entropy	225	28	35	7	0.937325562	0.941425258	0.0654125659	0.001998002	0.00999000999	currier+scribe+quire+log_tokens+lines+position	reduced+visual_section	physical_leaf_shape_block_within_quire	ESTIMABLE
sequence	exact_adjacent_repetition	225	28	35	7	0.155958051	0.167096961	0.0131971048	0.549450549	0.610500611	currier+scribe+quire+log_tokens+lines+position	reduced+visual_section	physical_leaf_shape_block_within_quire	ESTIMABLE
sequence	near_edit_adjacent_repetition	225	28	35	7	0.487101169	0.635231116	0.28880929	0.000999000999	0.00999000999	currier+scribe+quire+log_tokens+lines+position	reduced+visual_section	physical_leaf_shape_block_within_quire	ESTIMABLE
sequence	mean_line_transition_entropy	225	28	35	7	0.729897529	0.768954567	0.144600816	0.025974026	0.0519480519	currier+scribe+quire+log_tokens+lines+position	reduced+visual_section	physical_leaf_shape_block_within_quire	ESTIMABLE
line_block	mean_line_tokens	225	28	35	7	0.750994506	0.766841719	0.0636420212	0.0539460539	0.0770657914	currier+scribe+quire+log_tokens+lines+position	reduced+visual_section	physical_leaf_shape_block_within_quire	ESTIMABLE
line_block	line_length_cv	225	28	35	7	0.86200436	0.897892966	0.260070581	0.002997003	0.00999000999	currier+scribe+quire+log_tokens+lines+position	reduced+visual_section	physical_leaf_shape_block_within_quire	ESTIMABLE
line_block	boundary_length_asymmetry	225	28	35	7	0.203726878	0.216070879	0.0155022192	0.812187812	0.812187812	currier+scribe+quire+log_tokens+lines+position	reduced+visual_section	physical_leaf_shape_block_within_quire	ESTIMABLE
sequence	mean_line_token_entropy	225	28	35	7	0.735853178	0.761652446	0.0976701834	0.347652348	0.434565435	currier+scribe+quire+log_tokens+lines+position	reduced+visual_section	physical_leaf_shape_block_within_quire	ESTIMABLE
