factor	visual_class	factor_level	pages	tokens
currier	Astronomical	NA	8	901
currier	Biological	B	19	6420
currier	Cosmological	B	4	1188
currier	Cosmological	NA	7	1103
currier	Herbal	A	95	8172
currier	Herbal	B	32	3504
currier	Herbal	NA	2	48
currier	Pharmaceutical	A	16	2628
currier	Stars	A	2	763
currier	Stars	B	23	10939
currier	Text	A	1	221
currier	Text	B	5	2156
currier	Text	NA	1	2
currier	Zodiac	NA	12	1335
scribe	Astronomical	4	8	901
scribe	Biological	2	19	6420
scribe	Cosmological	1	1	203
scribe	Cosmological	2	3	637
scribe	Cosmological	4	7	1451
scribe	Herbal	1	95	8172
scribe	Herbal	2	20	2381
scribe	Herbal	3	8	588
scribe	Herbal	5	6	583
scribe	Pharmaceutical	1	16	2628
scribe	Stars	3	24	11238
scribe	Stars	3_dominant_mixed_2_3	1	464
scribe	Text	1	1	221
scribe	Text	2	4	1807
scribe	Text	3	1	2
scribe	Text	5	1	349
scribe	Zodiac	4	12	1335
quire	Astronomical	I	8	901
quire	Biological	M	19	6420
quire	Cosmological	H	1	203
quire	Cosmological	I	2	235
quire	Cosmological	J	4	665
quire	Cosmological	N	4	1188
quire	Herbal	A	15	1340
quire	Herbal	B	14	1062
quire	Herbal	C	16	1471
quire	Herbal	D	16	1293
quire	Herbal	E	16	1584
quire	Herbal	F	16	1746
quire	Herbal	G	16	1573
quire	Herbal	H	4	249
quire	Herbal	O	6	483
quire	Herbal	Q	10	923
quire	Pharmaceutical	O	6	1010
quire	Pharmaceutical	S	10	1618
quire	Stars	H	2	763
quire	Stars	T	23	10939
quire	Text	A	1	221
quire	Text	H	1	349
quire	Text	M	1	570
quire	Text	N	3	1237
quire	Text	T	1	2
quire	Zodiac	J	2	222
quire	Zodiac	K	8	918
quire	Zodiac	L	2	195
