page_id	physical_leaf	page_order	visual_code	visual_class	currier	scribe	quire	token_count	line_count	unique_tokens	mean_token_length	type_token_ratio	token_entropy	exact_adjacent_repetition	near_edit_adjacent_repetition	mean_line_transition_entropy	mean_line_tokens	line_length_cv	boundary_length_asymmetry	mean_line_token_entropy
f1r	f1r	0	T	Text	A	1	A	221	28	168	3.35746606	0.760180995	7.14898691	0.0155440415	0.0518134715	2.9997929	7.89285714	0.402633013	0.464285714	3.07144689
f1v	f1v	1	H	Herbal	A	1	A	92	10	70	3.4673913	0.760869565	5.95971084	0	0.0975609756	3.0765669	9.2	0.222169706	0.1	3.11714294
f2r	f2r	2	H	Herbal	A	1	A	109	15	87	3.29357798	0.798165138	6.31846368	0	0.0957446809	2.85513431	7.26666667	0.42084857	0.333333333	2.98175879
f2v	f2v	3	H	Herbal	A	1	A	61	8	47	3.50819672	0.770491803	5.29419764	0	0.132075472	2.80730023	7.625	0.296897873	0	2.956943
f3r	f3r	4	H	Herbal	A	1	A	114	20	89	4.10526316	0.780701754	6.26560024	0	0.085106383	2.33925867	5.7	0.322489707	1.05	2.56452118
f3v	f3v	5	H	Herbal	A	1	A	85	14	75	3.58823529	0.882352941	6.1385727	0	0.0422535211	2.3869595	6.07142857	0.218738854	1	2.6331733
f4r	f4r	6	H	Herbal	A	1	A	65	13	49	3.53846154	0.753846154	5.41298873	0.0576923077	0.0384615385	2.2291039	5	0.483045892	1	2.37528937
f4v	f4v	7	H	Herbal	A	1	A	84	14	72	3.75	0.857142857	6.0398217	0.0142857143	0.0714285714	2.38395655	6	0.244599795	0.0714285714	2.60338456
f5r	f5r	8	H	Herbal	A	1	A	56	7	47	3.73214286	0.839285714	5.47244622	0	0.0612244898	2.8598345	8	0.25	0.142857143	3.03985381
f5v	f5v	9	H	Herbal	A	1	A	50	6	38	3.56	0.76	5.03856294	0.0227272727	0.113636364	2.98271499	8.33333333	0.327902425	0.5	3.04374336
f6r	f6r	10	H	Herbal	A	1	A	86	14	68	3.43023256	0.790697674	5.958071	0.0138888889	0	2.45282214	6.14285714	0.298517366	0	2.61136468
f6v	f6v	11	H	Herbal	A	1	A	117	21	91	3.46153846	0.777777778	6.30052682	0.0104166667	0.0833333333	2.36525878	5.57142857	0.426905752	0.761904762	2.50911942
f7r	f7r	12	H	Herbal	A	1	A	66	10	60	3.86363636	0.909090909	5.86257594	0	0.0535714286	2.59273722	6.6	0.304709154	0.4	2.76456795
f7v	f7v	13	H	Herbal	A	1	A	78	9	59	3.56410256	0.756410256	5.67290943	0.0144927536	0.0869565217	2.99479608	8.66666667	0.244767732	2	3.05584783
f8r	f8r	14	H	Herbal	A	1	A	155	21	123	3.5483871	0.793548387	6.79293826	0.00746268657	0.0597014925	2.88016805	7.38095238	0.422996594	0.142857143	2.98192971
f8v	f8v	15	H	Herbal	A	1	A	122	17	92	3.49180328	0.754098361	6.27602994	0.0285714286	0.0666666667	2.77536375	7.17647059	0.372714301	0.235294118	2.86572767
f9r	f9r	16	H	Herbal	A	1	B	87	10	77	3.55172414	0.885057471	6.19006993	0	0.025974026	3.01501818	8.7	0.254436134	0.5	3.17345692
f9v	f9v	17	H	Herbal	A	1	B	86	12	67	3.55813953	0.779069767	5.8546222	0.0135135135	0.0405405405	2.74415659	7.16666667	0.35115509	0	2.83506537
f10r	f10r	18	H	Herbal	A	1	B	94	12	73	3.53191489	0.776595745	6.01076528	0.012195122	0.0487804878	2.84870937	7.83333333	0.287180309	1.25	2.98427224
f10v	f10v	19	H	Herbal	A	1	B	57	7	41	3.36842105	0.719298246	5.06956063	0	0.04	2.84645038	8.14285714	0.110493822	1.28571429	2.89282358
f11r	f11r	20	H	Herbal	A	1	B	62	7	46	3.11290323	0.741935484	5.27022257	0.0181818182	0.127272727	3.11082111	8.85714286	0.404085106	1.14285714	3.12388331
