family	metric	pages	within_pairs	between_pairs	within_mean_abs_diff	between_mean_abs_diff	between_minus_within	between_within_ratio	permutation_p	bh_q	repetitions	permutation_unit	status
token	mean_token_length	225	8860	16309	0.371636611	0.50060806	0.128971449	1.34703645	0.000999000999	0.00142714428	1000	physical_leaf_shape_block	OK
token	type_token_ratio	225	8860	16309	0.0829211636	0.159148379	0.076227215	1.91927334	0.000999000999	0.00142714428	1000	physical_leaf_shape_block	OK
token	token_entropy	225	8860	16309	0.438334807	1.01010337	0.571768562	2.30441058	0.000999000999	0.00142714428	1000	physical_leaf_shape_block	OK
sequence	exact_adjacent_repetition	225	8860	16309	0.0121614596	0.00968216518	-0.00247929439	0.796135129	1	1	1000	physical_leaf_shape_block	OK
sequence	near_edit_adjacent_repetition	225	8860	16309	0.0327222147	0.0320075135	-0.000714701178	0.978158533	0.384615385	0.480769231	1000	physical_leaf_shape_block	OK
sequence	mean_line_transition_entropy	225	8860	16309	0.403014803	0.815870596	0.412855793	2.02441843	0.000999000999	0.00142714428	1000	physical_leaf_shape_block	OK
line_block	mean_line_tokens	225	8860	16309	1.93340144	3.19980515	1.26640372	1.65501333	0.000999000999	0.00142714428	1000	physical_leaf_shape_block	OK
line_block	line_length_cv	225	8860	16309	0.116914134	0.652499247	0.535585113	5.58101253	0.000999000999	0.00142714428	1000	physical_leaf_shape_block	OK
line_block	boundary_length_asymmetry	225	8860	16309	0.491117784	0.40859446	-0.0825233239	0.831968366	0.998001998	1	1000	physical_leaf_shape_block	OK
sequence	mean_line_token_entropy	225	8860	16309	0.351369224	0.563136337	0.211767113	1.60269113	0.000999000999	0.00142714428	1000	physical_leaf_shape_block	OK
