family	metric	visual_code	visual_class	pages	mean	sd	median	min	max
token	mean_token_length	A	Astronomical	8	4.36295273	0.340854844	4.46232517	3.91623037	4.73972603
token	mean_token_length	B	Biological	19	4.11675303	0.173123558	4.06395349	3.88294314	4.3869863
token	mean_token_length	C	Cosmological	11	3.93814184	0.562108195	4.12101911	2.33497537	4.44642857
token	mean_token_length	H	Herbal	128	3.72503637	0.338359067	3.66071429	3.01123596	4.74226804
token	mean_token_length	P	Pharmaceutical	16	4.14107142	0.311414503	4.13958763	3.68534483	4.72897196
token	mean_token_length	S	Stars	25	4.18784458	0.199042695	4.18541667	3.55178571	4.44578313
token	mean_token_length	T	Text	6	3.90924188	0.320979156	3.94450108	3.35746606	4.26934097
token	mean_token_length	Z	Zodiac	12	4.48578221	0.222474135	4.52861953	4.15	4.76666667
token	type_token_ratio	A	Astronomical	8	0.901324885	0.0818955724	0.924912587	0.77245509	1
token	type_token_ratio	B	Biological	19	0.551955103	0.0363616692	0.554455446	0.485465116	0.618677043
token	type_token_ratio	C	Cosmological	11	0.740195433	0.125976357	0.755208333	0.428571429	0.921875
token	type_token_ratio	H	Herbal	128	0.812312191	0.0731966048	0.798018739	0.657894737	1
token	type_token_ratio	P	Pharmaceutical	16	0.777968461	0.0667515069	0.781363679	0.646551724	0.87628866
token	type_token_ratio	S	Stars	25	0.638917281	0.080741573	0.647916667	0.492857143	0.773722628
token	type_token_ratio	T	Text	6	0.633976541	0.110921276	0.639993388	0.456140351	0.760180995
token	type_token_ratio	Z	Zodiac	12	0.867931559	0.0368130443	0.856410256	0.820754717	0.935185185
token	token_entropy	A	Astronomical	8	6.49714408	0.365554888	6.4411274	6.07953895	7.16523482
token	token_entropy	B	Biological	19	6.97056955	0.232149563	6.95818905	6.51409931	7.33864639
token	token_entropy	C	Cosmological	11	6.78004536	0.667990588	6.77333786	5.74494749	8.09010014
token	token_entropy	H	Herbal	128	5.99073804	0.39815932	6.02427381	5.03856294	6.8578998
token	token_entropy	P	Pharmaceutical	16	6.72848919	0.231528056	6.76917125	6.30852457	7.09532751
token	token_entropy	S	Stars	25	7.79349065	0.21729936	7.83485812	7.39478545	8.22203507
token	token_entropy	T	Text	6	7.49446736	0.226052584	7.50786787	7.14898691	7.72524615
