page_id	physical_leaf_id	visual_section	visual_annotation_status	textual_fingerprint_available	confounders_available	level_c_inclusion_status	exclusion_reason
f100r	f100	Pharmaceutical	FULLY_ANNOTATED	true	true	INCLUDED	
f100v	f100	Pharmaceutical	FULLY_ANNOTATED	true	true	INCLUDED	
f101r	f101	Pharmaceutical	FULLY_ANNOTATED	true	true	INCLUDED	
f101v	f101	Pharmaceutical	FULLY_ANNOTATED	true	true	INCLUDED	
f102r1	f102	Pharmaceutical	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f102r2	f102	Pharmaceutical	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f102v1	f102	Pharmaceutical	PARTIALLY_ANNOTATED	true	true	INCLUDED	
f102v2	f102	Pharmaceutical	FULLY_ANNOTATED	true	true	INCLUDED	
f103r	f103	Stars	FULLY_ANNOTATED	true	true	INCLUDED	
f103v	f103	Stars	FULLY_ANNOTATED	true	true	INCLUDED	
f104r	f104	Stars	FULLY_ANNOTATED	true	true	INCLUDED	
f104v	f104	Stars	FULLY_ANNOTATED	true	true	INCLUDED	
f105r	f105	Stars	FULLY_ANNOTATED	true	true	INCLUDED	
f105v	f105	Stars	FULLY_ANNOTATED	true	true	INCLUDED	
f106r	f106	Stars	FULLY_ANNOTATED	true	true	INCLUDED	
f106v	f106	Stars	FULLY_ANNOTATED	true	true	INCLUDED	
f107r	f107	Stars	FULLY_ANNOTATED	true	true	INCLUDED	
f107v	f107	Stars	FULLY_ANNOTATED	true	true	INCLUDED	
f108r	f108	Stars	FULLY_ANNOTATED	true	true	INCLUDED	
f108v	f108	Stars	FULLY_ANNOTATED	true	true	INCLUDED	
f10r	f10	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f10v	f10	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f111r	f111	Stars	FULLY_ANNOTATED	true	true	INCLUDED	
f111v	f111	Stars	FULLY_ANNOTATED	true	true	INCLUDED	
f112r	f112	Stars	FULLY_ANNOTATED	true	true	INCLUDED	
f112v	f112	Stars	FULLY_ANNOTATED	true	true	INCLUDED	
f113r	f113	Stars	FULLY_ANNOTATED	true	true	INCLUDED	
f113v	f113	Stars	FULLY_ANNOTATED	true	true	INCLUDED	
f114r	f114	Stars	FULLY_ANNOTATED	true	true	INCLUDED	
f114v	f114	Stars	FULLY_ANNOTATED	true	true	INCLUDED	
f115r	f115	Stars	FULLY_ANNOTATED	true	true	INCLUDED	
f115v	f115	Stars	FULLY_ANNOTATED	true	true	INCLUDED	
f116r	f116	Stars	FULLY_ANNOTATED	true	true	INCLUDED	
f116v	f116	Text	FULLY_ANNOTATED	true	true	INCLUDED	
f11r	f11	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f11v	f11	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f13r	f13	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f13v	f13	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f14r	f14	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f14v	f14	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f15r	f15	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f15v	f15	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f16r	f16	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f16v	f16	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f17r	f17	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f17v	f17	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f18r	f18	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f18v	f18	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f19r	f19	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f19v	f19	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f1r	f1	Text	FULLY_ANNOTATED	true	true	INCLUDED	
f1v	f1	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f20r	f20	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f20v	f20	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f21r	f21	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f21v	f21	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f22r	f22	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f22v	f22	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f23r	f23	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f23v	f23	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f24r	f24	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f24v	f24	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f25r	f25	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f25v	f25	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f26r	f26	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f26v	f26	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f27r	f27	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f27v	f27	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f28r	f28	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f28v	f28	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f29r	f29	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f29v	f29	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f2r	f2	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f2v	f2	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f30r	f30	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f30v	f30	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f31r	f31	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f31v	f31	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f32r	f32	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f32v	f32	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f33r	f33	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f33v	f33	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f34r	f34	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f34v	f34	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f35r	f35	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f35v	f35	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f36r	f36	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f36v	f36	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f37r	f37	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f37v	f37	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f38r	f38	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f38v	f38	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f39r	f39	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f39v	f39	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f3r	f3	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f3v	f3	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f40r	f40	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f40v	f40	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f41r	f41	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f41v	f41	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f42r	f42	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f42v	f42	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f43r	f43	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f43v	f43	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f44r	f44	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f44v	f44	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f45r	f45	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f45v	f45	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f46r	f46	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f46v	f46	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f47r	f47	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f47v	f47	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f48r	f48	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f48v	f48	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f49r	f49	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f49v	f49	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f4r	f4	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f4v	f4	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f50r	f50	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f50v	f50	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f51r	f51	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f51v	f51	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f52r	f52	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f52v	f52	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f53r	f53	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f53v	f53	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f54r	f54	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f54v	f54	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f55r	f55	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f55v	f55	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f56r	f56	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f56v	f56	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f57r	f57	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f57v	f57	Cosmological	FULLY_ANNOTATED	true	true	INCLUDED	
f58r	f58	Stars	FULLY_ANNOTATED	true	true	INCLUDED	
f58v	f58	Stars	FULLY_ANNOTATED	true	true	INCLUDED	
f5r	f5	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f5v	f5	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f65r	f65	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
f65v	f65	Herbal	FULLY_ANNOTATED	true	true	INCLUDED	
