page_id	physical_leaf_id	broad_section	visual_annotation_status	visual_descriptor_complete_count	textual_fingerprint_available	metadata_complete	primary_multivariate_eligible	confounder_model_eligible	exclusion_stage	exclusion_reason
f100r	f100	Pharmaceutical	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f100v	f100	Pharmaceutical	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f101r	f101	Pharmaceutical	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f101v	f101	Pharmaceutical	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f102r1	f102	Pharmaceutical	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f102r2	f102	Pharmaceutical	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f102v1	f102	Pharmaceutical	PARTIALLY_ANNOTATED	0	true	true	false	false	descriptor_availability	no observed visual descriptor
f102v2	f102	Pharmaceutical	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f103r	f103	Stars	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f103v	f103	Stars	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f104r	f104	Stars	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f104v	f104	Stars	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f105r	f105	Stars	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f105v	f105	Stars	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f106r	f106	Stars	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f106v	f106	Stars	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f107r	f107	Stars	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f107v	f107	Stars	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f108r	f108	Stars	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f108v	f108	Stars	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f10r	f10	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f10v	f10	Herbal	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f111r	f111	Stars	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f111v	f111	Stars	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f112r	f112	Stars	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f112v	f112	Stars	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f113r	f113	Stars	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f113v	f113	Stars	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f114r	f114	Stars	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f114v	f114	Stars	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
f115r	f115	Stars	FULLY_ANNOTATED	13	true	true	false	false	complete_visual_vector	partial visual vector
