text_metric	available_pages	nonfinite_or_missing	section_count	sections	contribution_to_multivariate_loss
mean_token_length	227	0	8	Astronomical,Biological,Cosmological,Herbal,Pharmaceutical,Stars,Text,Zodiac	0
type_token_ratio	227	0	8	Astronomical,Biological,Cosmological,Herbal,Pharmaceutical,Stars,Text,Zodiac	0
token_entropy	227	0	8	Astronomical,Biological,Cosmological,Herbal,Pharmaceutical,Stars,Text,Zodiac	0
exact_adjacent_repetition	227	0	8	Astronomical,Biological,Cosmological,Herbal,Pharmaceutical,Stars,Text,Zodiac	0
near_edit_adjacent_repetition	227	0	8	Astronomical,Biological,Cosmological,Herbal,Pharmaceutical,Stars,Text,Zodiac	0
mean_line_transition_entropy	227	0	8	Astronomical,Biological,Cosmological,Herbal,Pharmaceutical,Stars,Text,Zodiac	0
mean_line_tokens	227	0	8	Astronomical,Biological,Cosmological,Herbal,Pharmaceutical,Stars,Text,Zodiac	0
line_length_cv	227	0	8	Astronomical,Biological,Cosmological,Herbal,Pharmaceutical,Stars,Text,Zodiac	0
boundary_length_asymmetry	227	0	8	Astronomical,Biological,Cosmological,Herbal,Pharmaceutical,Stars,Text,Zodiac	0
mean_line_token_entropy	227	0	8	Astronomical,Biological,Cosmological,Herbal,Pharmaceutical,Stars,Text,Zodiac	0
