page_id	COMP_ILLUSTRATION_REGIONS	COMP_CENTRAL_ILLUSTRATION	OBJ_PLANT_LIKE	OBJ_HUMAN_LIKE	OBJ_CONTAINER_LIKE	OBJ_STAR_LIKE	OBJ_CIRCULAR_UNITS	GEO_RADIAL	GEO_CONCENTRIC	GEO_BRANCHING	FIG_RELATION	FIG_ENCLOSED	TXT_RADIAL	VIS_DENSITY	VIS_COMPLEXITY
f55r	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f65r	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f48v	MULTIPLE	PRESENT	4+	0	1	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	HIGH	MEDIUM
f49r	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f85r1	0	ABSENT	0	0	0	0	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f55v	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f14v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f89v1	MULTIPLE	PRESENT	4+	0	2-3	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	HIGH	MEDIUM
f24r	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f30v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f39v	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f22v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f25v	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f70r2	1	PRESENT	0	0	0	1+	1	PRESENT	PRESENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	MEDIUM	HIGH
f23r	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f68r2	MULTIPLE	PRESENT	0	0	0	1+	2-3	PRESENT	PRESENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f106v	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f41r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f45r	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f26v	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f94r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f20r	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f102v2	MULTIPLE	PRESENT	4+	0	4+	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	HIGH	HIGH
f70v1	1	PRESENT	0	4+	1	1+	1	PRESENT	PRESENT	ABSENT	INTERACTING	PRESENT	PRESENT	MEDIUM	HIGH
f48r	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f96v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f69r	1	PRESENT	0	0	0	1+	1	PRESENT	PRESENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	MEDIUM	HIGH
f8v	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f69v	1	PRESENT	0	0	0	1+	1	PRESENT	PRESENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	MEDIUM	HIGH
f89v2	MULTIPLE	PRESENT	4+	0	2-3	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	HIGH	HIGH
f18v	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f15r	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f1v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f86v4	1	PRESENT	0	0	0	1+	1	PRESENT	PRESENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	HIGH	HIGH
f99r	MULTIPLE	PRESENT	4+	0	4+	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	HIGH	HIGH
f88v	MULTIPLE	PRESENT	4+	0	4+	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	HIGH	HIGH
f112v	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f90r1	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f38v	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f23v	1	PRESENT	0	0	0	0	1	PRESENT	PRESENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	HIGH	HIGH
f106r	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f82v	MULTIPLE	PRESENT	0	4+	4+	0	0	ABSENT	ABSENT	ABSENT	MIXED	PRESENT	ABSENT	HIGH	HIGH
f95v1	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
