selection_rank	page_id	selection_hash
1	f89v2	019c54029b70af7d351a5a0176efdc41c15ac17676564de65983183263cd5d3c
2	f55r	02d02ffb2f04726df47450b0404ae282b03ce49e4207f7dcdba6d439e6f20d68
3	f7r	03357cbc18c4703c16d7ff989b835656a38908dbf9ea8abee9f5b5a2b9a020c5
4	f20r	041839764e77ced281629741aadb075351855d49955a801ff3004eb85de6d6ce
5	f65r	06f4e3a409fa9aacfe8f17e606cdb93a9b8c7a8fb9412f175891270e33146701
6	f24r	08a6b5b07f600c134e07f30c40d7f3e98a7a5b00be10506d5f638807cd4466d7
7	f39v	0a0fa73ff5c095b094e07a94a00cf473ea31c5a9fd6163ec55d970d6fedb9e25
8	f39r	0cb0de3405071cbdc76d780f42a09d7088b5a817cff464c1c08a8f1e40f683d1
9	f55v	0e298fa7fd3addf29f2d05da51d0eae6fb39b072acea5c327ae5ee85428be5c9
10	f22v	100cac1e8c96218c52acb4b1d1fe522ce668a70af5263c73354b944c827ca20e
11	f70v1	123104ecadd028591e3a45959c9005447ff810558fc82bcd31c6d56b7e7728b9
12	f70r2	12ecf6ce759097ef8bf7c491688e356c52a94419c419e9ec76ef7492d6b922bd
13	f85r1	1424cf1abeae35f40f81d695d2c397bd11107862768a2615fd6274b924c779a5
14	f94r	1555b12dff27e2dd84197cb561afaf07846372936fe37f71269629a729366cbe
15	f99r	15b756314442aaf6f127137b85dc9bf0c069e35ac82d9bb413e613fcbd3f5937
16	f38v	18037577dfa31eca512b073dbd36ebf019d70c430d97dcc1eda889b3837ffd43
17	f68r2	180ca8c8ffdeccbabeb6692aa1ab7734397ce7fd77bdff6348cdead04d3bac37
18	f69r	1db2fd87ee42f4ceec1923747eca569d27dea3abe11c6b450b0b886fd0618025
19	f25v	20e39fb99c40ff7f71111da26e2db153e979e51881b47de410ae37dabb0ff440
20	f86v4	21266c2873668796f814621389cfba3c792dd367358f24bbf00f4f33530135bb
21	f48r	25ea9eb86b0357f2061ee154802f160f5e6e74882ee9dceec6c19727bec3d4f5
22	f49r	2924f8f3b5cff8f6fbccee98a2b03ad45f5b5d6b60b7bff7f952a4bd71faf08d
23	f95v1	2aeca0f5296ca81e4bd4d1e0193216d77bac5aa10154c2215c0baae48490042d
24	f48v	2d663c2c544d5af7313f0b1ae64347b03a6ebfdef74b87c4ffee7264064db690
25	f112v	2d8fd313c9b44a263e24461e2fce4f781ecd4a9065d50ec19a2d97b1a43fdbcf
26	f106r	2e817fe8e881c639113759f53cf62c4107981f37e4278388db10851051c396de
27	f14v	2ee3633bd2c5454c837db87747233a38c97f4558e289a06cc6c29f050103709c
28	f30v	3031a316e5150f522ead92731ccb8199e319dd556cc8833c074c88078829afa2
29	f8v	30e1be06fa2727f3b1a06a4b93b546c54436a2534df7ffd09a513b8178265ee6
30	f88v	310764c69fb85bac1c90d4a616bfc29a0d41a9d947da6608a691548a6df5a8a8
31	f69v	312d21c4597628d17aad3ab6d656d1ace30f71ff42b3e4570d07ac62a4541e9f
32	f26v	31ca9e329df8408151b03da5a1534193e66b4cf00ad8df2faf615a769f38c257
33	f1v	32c9d46ebe404f7f13928830739536182ee92ecdc78eac212c2575ae38954b26
34	f23v	34a89094c574c6399d627627c525320cc602559c415db98127be66e9d5ed4314
35	f90r1	3668eb692a7dd423bf9aa67f585468ee8f21b25bf1870ffb1c1ca667039bd426
36	f100r	3789fdcc699042ecf371db404aeb9bc2440ba0d47332321c930af9f6036a4243
37	f89v1	3a93a4753c8bd046c92963ca3226b499bf0bfc7e57cff3d57cbfa5e2856996d3
38	f41r	3cce67c957c54c5a1cdd8d2894ceec0c040e6c80fc7efb5e64d4603d5c692ae6
39	f82v	3e7027faeaa122fa311cf50ca877fc90d42e615c35054a48ea2ebcd8c22608e6
40	f45r	40b83b3579ca0a12d1bfddff3e035284c5b77e4325848f593573ec1669eb2594
41	f18v	4177ea409566e2657d7a1fd23f884e57c6266ea3235587444e1c74325da154b7
42	f23r	421b23ef221e219043873cd7701fceba339877a7de2d4fbdf25ec8c644081ad6
43	f15r	4227b44e3e6c86a495c0f27b7149dd37999994ddaebb11daaca9b90270b7c71d
44	f106v	4241b6488000131fbcfdabb9977acd792489d3561805dd19bba8587fc3a9ce77
45	f96v	43af752c1873c3de53ffef4394f1cc5d56cc782153df68dc1012b7b9c2d8c1bc
46	f102v2	464c627ad95cbb254519ab923c5dc77258ab4febc0bec76716d1e34d56744ab6
