page_id	COMP_ILLUSTRATED_AREA	COMP_ILLUSTRATION_REGIONS	COMP_DOMINANT_LAYOUT	COMP_IMAGE_INTERLEAVED	COMP_CENTRAL_ILLUSTRATION	OBJ_PLANT_LIKE	OBJ_HUMAN_LIKE	OBJ_CONTAINER_LIKE	OBJ_STAR_LIKE	OBJ_CIRCULAR_UNITS	GEO_RADIAL	GEO_CONCENTRIC	GEO_BRANCHING	GEO_CONNECTED_NETWORK	GEO_REPEATED_MODULES	FIG_RELATION	FIG_ENCLOSED	TXT_EMBEDDED_IMAGE	TXT_RADIAL	VIS_DENSITY	VIS_COMPLEXITY
f2r	LOW	1	CENTRAL_VISUAL	PRESENT	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	MEDIUM	MEDIUM
f73v	LOW	1	CENTRAL_VISUAL	PRESENT	PRESENT	0	4+	0	1+	1	PRESENT	PRESENT	ABSENT	ABSENT	PRESENT	MIXED	PRESENT	PRESENT	PRESENT	HIGH	HIGH
f111r	LOW	MULTIPLE	RUNNING_TEXT	ABSENT	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	LOW	LOW
f115v	LOW	MULTIPLE	RUNNING_TEXT	ABSENT	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	LOW	LOW
f75r	LOW	MULTIPLE	MIXED	PRESENT	PRESENT	0	4+	2-3	1+	0	ABSENT	ABSENT	PRESENT	PRESENT	PRESENT	MIXED	PRESENT	PRESENT	ABSENT	HIGH	HIGH
f106v	LOW	MULTIPLE	RUNNING_TEXT	ABSENT	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	LOW	LOW
f84v	LOW	MULTIPLE	MIXED	PRESENT	PRESENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	ABSENT	PRESENT	INTERACTING	PRESENT	PRESENT	ABSENT	HIGH	MEDIUM
f66r	LOW	MULTIPLE	RUNNING_TEXT	ABSENT	ABSENT	0	0	1	0	0	ABSENT	ABSENT	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	LOW	LOW
f69r	LOW	1	CENTRAL_VISUAL	PRESENT	PRESENT	0	0	0	1+	1	PRESENT	PRESENT	ABSENT	PRESENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	PRESENT	MEDIUM	HIGH
f103r	LOW	MULTIPLE	RUNNING_TEXT	ABSENT	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	LOW	LOW
f20r	LOW	1	CENTRAL_VISUAL	ABSENT	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	MEDIUM	MEDIUM
