page_id	physical_leaf_id	image_source_id	schema_version	annotation_status	COMP_ILLUSTRATION_REGIONS	COMP_CENTRAL_ILLUSTRATION	OBJ_PLANT_LIKE	OBJ_HUMAN_LIKE	OBJ_CONTAINER_LIKE	OBJ_STAR_LIKE	OBJ_CIRCULAR_UNITS	GEO_RADIAL	GEO_CONCENTRIC	GEO_BRANCHING	FIG_RELATION	FIG_ENCLOSED	TXT_RADIAL	VIS_DENSITY	VIS_COMPLEXITY
f1r	f1	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	0	ABSENT	0	0	0	0	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f1v	f1	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f2r	f2	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f2v	f2	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f3r	f3	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f3v	f3	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f4r	f4	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f4v	f4	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f5r	f5	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f5v	f5	YALE-MS408-OID-2002046	1.0.0	FULLY_ANNOTATED	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
